elapsed_s,TP_FILTER_POINT_FP32,TP_LATENCY_FIFO_FULL,TP_RESERVED_62,TP_RESERVED_63,TP_RESERVED_64,TP_RESERVED_65,TP_RESERVED_66,TP_RESERVED_67,TP_RESERVED_68,TP_RESERVED_69,TP_RESERVED_70,TP_RESERVED_71
0.432681,0,0,0,0,0,0,0,0,0,0,0,0
0.434286,0,0,0,0,0,0,0,0,0,0,0,0
0.435883,0,0,0,0,0,0,0,0,0,0,0,0
0.437480,0,0,0,0,0,0,0,0,0,0,0,0
0.439078,0,0,0,0,0,0,0,0,0,0,0,0
0.440663,0,0,0,0,0,0,0,0,0,0,0,0
0.442247,0,0,0,0,0,0,0,0,0,0,0,0
0.443964,0,0,0,0,0,0,0,0,0,0,0,0
0.446378,0,0,0,0,0,0,0,0,0,0,0,0
0.447955,0,0,0,0,0,0,0,0,0,0,0,0
0.449388,0,0,0,0,0,0,0,0,0,0,0,0
0.450818,0,0,0,0,0,0,0,0,0,0,0,0
0.452294,0,0,0,0,0,0,0,0,0,0,0,0
0.453724,0,0,0,0,0,0,0,0,0,0,0,0
0.455156,0,0,0,0,0,0,0,0,0,0,0,0
0.456598,0,0,0,0,0,0,0,0,0,0,0,0
0.458029,0,0,0,0,0,0,0,0,0,0,0,0
0.459459,0,0,0,0,0,0,0,0,0,0,0,0
0.460890,0,0,0,0,0,0,0,0,0,0,0,0
0.462321,0,0,0,0,0,0,0,0,0,0,0,0
0.463752,0,0,0,0,0,0,0,0,0,0,0,0
0.465313,0,0,0,0,0,0,0,0,0,0,0,0
0.466793,0,0,0,0,0,0,0,0,0,0,0,0
0.468282,0,0,0,0,0,0,0,0,0,0,0,0
0.469715,0,0,0,0,0,0,0,0,0,0,0,0
0.471148,0,0,0,0,0,0,0,0,0,0,0,0
0.472579,0,0,0,0,0,0,0,0,0,0,0,0
0.474009,0,0,0,0,0,0,0,0,0,0,0,0
0.475541,0,0,0,0,0,0,0,0,0,0,0,0
0.477150,0,0,0,0,0,0,0,0,0,0,0,0
0.478744,0,0,0,0,0,0,0,0,0,0,0,0
0.480364,0,0,0,0,0,0,0,0,0,0,0,0
0.481960,0,0,0,0,0,0,0,0,0,0,0,0
0.483602,0,0,0,0,0,0,0,0,0,0,0,0
0.485198,0,0,0,0,0,0,0,0,0,0,0,0
0.486792,0,0,0,0,0,0,0,0,0,0,0,0
0.488399,0,0,0,0,0,0,0,0,0,0,0,0
0.489984,0,0,0,0,0,0,0,0,0,0,0,0
0.491448,0,0,0,0,0,0,0,0,0,0,0,0
0.492923,0,0,0,0,0,0,0,0,0,0,0,0
