elapsed_s,TP_RESERVED_84,TP_RESERVED_85,TP_RESERVED_86,TP_RESERVED_87,TP_RESERVED_88,TP_RESERVED_89,TP_RESERVED_90,TP_RESERVED_91,TP_RESERVED_92,TP_RESERVED_93,TP_RESERVED_94,TP_RESERVED_95
0.491053,0,0,0,0,0,0,0,0,0,0,0,0
0.492650,0,0,0,0,0,0,0,0,0,0,0,0
0.494246,0,0,0,0,0,0,0,0,0,0,0,0
0.495842,0,0,0,0,0,0,0,0,0,0,0,0
0.497485,0,0,0,0,0,0,0,0,0,0,0,0
0.499095,0,0,0,0,0,0,0,0,0,0,0,0
0.500688,0,0,0,0,0,0,0,0,0,0,0,0
0.502284,0,0,0,0,0,0,0,0,0,0,0,0
0.503871,0,0,0,0,0,0,0,0,0,0,0,0
0.505583,0,0,0,0,0,0,0,0,0,0,0,0
0.507307,0,0,0,0,0,0,0,0,0,0,0,0
0.508742,0,0,0,0,0,0,0,0,0,0,0,0
0.510187,0,0,0,0,0,0,0,0,0,0,0,0
0.511618,0,0,0,0,0,0,0,0,0,0,0,0
0.513048,0,0,0,0,0,0,0,0,0,0,0,0
0.514520,0,0,0,0,0,0,0,0,0,0,0,0
0.516077,0,0,0,0,0,0,0,0,0,0,0,0
0.517674,0,0,0,0,0,0,0,0,0,0,0,0
0.519269,0,0,0,0,0,0,0,0,0,0,0,0
0.520875,0,0,0,0,0,0,0,0,0,0,0,0
0.522341,0,0,0,0,0,0,0,0,0,0,0,0
0.523905,0,0,0,0,0,0,0,0,0,0,0,0
0.525502,0,0,0,0,0,0,0,0,0,0,0,0
0.527096,0,0,0,0,0,0,0,0,0,0,0,0
0.528690,0,0,0,0,0,0,0,0,0,0,0,0
0.530286,0,0,0,0,0,0,0,0,0,0,0,0
0.531894,0,0,0,0,0,0,0,0,0,0,0,0
0.533491,0,0,0,0,0,0,0,0,0,0,0,0
0.535085,0,0,0,0,0,0,0,0,0,0,0,0
0.536678,0,0,0,0,0,0,0,0,0,0,0,0
0.538274,0,0,0,0,0,0,0,0,0,0,0,0
0.539869,0,0,0,0,0,0,0,0,0,0,0,0
0.541467,0,0,0,0,0,0,0,0,0,0,0,0
0.543074,0,0,0,0,0,0,0,0,0,0,0,0
0.544667,0,0,0,0,0,0,0,0,0,0,0,0
0.546263,0,0,0,0,0,0,0,0,0,0,0,0
0.547859,0,0,0,0,0,0,0,0,0,0,0,0
0.549456,0,0,0,0,0,0,0,0,0,0,0,0
0.551052,0,0,0,0,0,0,0,0,0,0,0,0
0.552646,0,0,0,0,0,0,0,0,0,0,0,0
0.554254,0,0,0,0,0,0,0,0,0,0,0,0
0.555849,0,0,0,0,0,0,0,0,0,0,0,0
0.557447,0,0,0,0,0,0,0,0,0,0,0,0
0.559043,0,0,0,0,0,0,0,0,0,0,0,0
0.560638,0,0,0,0,0,0,0,0,0,0,0,0
0.562235,0,0,0,0,0,0,0,0,0,0,0,0
0.563829,0,0,0,0,0,0,0,0,0,0,0,0
0.565439,0,0,0,0,0,0,0,0,0,0,0,0
0.567035,0,0,0,0,0,0,0,0,0,0,0,0
0.568628,0,0,0,0,0,0,0,0,0,0,0,0
0.570223,0,0,0,0,0,0,0,0,0,0,0,0
0.571820,0,0,0,0,0,0,0,0,0,0,0,0
