elapsed_s,VPC_FE_TSE_FE_TRANSACTIONS,VPC_FE_STALL_CYCLES_CCU,VPC_FE_NUM_WM_HIT,VPC_FE_STALL_DQ_WACK,VPC_FE_STALL_CYCLES_PRG_END_FE,VPC_FE_STALL_CYCLES_PRG_END_VPCVS
0.898897,0,0,0,0,0,0
0.900458,0,0,0,0,0,0
0.902110,0,0,0,0,0,0
0.903671,0,0,0,0,0,0
0.905290,0,0,0,0,0,0
0.906853,0,0,0,0,0,0
0.908414,0,0,0,0,0,0
0.909925,0,0,0,0,0,0
0.916847,0,0,0,0,0,0
0.918337,0,0,0,0,0,0
0.919702,0,0,0,0,0,0
0.921054,0,0,0,0,0,0
0.922449,0,0,0,0,0,0
0.923800,0,0,0,0,0,0
0.925151,0,0,0,0,0,0
0.926500,0,0,0,0,0,0
0.927848,0,0,0,0,0,0
0.929342,0,0,0,0,0,0
0.930798,0,0,0,0,0,0
0.932330,0,0,0,0,0,0
0.933893,0,0,0,0,0,0
0.935460,0,0,0,0,0,0
0.937028,0,0,0,0,0,0
0.938641,0,0,0,0,0,0
0.940093,0,0,0,0,0,0
0.941504,0,0,0,0,0,0
0.942908,0,0,0,0,0,0
0.944309,0,0,0,0,0,0
0.945756,0,0,0,0,0,0
0.947158,0,0,0,0,0,0
0.948688,0,0,0,0,0,0
0.950148,0,0,0,0,0,0
0.951555,0,0,0,0,0,0
0.952960,0,0,0,0,0,0
0.954405,0,0,0,0,0,0
0.955805,0,0,0,0,0,0
0.957208,0,0,0,0,0,0
0.958739,0,0,0,0,0,0
0.960319,0,0,0,0,0,0
0.961929,0,0,0,0,0,0
0.963497,0,0,0,0,0,0
0.965065,0,0,0,0,0,0
0.966633,0,0,0,0,0,0
0.968199,0,0,0,0,0,0
0.969809,0,0,0,0,0,0
0.971268,0,0,0,0,0,0
0.972808,0,0,0,0,0,0
0.974376,0,0,0,0,0,0
0.975941,0,0,0,0,0,0
0.977558,0,0,0,0,0,0
0.979126,0,0,0,0,0,0
0.980691,0,0,0,0,0,0
0.982150,0,0,0,0,0,0
0.983687,0,0,0,0,0,0
0.985300,0,0,0,0,0,0
0.986868,0,0,0,0,0,0
0.988433,0,0,0,0,0,0
0.990106,0,0,0,0,0,0
0.991672,0,0,0,0,0,0
0.993298,0,0,0,0,0,0
0.994866,0,0,0,0,0,0
0.996431,0,0,0,0,0,0
0.998092,0,0,0,0,0,0
0.999647,0,0,0,0,0,0
1.001081,0,0,0,0,0,0
1.002665,0,0,0,0,0,0
1.004063,0,0,0,0,0,0
1.005609,0,0,0,0,0,0
1.007175,0,0,0,0,0,0
1.009087,0,0,0,0,0,0
1.010521,0,0,0,0,0,0
1.011926,0,0,0,0,0,0
1.013460,0,0,0,0,0,0
1.015048,0,0,0,0,0,0
1.016613,0,0,0,0,0,0
1.018187,0,0,0,0,0,0
1.019752,0,0,0,0,0,0
1.021321,0,0,0,0,0,0
1.022889,0,0,0,0,0,0
1.024455,0,0,0,0,0,0
1.026119,0,0,0,0,0,0
1.027685,0,0,0,0,0,0
1.029254,0,0,0,0,0,0
1.030822,0,0,0,0,0,0
1.032388,0,0,0,0,0,0
1.034020,0,0,0,0,0,0
1.035587,0,0,0,0,0,0
1.037170,0,0,0,0,0,0
1.038738,0,0,0,0,0,0
