group,counter,label,total_all_widths,total_width_first,total_width_last,scaling_ratio_last_over_first,corr_total_vs_width,slope_total_vs_width,total_w128,total_w256,total_w512,total_w1024,total_w2048
SP,SP_NON_EXECUTION_CYCLES,flat_or_saturated,4890763.0,4890763.0,0.0,0.0,-0.4766031238193983,-1335.2637558803779,4890763.0,0.0,0.0,0.0,0.0
SP,SP_ANY_EU_WORKING,flat_or_saturated,4879996.0,4879996.0,0.0,0.0,-0.47660312381939807,-1332.3241767473123,4879996.0,0.0,0.0,0.0,0.0
SP,SP_ANY_EU_WORKING_CS_STAGE,flat_or_saturated,4879984.0,4879984.0,0.0,0.0,-0.4766031238193981,-1332.320900537635,4879984.0,0.0,0.0,0.0,0.0
SP,SP_ANY_EU_WORKING_FS_STAGE,flat_or_saturated,4879984.0,4879984.0,0.0,0.0,-0.4766031238193981,-1332.320900537635,4879984.0,0.0,0.0,0.0,0.0
SP,SP_GPR_CACHE_SRC2_GPR_CACHE_HIT_RDCNT,flat_or_saturated,4876866.0,4876866.0,0.0,0.0,-0.47660312381939823,-1331.4696320564524,4876866.0,0.0,0.0,0.0,0.0
SP,SP_UCHE_READ_BURST,flat_or_saturated,4876854.0,4876854.0,0.0,0.0,-0.4766031238193981,-1331.4663558467753,4876854.0,0.0,0.0,0.0,0.0
TP,TP_L1_5_MISS_LATENCY_CYCLES,flat_or_saturated,4825037.0,4825037.0,0.0,0.0,-0.4766031238193981,-1317.3194094422054,4825037.0,0.0,0.0,0.0,0.0
SP,SP_WAVE_LONG_SYNC_CYCLES,flat_or_saturated,4686870.0,4686870.0,0.0,0.0,-0.4766031238193981,-1279.5974042338714,4686870.0,0.0,0.0,0.0,0.0
RBBM,RBBM_US_VBIF_BUSY,flat_or_saturated,4380575.0,3373123.0,126857.0,0.037608174976127465,-0.43989357426810527,-802.8620631720438,3373123.0,7943.0,133001.0,739651.0,126857.0
SP,SP_TTU_ACTIVE_FIBERS,flat_or_saturated,3981074.0,3981074.0,0.0,0.0,-0.47660312381939823,-1086.9027637768822,3981074.0,0.0,0.0,0.0,0.0
SP,SP_STARVE_CYCLES_HLSQ,flat_or_saturated,3965309.0,3965309.0,0.0,0.0,-0.4766031238193981,-1082.598643313173,3965309.0,0.0,0.0,0.0,0.0
SP,SP_GPR_CACHE_SRC1_GPR_CACHE_HIT_RDCNT,flat_or_saturated,3952910.0,3952910.0,0.0,0.0,-0.4766031238193982,-1079.2134996639788,3952910.0,0.0,0.0,0.0,0.0
SP,SP_LB_LDST_RW_LM,flat_or_saturated,3554360.0,3554360.0,0.0,0.0,-0.4766031238193982,-970.4023857526888,3554360.0,0.0,0.0,0.0,0.0
CP,CP_SQE_I_CACHE_STARVE,flat_or_saturated,3121395.0,2413128.0,45933.0,0.019034630570777845,-0.5072503531954182,-656.8557312668017,2413128.0,20388.0,370622.0,271324.0,45933.0
SP,SP_WAVE_NOP_CYCLES,flat_or_saturated,3078656.0,3078656.0,0.0,0.0,-0.4766031238193982,-840.5268817204308,3078656.0,0.0,0.0,0.0,0.0
CP,CP_ICACHE_STALL,flat_or_saturated,3041962.0,2431999.0,43836.0,0.018024678464094765,-0.49749902977040933,-654.0163705477154,2431999.0,24466.0,278022.0,263639.0,43836.0
SP,SP_LOAD_CONTROL_WORKING_CYCLES,flat_or_saturated,2967201.0,2967201.0,0.0,0.0,-0.47660312381939823,-810.0977192540329,2967201.0,0.0,0.0,0.0,0.0
SP,SP_NON_EXECUTION_LS_CYCLES,flat_or_saturated,2719877.0,2719877.0,0.0,0.0,-0.47660312381939823,-742.5739457325275,2719877.0,0.0,0.0,0.0,0.0
SP,SP_GPR_CACHE_SRC1_GPR_CACHE_HINT_RDCNT,flat_or_saturated,2705398.0,2705398.0,0.0,0.0,-0.476603123819398,-738.6209257392478,2705398.0,0.0,0.0,0.0,0.0
SP,SP_WAVE_HWAVE_SYNC,flat_or_saturated,2352039.0,2352039.0,0.0,0.0,-0.4766031238193982,-642.1477444556457,2352039.0,0.0,0.0,0.0,0.0
RB,RB_CPROC_WORKING_CYCLES,flat_or_saturated,2238559.0,2238559.0,0.0,0.0,-0.47660312381939823,-611.1657216061832,2238559.0,0.0,0.0,0.0,0.0
RB,RB_BUSY_CYCLES,flat_or_saturated,2237807.0,2237807.0,0.0,0.0,-0.47660312381939823,-610.9604124663982,2237807.0,0.0,0.0,0.0,0.0
SP,SP_CCHE_NONUAV_TOTAL_AOM_REQ,flat_or_saturated,2142803.0,2142803.0,0.0,0.0,-0.47660312381939823,-585.0226604502692,2142803.0,0.0,0.0,0.0,0.0
VFD,VFDP_STARVE_CYCLES_PC,flat_or_saturated,2079393.0,2079393.0,0.0,0.0,-0.47660312381939807,-567.7106224798391,2079393.0,0.0,0.0,0.0,0.0
TP,TP_FILTER_POINT_FP32,flat_or_saturated,2031616.0,2031616.0,0.0,0.0,-0.47660312381939807,-554.6666666666671,2031616.0,0.0,0.0,0.0,0.0
TP,TP_FILTER_WORKLOAD_32BIT,flat_or_saturated,2031616.0,2031616.0,0.0,0.0,-0.47660312381939807,-554.6666666666671,2031616.0,0.0,0.0,0.0,0.0
TP,TP_OUTPUT_PIXELS,flat_or_saturated,2031616.0,2031616.0,0.0,0.0,-0.47660312381939807,-554.6666666666671,2031616.0,0.0,0.0,0.0,0.0
TP,TP_OUTPUT_PIXELS_POINT,flat_or_saturated,2031616.0,2031616.0,0.0,0.0,-0.47660312381939807,-554.6666666666671,2031616.0,0.0,0.0,0.0,0.0
TP,TP_OUTPUT_PIXELS_ZERO_LOD,flat_or_saturated,2031616.0,2031616.0,0.0,0.0,-0.47660312381939807,-554.6666666666671,2031616.0,0.0,0.0,0.0,0.0
SP,SP_LM_LOAD_INSTRUCTIONS,flat_or_saturated,2009088.0,2009088.0,0.0,0.0,-0.47660312381939823,-548.5161290322585,2009088.0,0.0,0.0,0.0,0.0
SP,SP_GPR_READ,flat_or_saturated,1975018.0,1975018.0,0.0,0.0,-0.4766031238193982,-539.2144237231188,1975018.0,0.0,0.0,0.0,0.0
SP,SP_TEXTURE_FETCH_LATENCY_CYCLES,flat_or_saturated,1943120.0,1943120.0,0.0,0.0,-0.4766031238193981,-530.5057123655916,1943120.0,0.0,0.0,0.0,0.0
SP,SP_GPR_CACHE_SRC0_GPR_RDCNT,flat_or_saturated,1880644.0,1880644.0,0.0,0.0,-0.47660312381939823,-513.4486727150539,1880644.0,0.0,0.0,0.0,0.0
SP,SP_LM_WORKING_CYCLES,flat_or_saturated,1880599.0,1880599.0,0.0,0.0,-0.47660312381939807,-513.4363869287638,1880599.0,0.0,0.0,0.0,0.0
SP,SP_LB_NONUAV_TOTAL_DUALQUAD,flat_or_saturated,1865728.0,1865728.0,0.0,0.0,-0.47660312381939823,-509.37634408602185,1865728.0,0.0,0.0,0.0,0.0
SP,SP_LB_NONUAV_TOTAL_REQ,flat_or_saturated,1865728.0,1865728.0,0.0,0.0,-0.47660312381939823,-509.37634408602185,1865728.0,0.0,0.0,0.0,0.0
TP,TP_BUSY_CYCLES,flat_or_saturated,1842528.0,1842528.0,0.0,0.0,-0.47660312381939823,-503.0423387096777,1842528.0,0.0,0.0,0.0,0.0
SP,SP_WAVE_ALU_CYCLES,flat_or_saturated,1711984.0,1711984.0,0.0,0.0,-0.47660312381939823,-467.4015456989252,1711984.0,0.0,0.0,0.0,0.0
TP,TP_STARVE_CYCLES_SP,flat_or_saturated,1702071.0,1702071.0,0.0,0.0,-0.4766031238193983,-464.6951234879035,1702071.0,0.0,0.0,0.0,0.0
TP,TP_TPA2TPC_TRANS,flat_or_saturated,1700910.0,1700910.0,0.0,0.0,-0.4766031238193982,-464.37815020161315,1700910.0,0.0,0.0,0.0,0.0
SP,SP_LM_STORE_INSTRUCTIONS,flat_or_saturated,1676288.0,1676288.0,0.0,0.0,-0.4766031238193982,-457.6559139784949,1676288.0,0.0,0.0,0.0,0.0
SP,SP_LOW_EFFICIENCY_STARVED_BY_TP,flat_or_saturated,1673098.0,1673098.0,0.0,0.0,-0.4766031238193982,-456.7849882392477,1673098.0,0.0,0.0,0.0,0.0
SP,SP_GPR_CACHE_SRC1_RDCNT,flat_or_saturated,1659718.0,1659718.0,0.0,0.0,-0.4766031238193982,-453.13201444892496,1659718.0,0.0,0.0,0.0,0.0
