elapsed_s,RBBM_US_VSC_BUSY,RBBM_US_UCHE_BUSY,RBBM_US_HLSQ_BUSY,RBBM_S_HLSQ_BUSY
0.736211,0,0,104,0
0.737595,0,0,104,0
0.739115,0,0,104,0
0.740680,0,0,104,0
0.742228,0,0,104,0
0.743838,0,0,104,0
0.745344,0,0,104,0
0.746907,0,0,104,0
0.748519,0,0,104,0
0.749895,0,0,104,0
0.751541,0,0,104,0
0.753092,0,0,104,0
0.754687,0,0,104,0
0.756236,0,0,104,0
0.757786,0,0,104,0
0.759335,0,0,104,0
0.760881,0,0,104,0
0.762487,0,0,104,0
0.764045,0,0,104,0
0.765590,0,0,104,0
0.767110,0,0,104,0
0.768605,0,0,104,0
0.770785,0,0,104,0
0.772181,0,0,104,0
0.773580,0,0,104,0
0.775273,0,0,104,0
0.776665,0,0,104,0
0.778053,0,0,104,0
0.779476,0,0,104,0
0.780862,0,0,104,0
0.782249,0,0,104,0
0.783644,0,0,104,0
0.785157,0,0,104,0
0.786754,0,0,104,0
0.788301,0,0,104,0
0.789809,0,0,104,0
0.791201,0,0,104,0
0.792716,0,0,104,0
0.794322,0,0,104,0
0.795872,0,0,104,0
0.797419,0,0,104,0
0.799040,0,0,104,0
0.800589,0,0,104,0
0.802140,0,0,104,0
0.803691,0,0,104,0
0.805254,0,0,104,0
0.806803,0,0,104,0
0.808353,0,0,104,0
0.809904,0,0,104,0
0.811497,0,0,104,0
0.813045,0,0,104,0
0.814596,0,0,104,0
0.816159,0,0,104,0
0.817707,0,0,104,0
0.819120,0,0,104,0
0.820640,0,0,104,0
0.822191,0,0,104,0
0.823741,0,0,104,0
0.825288,0,0,104,0
0.826765,0,0,104,0
0.828285,0,0,104,0
0.829836,0,0,104,0
0.831390,0,0,104,0
0.832938,0,0,104,0
0.834531,0,0,104,0
0.836080,0,0,104,0
0.837641,0,0,104,0
0.839195,0,0,104,0
0.840743,0,0,104,0
0.842338,0,0,104,0
0.843888,0,0,104,0
0.845436,0,0,104,0
0.847055,0,0,104,0
0.848614,0,0,104,0
0.850208,0,0,104,0
0.851758,0,0,104,0
0.853306,0,0,104,0
0.854734,0,0,104,0
0.856259,0,0,104,0
0.857812,0,0,104,0
0.859418,0,0,104,0
0.860967,0,0,104,0
0.862519,0,0,104,0
0.864070,0,0,104,0
0.865619,0,0,104,0
0.867175,0,0,104,0
0.868724,0,0,104,0
0.870290,0,0,104,0
0.871840,0,0,104,0
0.873388,0,0,104,0
0.874983,0,0,104,0
0.876535,0,0,104,0
0.878088,0,0,104,0
0.879629,0,0,104,0
0.881183,0,0,104,0
0.882606,0,0,104,0
0.884188,0,0,104,0
0.885736,0,0,104,0
0.887342,0,0,104,0
0.888891,0,0,104,0
0.890487,0,0,104,0
0.892051,0,0,104,0
0.893600,0,0,104,0
0.895192,0,0,104,0
0.896741,0,0,104,0
0.898338,0,0,104,0
0.899888,0,0,104,0
0.901438,0,0,104,0
0.903065,0,0,104,0
0.904614,0,0,104,0
0.906209,0,0,104,0
0.907761,0,0,104,0
0.909310,0,0,104,0
0.910860,0,0,104,0
0.912412,0,0,104,0
0.913977,0,0,104,0
0.915529,0,0,104,0
0.917078,0,0,104,0
0.918628,0,0,104,0
0.920180,0,0,104,0
0.921729,0,0,104,0
0.923143,0,0,104,0
0.924544,0,0,104,0
0.926065,0,0,104,0
0.927615,0,0,104,0
0.929166,0,0,104,0
0.930759,0,0,104,0
0.932311,0,0,104,0
0.933863,0,0,104,0
0.935305,0,0,104,0
0.936824,0,0,104,0
0.938421,0,0,104,0
0.939974,0,0,104,0
0.941523,0,0,104,0
0.943078,0,0,104,0
0.944628,0,0,104,0
0.946244,0,0,104,0
0.947796,0,0,104,0
0.949345,0,0,104,0
0.950895,0,0,104,0
0.952447,0,0,104,0
0.954000,0,0,104,0
0.955595,0,0,104,0
0.957159,0,0,104,0
0.958710,0,0,104,0
0.960261,0,0,104,0
0.961814,0,0,104,0
0.963365,0,0,104,0
0.964914,0,0,104,0
0.966467,0,0,104,0
0.968032,0,0,104,0
0.969582,0,0,104,0
0.971082,0,0,104,0
0.972474,0,0,104,0
0.973993,0,0,104,0
0.975535,0,0,104,0
0.977075,0,0,104,0
0.978511,0,0,104,0
0.979929,0,0,104,0
0.981476,0,0,104,0
0.983032,0,0,104,0
0.984620,0,0,104,0
0.986220,0,0,104,0
0.987772,0,0,104,0
0.989342,0,0,104,0
0.990894,0,0,104,0
0.992446,0,0,104,0
0.994000,0,0,104,0
0.995597,0,0,104,0
0.997146,0,0,104,0
0.998697,0,0,104,0
1.000263,0,0,104,0
1.001817,0,0,104,0
1.003370,0,0,104,0
1.004920,0,0,104,0
1.006473,0,0,104,0
1.008015,0,0,104,0
1.009555,0,0,104,0
1.010993,0,0,104,0
1.012515,0,0,104,0
1.014068,0,0,104,0
1.015620,0,0,104,0
1.017169,0,0,104,0
1.018765,0,0,104,0
1.020318,0,0,104,0
1.021884,0,0,104,0
1.023437,0,0,104,0
1.024987,0,0,104,0
1.026584,0,0,104,0
1.028137,0,0,104,0
1.029688,0,0,104,0
1.031245,0,0,104,0
1.032689,0,0,104,0
1.034264,0,0,104,0
1.035819,0,0,104,0
1.037373,0,0,104,0
1.038928,0,0,104,0
1.040473,0,0,104,0
1.041988,0,0,104,0
1.043597,0,0,104,0
1.045149,0,0,104,0
1.046703,0,0,104,0
1.048257,0,0,104,0
1.049813,0,0,104,0
1.051368,0,0,104,0
1.052920,0,0,104,0
1.054491,0,0,104,0
1.056019,0,0,104,0
1.057571,0,0,104,0
1.059129,0,0,104,0
1.060680,0,0,104,0
1.062234,0,0,104,0
1.063786,0,0,104,0
1.065351,0,0,104,0
1.066948,0,0,104,0
1.068500,0,0,104,0
1.070055,0,0,104,0
1.071608,0,0,104,0
1.073159,0,0,104,0
1.074756,0,0,104,0
1.076323,0,0,104,0
1.077876,0,0,104,0
1.079469,0,0,104,0
1.080935,0,0,104,0
1.082410,0,0,104,0
1.083806,0,0,104,0
1.085197,0,0,104,0
1.086598,0,0,104,0
1.088002,0,0,104,0
1.089391,0,0,104,0
1.090818,0,0,104,0
1.092206,0,0,104,0
1.093595,0,0,104,0
1.094986,0,0,104,0
1.096373,0,0,104,0
1.097901,0,0,104,0
1.099499,0,0,104,0
1.101054,0,0,104,0
1.102608,0,0,104,0
1.104159,0,0,104,0
1.105709,0,0,104,0
1.107308,0,0,104,0
1.108872,0,0,104,0
1.110427,0,0,104,0
1.111980,0,0,104,0
1.113531,0,0,104,0
1.115089,0,0,104,0
1.116641,0,0,104,0
1.118198,0,0,104,0
1.119765,0,0,104,0
1.121316,0,0,104,0
1.122914,0,0,104,0
1.124468,0,0,104,0
1.126024,0,0,104,0
1.127577,0,0,104,0
1.129129,0,0,104,0
1.130568,0,0,104,0
1.132090,0,0,104,0
1.133518,0,0,104,0
1.135051,0,0,104,0
1.136604,0,0,104,0
1.138205,0,0,104,0
1.139761,0,0,104,0
1.141329,0,0,104,0
1.142884,0,0,104,0
1.144440,0,0,104,0
1.145997,0,0,104,0
1.147598,0,0,104,0
1.149151,0,0,104,0
1.150706,0,0,104,0
1.152274,0,0,104,0
1.153830,0,0,104,0
1.155387,0,0,104,0
1.156940,0,0,104,0
1.158497,0,0,104,0
1.160053,0,0,104,0
1.161606,0,0,104,0
1.163056,0,0,104,0
1.164580,0,0,104,0
1.166136,0,0,104,0
1.167683,0,0,104,0
1.169228,0,0,104,0
1.170655,0,0,104,0
1.172184,0,0,104,0
1.173750,0,0,104,0
1.175358,0,0,104,0
1.176911,0,0,104,0
1.178512,0,0,104,0
1.180068,0,0,104,0
1.181510,0,0,104,0
1.182915,0,0,104,0
1.184317,0,0,104,0
1.185702,0,0,104,0
1.187208,0,0,104,0
1.188596,0,0,104,0
1.190117,0,0,104,0
1.191672,0,0,104,0
1.193224,0,0,104,0
1.194836,0,0,104,0
1.196388,0,0,104,0
1.197943,0,0,104,0
1.199497,0,0,104,0
1.201049,0,0,104,0
1.202648,0,0,104,0
1.204204,0,0,104,0
1.205838,0,0,104,0
1.207335,0,0,104,0
