elapsed_s,VPC_FE_TSE_FE_TRANSACTIONS,VPC_FE_STALL_CYCLES_CCU,VPC_FE_NUM_WM_HIT,VPC_FE_STALL_DQ_WACK,VPC_FE_STALL_CYCLES_PRG_END_FE,VPC_FE_STALL_CYCLES_PRG_END_VPCVS
1.072971,0,0,0,0,0,0
1.074536,0,0,0,0,0,0
1.076103,0,0,0,0,0,0
1.077670,0,0,0,0,0,0
1.079248,0,0,0,0,0,0
1.080812,0,0,0,0,0,0
1.082423,0,0,0,0,0,0
1.083987,0,0,0,0,0,0
1.086357,0,0,0,0,0,0
1.087936,0,0,0,0,0,0
1.089363,0,0,0,0,0,0
1.090770,0,0,0,0,0,0
1.092172,0,0,0,0,0,0
1.093574,0,0,0,0,0,0
1.094952,0,0,0,0,0,0
1.096352,0,0,0,0,0,0
1.097927,0,0,0,0,0,0
1.099380,0,0,0,0,0,0
1.100786,0,0,0,0,0,0
1.102191,0,0,0,0,0,0
1.103594,0,0,0,0,0,0
1.104993,0,0,0,0,0,0
1.106396,0,0,0,0,0,0
1.107924,0,0,0,0,0,0
1.109490,0,0,0,0,0,0
1.110943,0,0,0,0,0,0
1.112349,0,0,0,0,0,0
1.113753,0,0,0,0,0,0
1.115200,0,0,0,0,0,0
1.116600,0,0,0,0,0,0
1.118003,0,0,0,0,0,0
1.119534,0,0,0,0,0,0
1.121108,0,0,0,0,0,0
1.122739,0,0,0,0,0,0
1.124303,0,0,0,0,0,0
1.125870,0,0,0,0,0,0
1.127435,0,0,0,0,0,0
1.128998,0,0,0,0,0,0
1.130607,0,0,0,0,0,0
1.132187,0,0,0,0,0,0
1.133754,0,0,0,0,0,0
1.135311,0,0,0,0,0,0
1.136866,0,0,0,0,0,0
1.138298,0,0,0,0,0,0
1.139831,0,0,0,0,0,0
1.141394,0,0,0,0,0,0
1.142785,0,0,0,0,0,0
1.144188,0,0,0,0,0,0
1.145718,0,0,0,0,0,0
1.147327,0,0,0,0,0,0
1.148890,0,0,0,0,0,0
1.150453,0,0,0,0,0,0
1.152017,0,0,0,0,0,0
1.153596,0,0,0,0,0,0
1.155160,0,0,0,0,0,0
1.156723,0,0,0,0,0,0
1.158289,0,0,0,0,0,0
1.159853,0,0,0,0,0,0
1.161415,0,0,0,0,0,0
1.163023,0,0,0,0,0,0
1.164599,0,0,0,0,0,0
1.166164,0,0,0,0,0,0
1.167728,0,0,0,0,0,0
1.169291,0,0,0,0,0,0
1.170859,0,0,0,0,0,0
1.172421,0,0,0,0,0,0
1.173987,0,0,0,0,0,0
