elapsed_s,HLSQ_FS_SP_CCTX_NUM,HLSQ_BV_SP_CCTX_NUM,HLSQ_VS_SP_SCTX_NUM,HLSQ_FS_SP_SCTX_NUM,HLSQ_BV_SP_SCTX_NUM
1.001269,0,0,0,0,0
1.002821,0,0,0,0,0
1.004273,0,0,0,0,0
1.005807,0,0,0,0,0
1.007364,0,0,0,0,0
1.008920,0,0,0,0,0
1.010520,0,0,0,0,0
1.012087,0,0,0,0,0
1.013690,0,0,0,0,0
1.015248,0,0,0,0,0
1.016804,0,0,0,0,0
1.018403,0,0,0,0,0
1.019949,0,0,0,0,0
1.021376,0,0,0,0,0
1.022949,0,0,0,0,0
1.024504,0,0,0,0,0
1.026061,0,0,0,0,0
1.027618,0,0,0,0,0
1.029177,0,0,0,0,0
1.030736,0,0,0,0,0
1.032291,0,0,0,0,0
1.033862,0,0,0,0,0
1.035419,0,0,0,0,0
1.037055,0,0,0,0,0
1.038458,0,0,0,0,0
1.039854,0,0,0,0,0
1.041378,0,0,0,0,0
1.042935,0,0,0,0,0
1.044503,0,0,0,0,0
1.046104,0,0,0,0,0
1.047662,0,0,0,0,0
1.049220,0,0,0,0,0
1.050777,0,0,0,0,0
1.052332,0,0,0,0,0
1.053888,0,0,0,0,0
1.055450,0,0,0,0,0
1.057109,0,0,0,0,0
1.058661,0,0,0,0,0
1.060214,0,0,0,0,0
1.061815,0,0,0,0,0
1.063370,0,0,0,0,0
1.064924,0,0,0,0,0
1.066311,0,0,0,0,0
1.067706,0,0,0,0,0
1.069228,0,0,0,0,0
1.070784,0,0,0,0,0
1.072338,0,0,0,0,0
1.073893,0,0,0,0,0
1.075449,0,0,0,0,0
1.077018,0,0,0,0,0
1.078574,0,0,0,0,0
1.080128,0,0,0,0,0
1.081696,0,0,0,0,0
1.083255,0,0,0,0,0
1.084809,0,0,0,0,0
1.086194,0,0,0,0,0
1.087595,0,0,0,0,0
1.089133,0,0,0,0,0
1.090687,0,0,0,0,0
1.092117,0,0,0,0,0
1.093558,0,0,0,0,0
1.095080,0,0,0,0,0
1.096634,0,0,0,0,0
1.098255,0,0,0,0,0
1.099808,0,0,0,0,0
1.101365,0,0,0,0,0
1.102921,0,0,0,0,0
1.104473,0,0,0,0,0
1.105906,0,0,0,0,0
1.107431,0,0,0,0,0
1.108873,0,0,0,0,0
1.110405,0,0,0,0,0
1.111958,0,0,0,0,0
1.114036,0,0,0,0,0
1.115470,0,0,0,0,0
1.117207,0,0,0,0,0
1.118901,0,0,0,0,0
1.121890,0,0,0,0,0
1.123290,0,0,0,0,0
1.124683,0,0,0,0,0
1.126175,0,0,0,0,0
1.127568,0,0,0,0,0
1.128959,0,0,0,0,0
1.130387,0,0,0,0,0
1.131796,0,0,0,0,0
1.133190,0,0,0,0,0
1.134587,0,0,0,0,0
1.135979,0,0,0,0,0
1.137371,0,0,0,0,0
1.138886,0,0,0,0,0
1.140264,0,0,0,0,0
1.141699,0,0,0,0,0
1.143106,0,0,0,0,0
1.144497,0,0,0,0,0
1.145890,0,0,0,0,0
1.147282,0,0,0,0,0
1.148672,0,0,0,0,0
1.150244,0,0,0,0,0
1.151799,0,0,0,0,0
1.153368,0,0,0,0,0
1.154925,0,0,0,0,0
1.156479,0,0,0,0,0
1.158078,0,0,0,0,0
1.159638,0,0,0,0,0
1.161177,0,0,0,0,0
1.162733,0,0,0,0,0
1.164179,0,0,0,0,0
1.165708,0,0,0,0,0
1.167265,0,0,0,0,0
1.168820,0,0,0,0,0
1.170381,0,0,0,0,0
1.171937,0,0,0,0,0
1.173539,0,0,0,0,0
1.175110,0,0,0,0,0
1.176665,0,0,0,0,0
1.178183,0,0,0,0,0
1.179709,0,0,0,0,0
1.181268,0,0,0,0,0
1.182823,0,0,0,0,0
1.184378,0,0,0,0,0
1.185947,0,0,0,0,0
1.187504,0,0,0,0,0
1.189063,0,0,0,0,0
1.190662,0,0,0,0,0
1.192217,0,0,0,0,0
1.193775,0,0,0,0,0
1.195331,0,0,0,0,0
1.196899,0,0,0,0,0
1.198460,0,0,0,0,0
1.200014,0,0,0,0,0
1.201571,0,0,0,0,0
1.203127,0,0,0,0,0
1.204559,0,0,0,0,0
1.206089,0,0,0,0,0
1.207516,0,0,0,0,0
1.209098,0,0,0,0,0
1.210498,0,0,0,0,0
1.211887,0,0,0,0,0
1.213275,0,0,0,0,0
1.214662,0,0,0,0,0
1.216053,0,0,0,0,0
1.217513,0,0,0,0,0
1.219053,0,0,0,0,0
1.220893,0,0,0,0,0
1.222288,0,0,0,0,0
1.223906,0,0,0,0,0
1.225396,0,0,0,0,0
1.227280,0,0,0,0,0
1.229202,0,0,0,0,0
1.230707,0,0,0,0,0
1.232855,0,0,0,0,0
1.234224,0,0,0,0,0
1.235973,0,0,0,0,0
1.237608,0,0,0,0,0
1.238985,0,0,0,0,0
1.240352,0,0,0,0,0
