elapsed_s,RAS_LRZ_INTF_WORKING_CYCLES,RAS_BLOCKS,RAS_FALSE_PARTIAL_STILE,RAS_SLICE_BLOCK_NONEMTPY
0.914653,0,0,0,0
0.916217,0,0,0,0
0.917767,0,0,0,0
0.919318,0,0,0,0
0.920866,0,0,0,0
0.923198,0,0,0,0
0.924753,0,0,0,0
0.926317,0,0,0,0
0.927866,0,0,0,0
0.929415,0,0,0,0
0.930964,0,0,0,0
0.932440,0,0,0,0
0.933842,0,0,0,0
0.935361,0,0,0,0
0.936923,0,0,0,0
0.938475,0,0,0,0
0.940027,0,0,0,0
0.941576,0,0,0,0
0.943272,0,0,0,0
0.944820,0,0,0,0
0.946372,0,0,0,0
0.947935,0,0,0,0
0.949484,0,0,0,0
0.951039,0,0,0,0
0.952589,0,0,0,0
0.954183,0,0,0,0
0.955734,0,0,0,0
0.957283,0,0,0,0
0.958785,0,0,0,0
0.960308,0,0,0,0
0.961860,0,0,0,0
0.963412,0,0,0,0
0.964962,0,0,0,0
0.966513,0,0,0,0
0.968065,0,0,0,0
0.969637,0,0,0,0
0.971189,0,0,0,0
0.972739,0,0,0,0
0.974291,0,0,0,0
0.975843,0,0,0,0
0.977392,0,0,0,0
0.978947,0,0,0,0
0.980386,0,0,0,0
0.981910,0,0,0,0
0.983462,0,0,0,0
0.985013,0,0,0,0
0.986607,0,0,0,0
0.988049,0,0,0,0
0.989651,0,0,0,0
0.991213,0,0,0,0
0.992762,0,0,0,0
0.994316,0,0,0,0
0.995866,0,0,0,0
0.997416,0,0,0,0
0.998970,0,0,0,0
1.000520,0,0,0,0
1.002131,0,0,0,0
1.003683,0,0,0,0
1.005233,0,0,0,0
1.006656,0,0,0,0
1.008177,0,0,0,0
1.009732,0,0,0,0
1.011285,0,0,0,0
1.012847,0,0,0,0
1.014400,0,0,0,0
1.015942,0,0,0,0
1.017482,0,0,0,0
1.019055,0,0,0,0
1.020641,0,0,0,0
1.022192,0,0,0,0
1.023756,0,0,0,0
1.025306,0,0,0,0
1.026946,0,0,0,0
1.028495,0,0,0,0
1.030046,0,0,0,0
1.031596,0,0,0,0
1.033145,0,0,0,0
1.034626,0,0,0,0
1.036151,0,0,0,0
1.037705,0,0,0,0
1.039259,0,0,0,0
1.040810,0,0,0,0
1.042364,0,0,0,0
1.043917,0,0,0,0
1.045482,0,0,0,0
1.047039,0,0,0,0
1.048591,0,0,0,0
1.050192,0,0,0,0
1.051745,0,0,0,0
1.053297,0,0,0,0
1.055199,0,0,0,0
1.056730,0,0,0,0
1.058152,0,0,0,0
1.059674,0,0,0,0
1.061225,0,0,0,0
1.062777,0,0,0,0
1.064328,0,0,0,0
1.065882,0,0,0,0
1.067495,0,0,0,0
1.069046,0,0,0,0
1.070599,0,0,0,0
1.072151,0,0,0,0
1.073702,0,0,0,0
1.075254,0,0,0,0
1.076804,0,0,0,0
1.078369,0,0,0,0
1.079922,0,0,0,0
1.081472,0,0,0,0
1.083030,0,0,0,0
1.084581,0,0,0,0
1.086135,0,0,0,0
1.087687,0,0,0,0
1.089127,0,0,0,0
1.090650,0,0,0,0
1.092202,0,0,0,0
1.093757,0,0,0,0
1.095310,0,0,0,0
1.096861,0,0,0,0
1.098459,0,0,0,0
1.100065,0,0,0,0
1.101619,0,0,0,0
1.103172,0,0,0,0
1.104722,0,0,0,0
1.106276,0,0,0,0
1.107829,0,0,0,0
1.109380,0,0,0,0
1.110948,0,0,0,0
1.112498,0,0,0,0
1.114096,0,0,0,0
1.115648,0,0,0,0
1.117199,0,0,0,0
1.118754,0,0,0,0
1.120307,0,0,0,0
1.121874,0,0,0,0
1.123427,0,0,0,0
1.124978,0,0,0,0
1.126531,0,0,0,0
1.128084,0,0,0,0
1.129637,0,0,0,0
1.131188,0,0,0,0
1.132631,0,0,0,0
1.134162,0,0,0,0
1.135716,0,0,0,0
1.137269,0,0,0,0
1.138907,0,0,0,0
1.140461,0,0,0,0
1.142018,0,0,0,0
1.143586,0,0,0,0
1.145138,0,0,0,0
1.146736,0,0,0,0
1.148292,0,0,0,0
1.149847,0,0,0,0
1.151402,0,0,0,0
1.152954,0,0,0,0
1.154522,0,0,0,0
1.156077,0,0,0,0
1.157633,0,0,0,0
1.159187,0,0,0,0
1.160741,0,0,0,0
1.162341,0,0,0,0
1.163894,0,0,0,0
1.165458,0,0,0,0
1.167017,0,0,0,0
1.168570,0,0,0,0
1.170124,0,0,0,0
1.171677,0,0,0,0
1.173228,0,0,0,0
1.174782,0,0,0,0
1.176351,0,0,0,0
1.178140,0,0,0,0
1.179684,0,0,0,0
1.181087,0,0,0,0
1.182485,0,0,0,0
1.183876,0,0,0,0
1.185266,0,0,0,0
1.186731,0,0,0,0
1.188251,0,0,0,0
1.189807,0,0,0,0
1.191361,0,0,0,0
1.192915,0,0,0,0
1.194516,0,0,0,0
1.196071,0,0,0,0
1.197641,0,0,0,0
1.199196,0,0,0,0
1.200749,0,0,0,0
1.202305,0,0,0,0
1.203859,0,0,0,0
1.205412,0,0,0,0
1.206970,0,0,0,0
1.208535,0,0,0,0
1.210136,0,0,0,0
1.211691,0,0,0,0
1.213244,0,0,0,0
1.214858,0,0,0,0
1.216412,0,0,0,0
1.217968,0,0,0,0
1.219536,0,0,0,0
1.221089,0,0,0,0
1.222643,0,0,0,0
1.224197,0,0,0,0
1.225753,0,0,0,0
1.227344,0,0,0,0
1.228888,0,0,0,0
1.230325,0,0,0,0
1.231849,0,0,0,0
1.233403,0,0,0,0
1.234960,0,0,0,0
1.236932,0,0,0,0
1.238290,0,0,0,0
1.239694,0,0,0,0
1.241108,0,0,0,0
1.242542,0,0,0,0
1.243933,0,0,0,0
1.245320,0,0,0,0
1.246758,0,0,0,0
1.248274,0,0,0,0
1.249825,0,0,0,0
1.251264,0,0,0,0
1.252783,0,0,0,0
1.254335,0,0,0,0
1.255886,0,0,0,0
1.257435,0,0,0,0
1.259035,0,0,0,0
1.260584,0,0,0,0
1.262151,0,0,0,0
1.263701,0,0,0,0
1.265248,0,0,0,0
1.266857,0,0,0,0
1.268405,0,0,0,0
1.269958,0,0,0,0
1.271507,0,0,0,0
1.273069,0,0,0,0
1.274663,0,0,0,0
1.276214,0,0,0,0
1.277765,0,0,0,0
1.279315,0,0,0,0
