elapsed_s,RBBM_S_PC_BUSY,RBBM_S_TESS_BUSY,RBBM_S_TSEFE_BUSY,RBBM_S_TSEBE_BUSY
1.331885,0,0,0,0
1.333429,0,0,0,0
1.334865,0,0,0,0
1.336298,0,0,0,0
1.337701,0,0,0,0
1.339092,0,0,0,0
1.340480,0,0,0,0
1.341870,0,0,0,0
1.343381,0,0,0,0
1.344933,0,0,0,0
1.346486,0,0,0,0
1.348053,0,0,0,0
1.349609,0,0,0,0
1.351161,0,0,0,0
1.352711,0,0,0,0
1.354266,0,0,0,0
1.355818,0,0,0,0
1.357369,0,0,0,0
1.358939,0,0,0,0
1.360489,0,0,0,0
1.361913,0,0,0,0
1.363311,0,0,0,0
1.364822,0,0,0,0
1.366285,0,0,0,0
1.367808,0,0,0,0
1.369372,0,0,0,0
1.370929,0,0,0,0
1.372481,0,0,0,0
1.374079,0,0,0,0
1.375633,0,0,0,0
1.377184,0,0,0,0
1.378807,0,0,0,0
1.380372,0,0,0,0
1.381971,0,0,0,0
1.383525,0,0,0,0
1.385076,0,0,0,0
1.386629,0,0,0,0
1.388081,0,0,0,0
1.389775,0,0,0,0
