elapsed_s,TSE_BE_BV_STALLS_DUETO_BR_POLY,TSE_BE_BV_STALLS_DUETO_BR,TSE_FE_BUSY_CYCLES,TSE_FE_STALL_CYCLES_VPC_US
0.937768,0,0,0,0
0.939290,0,0,0,0
0.940844,0,0,0,0
0.942444,0,0,0,0
0.944014,0,0,0,0
0.945572,0,0,0,0
0.947127,0,0,0,0
0.948561,0,0,0,0
0.950138,0,0,0,0
0.951685,0,0,0,0
0.953231,0,0,0,0
0.954663,0,0,0,0
0.956055,0,0,0,0
0.957578,0,0,0,0
0.959178,0,0,0,0
0.960730,0,0,0,0
0.962284,0,0,0,0
0.963838,0,0,0,0
0.965408,0,0,0,0
0.967006,0,0,0,0
0.968558,0,0,0,0
0.970113,0,0,0,0
0.971668,0,0,0,0
0.973220,0,0,0,0
0.974648,0,0,0,0
0.976051,0,0,0,0
0.977573,0,0,0,0
0.979127,0,0,0,0
0.980680,0,0,0,0
0.982278,0,0,0,0
0.983833,0,0,0,0
0.985390,0,0,0,0
0.986958,0,0,0,0
0.988388,0,0,0,0
0.989964,0,0,0,0
0.991544,0,0,0,0
0.993008,0,0,0,0
0.994424,0,0,0,0
0.995815,0,0,0,0
0.997215,0,0,0,0
0.998655,0,0,0,0
1.000043,0,0,0,0
1.001565,0,0,0,0
1.003121,0,0,0,0
1.004676,0,0,0,0
1.006273,0,0,0,0
1.007841,0,0,0,0
1.009397,0,0,0,0
1.010948,0,0,0,0
1.012499,0,0,0,0
1.014116,0,0,0,0
1.015529,0,0,0,0
1.016922,0,0,0,0
1.018329,0,0,0,0
1.019716,0,0,0,0
1.021100,0,0,0,0
1.022491,0,0,0,0
1.023922,0,0,0,0
1.025314,0,0,0,0
1.026706,0,0,0,0
1.028098,0,0,0,0
1.029498,0,0,0,0
1.031061,0,0,0,0
1.032615,0,0,0,0
1.034171,0,0,0,0
1.035742,0,0,0,0
1.037297,0,0,0,0
1.038852,0,0,0,0
1.040420,0,0,0,0
1.041978,0,0,0,0
1.043533,0,0,0,0
1.045087,0,0,0,0
1.046648,0,0,0,0
1.048202,0,0,0,0
1.049759,0,0,0,0
1.051329,0,0,0,0
1.052883,0,0,0,0
1.054483,0,0,0,0
1.056031,0,0,0,0
1.057629,0,0,0,0
1.059155,0,0,0,0
1.060706,0,0,0,0
1.062316,0,0,0,0
1.063747,0,0,0,0
1.065343,0,0,0,0
1.066961,0,0,0,0
1.068392,0,0,0,0
1.069969,0,0,0,0
1.071524,0,0,0,0
1.072965,0,0,0,0
1.074550,0,0,0,0
1.076100,0,0,0,0
1.077653,0,0,0,0
1.079204,0,0,0,0
1.080753,0,0,0,0
1.082304,0,0,0,0
1.083745,0,0,0,0
1.085328,0,0,0,0
1.086849,0,0,0,0
1.088400,0,0,0,0
1.089953,0,0,0,0
1.091505,0,0,0,0
1.093055,0,0,0,0
1.094632,0,0,0,0
1.096183,0,0,0,0
1.097736,0,0,0,0
1.099326,0,0,0,0
1.100874,0,0,0,0
1.102470,0,0,0,0
1.104021,0,0,0,0
1.105588,0,0,0,0
1.107139,0,0,0,0
1.108569,0,0,0,0
1.110140,0,0,0,0
1.111691,0,0,0,0
1.113239,0,0,0,0
1.114652,0,0,0,0
1.116052,0,0,0,0
1.117571,0,0,0,0
1.119167,0,0,0,0
1.120717,0,0,0,0
1.122267,0,0,0,0
1.123843,0,0,0,0
1.125361,0,0,0,0
1.126817,0,0,0,0
1.128207,0,0,0,0
1.129598,0,0,0,0
1.130988,0,0,0,0
1.132377,0,0,0,0
1.133940,0,0,0,0
1.135492,0,0,0,0
1.136934,0,0,0,0
1.138686,0,0,0,0
1.140248,0,0,0,0
1.141715,0,0,0,0
1.143240,0,0,0,0
1.144795,0,0,0,0
1.146350,0,0,0,0
1.147987,0,0,0,0
1.149433,0,0,0,0
1.150883,0,0,0,0
1.152275,0,0,0,0
1.153668,0,0,0,0
1.155058,0,0,0,0
1.156447,0,0,0,0
1.158026,0,0,0,0
1.159573,0,0,0,0
1.161119,0,0,0,0
1.162534,0,0,0,0
1.163928,0,0,0,0
1.165450,0,0,0,0
1.167051,0,0,0,0
1.168618,0,0,0,0
1.170174,0,0,0,0
1.171731,0,0,0,0
1.173353,0,0,0,0
1.175018,0,0,0,0
1.176571,0,0,0,0
1.178286,0,0,0,0
1.180052,0,0,0,0
1.181459,0,0,0,0
1.182897,0,0,0,0
1.184288,0,0,0,0
1.185680,0,0,0,0
1.187072,0,0,0,0
1.188468,0,0,0,0
1.190112,0,0,0,0
1.191669,0,0,0,0
1.193224,0,0,0,0
1.194824,0,0,0,0
1.196377,0,0,0,0
1.197979,0,0,0,0
1.199534,0,0,0,0
1.201103,0,0,0,0
