elapsed_s,VPC_US_STREAMOUT_TRANSACTION,VPC_US_NUM_GMEM_READ_SO,VPC_US_STARVE_CYCLES_UCHE_RD,VPC_US_STALL_CYCLES_PRG_END_VPCUS,VPC_US_STARVE_CYCLES_REORDER,VPC_US_BOTTLENECK
0.560416,0,0,0,0,1237914,0
0.561977,0,0,0,0,1240176,0
0.563538,0,0,0,0,1241505,0
0.565097,0,0,0,0,1241928,0
0.566703,0,0,0,0,1242147,0
0.568278,0,0,0,0,1242447,0
0.569837,0,0,0,0,1131807,0
0.571419,0,0,0,0,1237452,0
0.572975,0,0,0,0,1242855,0
0.574577,0,0,0,0,1245405,0
0.576137,0,0,0,0,1243449,0
0.577695,0,0,0,0,1527435,0
0.579221,0,0,0,0,1208352,0
0.580749,0,0,0,0,1237362,0
0.582354,0,0,0,0,1240293,0
0.583913,0,0,0,0,1242810,0
0.585471,0,0,0,0,1244073,0
0.587030,0,0,0,0,1237851,0
0.588591,0,0,0,0,1239414,0
0.590165,0,0,0,0,1384887,0
0.591771,0,0,0,0,1240173,0
0.593329,0,0,0,0,1237086,0
0.594888,0,0,0,0,1241610,0
0.596448,0,0,0,0,1273164,0
0.598009,0,0,0,0,1375587,0
0.599614,0,0,0,0,1236582,0
0.601185,0,0,0,0,1235961,0
0.602745,0,0,0,0,1242144,0
0.604305,0,0,0,0,1243974,0
0.605930,0,0,0,0,1583373,0
0.607597,0,0,0,0,1237986,0
0.609155,0,0,0,0,1237299,0
0.610715,0,0,0,0,1238871,0
0.612289,0,0,0,0,1238937,0
0.613914,0,0,0,0,1119573,0
0.615424,0,0,0,0,1233378,0
0.616862,0,0,0,0,1216587,0
0.618397,0,0,0,0,1235673,0
0.620063,0,0,0,0,1250958,0
0.621625,0,0,0,0,1259361,0
0.623207,0,0,0,0,1244223,0
0.624768,0,0,0,0,1239954,0
0.626331,0,0,0,0,1246797,0
0.627893,0,0,0,0,1245918,0
0.629454,0,0,0,0,1243791,0
0.631058,0,0,0,0,1243302,0
0.632620,0,0,0,0,1241607,0
0.634196,0,0,0,0,1247697,0
0.635757,0,0,0,0,1246491,0
0.637316,0,0,0,0,1233495,0
0.638917,0,0,0,0,1241841,0
0.640478,0,0,0,0,1267470,0
0.642039,0,0,0,0,1243269,0
0.643599,0,0,0,0,1236534,0
0.645171,0,0,0,0,1242438,0
0.646773,0,0,0,0,1238925,0
0.648333,0,0,0,0,1239498,0
0.649893,0,0,0,0,1273692,0
0.651454,0,0,0,0,1240176,0
0.653109,0,0,0,0,1379961,0
0.654608,0,0,0,0,1212402,0
0.656152,0,0,0,0,1241289,0
0.657710,0,0,0,0,1257120,0
0.659275,0,0,0,0,1244016,0
0.660834,0,0,0,0,1244055,0
0.662440,0,0,0,0,1241052,0
0.664000,0,0,0,0,1241397,0
0.665558,0,0,0,0,1460208,0
0.667217,0,0,0,0,1195659,0
0.668775,0,0,0,0,1267329,0
0.670380,0,0,0,0,1243368,0
0.671941,0,0,0,0,1236711,0
0.673499,0,0,0,0,1239312,0
0.675120,0,0,0,0,1239174,0
0.676679,0,0,0,0,1238802,0
0.678296,0,0,0,0,1242144,0
0.679857,0,0,0,0,1242150,0
0.681416,0,0,0,0,1239672,0
0.682976,0,0,0,0,1247496,0
0.684536,0,0,0,0,1241595,0
0.686097,0,0,0,0,1385745,0
0.687702,0,0,0,0,1233249,0
0.689274,0,0,0,0,1242789,0
0.690834,0,0,0,0,1240245,0
0.692430,0,0,0,0,1212348,0
