elapsed_s,VPC_FE_SP_COMPONENTS,VPC_FE_STALL_CYCLES_VPCRAM_POS,VPC_FE_VS_BUSY_CYCLES,VPC_FE_VS_WORKING_CYCLES,VPC_FE_NUM_VPCRAM_READ_POS,VPC_FE_WIT_FULL_CYCLES
0.300605,0,0,0,0,0,0
0.302168,0,0,0,0,0,0
0.303741,0,0,0,0,0,0
0.305179,0,0,0,0,0,0
0.306720,0,0,0,0,0,0
0.308283,0,0,0,0,0,0
0.309845,0,0,0,0,0,0
0.311270,0,0,0,0,0,0
0.312674,0,0,0,0,0,0
0.314213,0,0,0,0,0,0
0.315819,0,0,0,0,0,0
0.317379,0,0,0,0,0,0
0.318942,0,0,0,0,0,0
0.320504,0,0,0,0,0,0
0.322068,0,0,0,0,0,0
0.323632,0,0,0,0,0,0
0.325205,0,0,0,0,0,0
0.326768,0,0,0,0,0,0
0.328331,0,0,0,0,0,0
0.329959,0,0,0,0,0,0
0.331628,0,0,0,0,0,0
0.333189,0,0,0,0,0,0
0.334751,0,0,0,0,0,0
0.336329,0,0,0,0,0,0
0.337944,0,0,0,0,0,0
0.339504,0,0,0,0,0,0
0.341066,0,0,0,0,0,0
0.342630,0,0,0,0,0,0
0.344192,0,0,0,0,0,0
0.345753,0,0,0,0,0,0
0.347334,0,0,0,0,0,0
0.348895,0,0,0,0,0,0
0.350458,0,0,0,0,0,0
0.352020,0,0,0,0,0,0
0.353582,0,0,0,0,0,0
0.355268,0,0,0,0,0,0
0.356801,0,0,0,0,0,0
0.358377,0,0,0,0,0,0
0.359940,0,0,0,0,0,0
0.361501,0,0,0,0,0,0
0.363106,0,0,0,0,0,0
0.364669,0,0,0,0,0,0
0.366234,0,0,0,0,0,0
0.367787,0,0,0,0,0,0
0.369351,0,0,0,0,0,0
0.370784,0,0,0,0,0,0
0.372319,0,0,0,0,0,0
0.373879,0,0,0,0,0,0
0.375494,0,0,0,0,0,0
0.377054,0,0,0,0,0,0
0.378660,0,0,0,0,0,0
0.380235,0,0,0,0,0,0
0.381795,0,0,0,0,0,0
0.383359,0,0,0,0,0,0
0.384919,0,0,0,0,0,0
0.386482,0,0,0,0,0,0
0.388043,0,0,0,0,0,0
0.389601,0,0,0,0,0,0
0.391247,0,0,0,0,0,0
0.392808,0,0,0,0,0,0
0.394414,0,0,0,0,0,0
0.395976,0,0,0,0,0,0
0.397535,0,0,0,0,0,0
0.399162,0,0,0,0,0,0
0.400724,0,0,0,0,0,0
0.402298,0,0,0,0,0,0
0.403860,0,0,0,0,0,0
0.405419,0,0,0,0,0,0
0.406979,0,0,0,0,0,0
0.408538,0,0,0,0,0,0
0.410052,0,0,0,0,0,0
0.411657,0,0,0,0,0,0
0.413231,0,0,0,0,0,0
0.414794,0,0,0,0,0,0
0.416355,0,0,0,0,0,0
0.417919,0,0,0,0,0,0
0.419483,0,0,0,0,0,0
0.421045,0,0,0,0,0,0
0.422609,0,0,0,0,0,0
0.424184,0,0,0,0,0,0
0.425745,0,0,0,0,0,0
0.427313,0,0,0,0,0,0
0.428874,0,0,0,0,0,0
0.430437,0,0,0,0,0,0
0.432000,0,0,0,0,0,0
0.434004,0,0,0,0,0,0
0.435441,0,0,0,0,0,0
0.436835,0,0,0,0,0,0
0.438274,0,0,0,0,0,0
0.439675,0,0,0,0,0,0
0.441074,0,0,0,0,0,0
0.442648,0,0,0,0,0,0
0.444211,0,0,0,0,0,0
0.445786,0,0,0,0,0,0
0.447354,0,0,0,0,0,0
0.448915,0,0,0,0,0,0
0.450479,0,0,0,0,0,0
0.452043,0,0,0,0,0,0
0.453604,0,0,0,0,0,0
0.455255,0,0,0,0,0,0
0.456829,0,0,0,0,0,0
0.458438,0,0,0,0,0,0
0.460002,0,0,0,0,0,0
0.461562,0,0,0,0,0,0
0.463178,0,0,0,0,0,0
0.464739,0,0,0,0,0,0
0.466303,0,0,0,0,0,0
0.467881,0,0,0,0,0,0
0.469442,0,0,0,0,0,0
0.471004,0,0,0,0,0,0
0.472567,0,0,0,0,0,0
