elapsed_s,PC_S_TESS_SETUP_ACTIVE,PC_S_TESS_PID_ACTIVE,PC_S_TESS_PRIM_GEN_ACTIVE,PC_S_TESS_FACTOR_TRANS,PC_S_TESS_PC_UV_TRANS,PC_S_TESS_PC_UV_PATCHES,PC_S_MESH_VS_WAVES
0.877310,0,0,0,0,0,0,0
0.878878,0,0,0,0,0,0,0
0.880445,0,0,0,0,0,0,0
0.882028,0,0,0,0,0,0,0
0.883595,0,0,0,0,0,0,0
0.885161,0,0,0,0,0,0,0
0.886734,0,0,0,0,0,0,0
0.888299,0,0,0,0,0,0,0
0.889912,0,0,0,0,0,0,0
0.891479,0,0,0,0,0,0,0
0.893057,0,0,0,0,0,0,0
0.894628,0,0,0,0,0,0,0
0.896194,0,0,0,0,0,0,0
0.897762,0,0,0,0,0,0,0
0.899329,0,0,0,0,0,0,0
0.900895,0,0,0,0,0,0,0
0.902536,0,0,0,0,0,0,0
0.904116,0,0,0,0,0,0,0
0.905737,0,0,0,0,0,0,0
0.907305,0,0,0,0,0,0,0
0.908872,0,0,0,0,0,0,0
0.910439,0,0,0,0,0,0,0
0.912007,0,0,0,0,0,0,0
0.913576,0,0,0,0,0,0,0
0.915158,0,0,0,0,0,0,0
0.916724,0,0,0,0,0,0,0
0.918292,0,0,0,0,0,0,0
0.919859,0,0,0,0,0,0,0
0.921428,0,0,0,0,0,0,0
0.923042,0,0,0,0,0,0,0
0.924608,0,0,0,0,0,0,0
0.926188,0,0,0,0,0,0,0
0.927757,0,0,0,0,0,0,0
0.929327,0,0,0,0,0,0,0
0.930894,0,0,0,0,0,0,0
0.932460,0,0,0,0,0,0,0
0.934029,0,0,0,0,0,0,0
0.935598,0,0,0,0,0,0,0
0.937176,0,0,0,0,0,0,0
0.938750,0,0,0,0,0,0,0
0.940316,0,0,0,0,0,0,0
0.941886,0,0,0,0,0,0,0
0.943443,0,0,0,0,0,0,0
0.945000,0,0,0,0,0,0,0
0.946646,0,0,0,0,0,0,0
0.948223,0,0,0,0,0,0,0
0.949789,0,0,0,0,0,0,0
0.951355,0,0,0,0,0,0,0
0.952919,0,0,0,0,0,0,0
0.954540,0,0,0,0,0,0,0
0.956104,0,0,0,0,0,0,0
0.957671,0,0,0,0,0,0,0
0.959249,0,0,0,0,0,0,0
0.960813,0,0,0,0,0,0,0
0.962379,0,0,0,0,0,0,0
0.963944,0,0,0,0,0,0,0
0.965511,0,0,0,0,0,0,0
0.967078,0,0,0,0,0,0,0
0.968643,0,0,0,0,0,0,0
0.970267,0,0,0,0,0,0,0
0.971833,0,0,0,0,0,0,0
0.973400,0,0,0,0,0,0,0
0.974966,0,0,0,0,0,0,0
0.976529,0,0,0,0,0,0,0
0.978097,0,0,0,0,0,0,0
0.979553,0,0,0,0,0,0,0
0.981124,0,0,0,0,0,0,0
0.982695,0,0,0,0,0,0,0
0.984258,0,0,0,0,0,0,0
0.985753,0,0,0,0,0,0,0
0.987293,0,0,0,0,0,0,0
0.988857,0,0,0,0,0,0,0
0.990424,0,0,0,0,0,0,0
0.992003,0,0,0,0,0,0,0
0.993571,0,0,0,0,0,0,0
0.995137,0,0,0,0,0,0,0
0.997230,0,0,0,0,0,0,0
0.998691,0,0,0,0,0,0,0
1.000120,0,0,0,0,0,0,0
1.001614,0,0,0,0,0,0,0
1.003074,0,0,0,0,0,0,0
1.004520,0,0,0,0,0,0,0
1.006106,0,0,0,0,0,0,0
1.007686,0,0,0,0,0,0,0
1.009155,0,0,0,0,0,0,0
1.010648,0,0,0,0,0,0,0
1.012195,0,0,0,0,0,0,0
1.013621,0,0,0,0,0,0,0
1.015028,0,0,0,0,0,0,0
1.016433,0,0,0,0,0,0,0
1.017877,0,0,0,0,0,0,0
1.019282,0,0,0,0,0,0,0
1.020814,0,0,0,0,0,0,0
1.022382,0,0,0,0,0,0,0
1.023963,0,0,0,0,0,0,0
1.025533,0,0,0,0,0,0,0
1.027100,0,0,0,0,0,0,0
1.028666,0,0,0,0,0,0,0
1.030233,0,0,0,0,0,0,0
1.031801,0,0,0,0,0,0,0
1.033370,0,0,0,0,0,0,0
1.034995,0,0,0,0,0,0,0
1.036560,0,0,0,0,0,0,0
1.038127,0,0,0,0,0,0,0
1.039695,0,0,0,0,0,0,0
1.041343,0,0,0,0,0,0,0
1.042833,0,0,0,0,0,0,0
1.044242,0,0,0,0,0,0,0
1.045659,0,0,0,0,0,0,0
1.047194,0,0,0,0,0,0,0
1.048759,0,0,0,0,0,0,0
1.050372,0,0,0,0,0,0,0
1.051940,0,0,0,0,0,0,0
1.053510,0,0,0,0,0,0,0
