elapsed_s,TSE_SETUP_FMUL_WORKING_CYCLE_L2,TSE_SETUP_FMUL_0_WORKING_CYCLE_L3,TSE_SETUP_FMUL_1_WORKING_CYCLE_L3,TSE_SETUP_FMUL_2_WORKING_CYCLE_L3
0.913143,0,0,0,0
0.914690,0,0,0,0
0.916315,0,0,0,0
0.917837,0,0,0,0
0.919238,0,0,0,0
0.920768,0,0,0,0
0.922320,0,0,0,0
0.923869,0,0,0,0
0.925465,0,0,0,0
0.927017,0,0,0,0
0.928569,0,0,0,0
0.930120,0,0,0,0
0.931682,0,0,0,0
0.933235,0,0,0,0
0.934787,0,0,0,0
0.936340,0,0,0,0
0.937891,0,0,0,0
0.939442,0,0,0,0
0.941038,0,0,0,0
0.942603,0,0,0,0
0.944152,0,0,0,0
0.945707,0,0,0,0
0.947254,0,0,0,0
0.948806,0,0,0,0
0.950357,0,0,0,0
0.951905,0,0,0,0
0.953420,0,0,0,0
0.954939,0,0,0,0
0.956492,0,0,0,0
0.958088,0,0,0,0
0.959637,0,0,0,0
0.961187,0,0,0,0
0.962737,0,0,0,0
0.964174,0,0,0,0
0.965700,0,0,0,0
0.967251,0,0,0,0
0.968803,0,0,0,0
0.970354,0,0,0,0
0.971902,0,0,0,0
0.973514,0,0,0,0
0.975079,0,0,0,0
0.976632,0,0,0,0
0.978183,0,0,0,0
