elapsed_s,PC_S_TESS_SETUP_ACTIVE,PC_S_TESS_PID_ACTIVE,PC_S_TESS_PRIM_GEN_ACTIVE,PC_S_TESS_FACTOR_TRANS,PC_S_TESS_PC_UV_TRANS,PC_S_TESS_PC_UV_PATCHES,PC_S_MESH_VS_WAVES
0.780056,0,0,0,0,0,0,0
0.781667,0,0,0,0,0,0,0
0.783247,0,0,0,0,0,0,0
0.784815,0,0,0,0,0,0,0
0.786381,0,0,0,0,0,0,0
0.787946,0,0,0,0,0,0,0
0.789513,0,0,0,0,0,0,0
0.791079,0,0,0,0,0,0,0
0.792643,0,0,0,0,0,0,0
0.794147,0,0,0,0,0,0,0
0.795555,0,0,0,0,0,0,0
0.797134,0,0,0,0,0,0,0
0.798700,0,0,0,0,0,0,0
0.800265,0,0,0,0,0,0,0
0.801832,0,0,0,0,0,0,0
0.803399,0,0,0,0,0,0,0
0.804981,0,0,0,0,0,0,0
0.806547,0,0,0,0,0,0,0
0.808112,0,0,0,0,0,0,0
0.809678,0,0,0,0,0,0,0
0.811245,0,0,0,0,0,0,0
0.812812,0,0,0,0,0,0,0
0.814422,0,0,0,0,0,0,0
0.816002,0,0,0,0,0,0,0
0.817569,0,0,0,0,0,0,0
0.819135,0,0,0,0,0,0,0
0.820704,0,0,0,0,0,0,0
0.822270,0,0,0,0,0,0,0
0.823835,0,0,0,0,0,0,0
0.825402,0,0,0,0,0,0,0
0.826982,0,0,0,0,0,0,0
0.828583,0,0,0,0,0,0,0
0.830155,0,0,0,0,0,0,0
0.831719,0,0,0,0,0,0,0
0.833286,0,0,0,0,0,0,0
0.834853,0,0,0,0,0,0,0
0.836418,0,0,0,0,0,0,0
0.837999,0,0,0,0,0,0,0
0.839555,0,0,0,0,0,0,0
0.840992,0,0,0,0,0,0,0
0.842530,0,0,0,0,0,0,0
0.844095,0,0,0,0,0,0,0
0.845705,0,0,0,0,0,0,0
0.847272,0,0,0,0,0,0,0
0.848853,0,0,0,0,0,0,0
0.850420,0,0,0,0,0,0,0
0.851985,0,0,0,0,0,0,0
0.853552,0,0,0,0,0,0,0
0.855118,0,0,0,0,0,0,0
0.856750,0,0,0,0,0,0,0
0.858126,0,0,0,0,0,0,0
0.859544,0,0,0,0,0,0,0
0.861123,0,0,0,0,0,0,0
0.862690,0,0,0,0,0,0,0
0.864254,0,0,0,0,0,0,0
0.865820,0,0,0,0,0,0,0
0.867387,0,0,0,0,0,0,0
0.868955,0,0,0,0,0,0,0
0.870534,0,0,0,0,0,0,0
0.872098,0,0,0,0,0,0,0
0.873665,0,0,0,0,0,0,0
0.875231,0,0,0,0,0,0,0
0.876799,0,0,0,0,0,0,0
0.878409,0,0,0,0,0,0,0
0.879975,0,0,0,0,0,0,0
0.881555,0,0,0,0,0,0,0
0.883122,0,0,0,0,0,0,0
0.884690,0,0,0,0,0,0,0
0.886257,0,0,0,0,0,0,0
0.887822,0,0,0,0,0,0,0
0.889391,0,0,0,0,0,0,0
0.890957,0,0,0,0,0,0,0
0.892535,0,0,0,0,0,0,0
0.894107,0,0,0,0,0,0,0
0.895673,0,0,0,0,0,0,0
0.897241,0,0,0,0,0,0,0
0.898808,0,0,0,0,0,0,0
0.900374,0,0,0,0,0,0,0
0.902028,0,0,0,0,0,0,0
0.903608,0,0,0,0,0,0,0
0.905176,0,0,0,0,0,0,0
0.906742,0,0,0,0,0,0,0
0.908305,0,0,0,0,0,0,0
0.909923,0,0,0,0,0,0,0
0.911488,0,0,0,0,0,0,0
0.913057,0,0,0,0,0,0,0
0.914638,0,0,0,0,0,0,0
0.916203,0,0,0,0,0,0,0
0.917770,0,0,0,0,0,0,0
0.919336,0,0,0,0,0,0,0
0.920905,0,0,0,0,0,0,0
0.922471,0,0,0,0,0,0,0
0.923952,0,0,0,0,0,0,0
0.925603,0,0,0,0,0,0,0
0.927019,0,0,0,0,0,0,0
0.928425,0,0,0,0,0,0,0
0.929833,0,0,0,0,0,0,0
0.931236,0,0,0,0,0,0,0
0.932835,0,0,0,0,0,0,0
0.934402,0,0,0,0,0,0,0
0.935979,0,0,0,0,0,0,0
0.937544,0,0,0,0,0,0,0
0.939110,0,0,0,0,0,0,0
0.940768,0,0,0,0,0,0,0
0.942356,0,0,0,0,0,0,0
0.943757,0,0,0,0,0,0,0
0.945155,0,0,0,0,0,0,0
0.946693,0,0,0,0,0,0,0
0.948255,0,0,0,0,0,0,0
0.949820,0,0,0,0,0,0,0
0.951384,0,0,0,0,0,0,0
0.952951,0,0,0,0,0,0,0
0.954516,0,0,0,0,0,0,0
0.956078,0,0,0,0,0,0,0
0.957699,0,0,0,0,0,0,0
0.959264,0,0,0,0,0,0,0
0.960830,0,0,0,0,0,0,0
0.962392,0,0,0,0,0,0,0
0.963963,0,0,0,0,0,0,0
0.965483,0,0,0,0,0,0,0
0.966901,0,0,0,0,0,0,0
0.968445,0,0,0,0,0,0,0
0.970015,0,0,0,0,0,0,0
0.971579,0,0,0,0,0,0,0
0.973188,0,0,0,0,0,0,0
0.974754,0,0,0,0,0,0,0
0.976318,0,0,0,0,0,0,0
0.977834,0,0,0,0,0,0,0
0.979467,0,0,0,0,0,0,0
0.980902,0,0,0,0,0,0,0
0.982309,0,0,0,0,0,0,0
0.983712,0,0,0,0,0,0,0
0.985117,0,0,0,0,0,0,0
0.986519,0,0,0,0,0,0,0
0.987921,0,0,0,0,0,0,0
0.989504,0,0,0,0,0,0,0
0.991069,0,0,0,0,0,0,0
0.992531,0,0,0,0,0,0,0
0.994098,0,0,0,0,0,0,0
0.995660,0,0,0,0,0,0,0
0.997228,0,0,0,0,0,0,0
0.998730,0,0,0,0,0,0,0
1.000220,0,0,0,0,0,0,0
1.001634,0,0,0,0,0,0,0
1.003094,0,0,0,0,0,0,0
1.004538,0,0,0,0,0,0,0
1.005998,0,0,0,0,0,0,0
1.007403,0,0,0,0,0,0,0
1.008810,0,0,0,0,0,0,0
1.010224,0,0,0,0,0,0,0
1.011628,0,0,0,0,0,0,0
1.013163,0,0,0,0,0,0,0
1.014720,0,0,0,0,0,0,0
1.016276,0,0,0,0,0,0,0
1.018127,0,0,0,0,0,0,0
1.019545,0,0,0,0,0,0,0
1.020964,0,0,0,0,0,0,0
1.022543,0,0,0,0,0,0,0
1.024107,0,0,0,0,0,0,0
1.025674,0,0,0,0,0,0,0
1.027242,0,0,0,0,0,0,0
1.028810,0,0,0,0,0,0,0
1.030378,0,0,0,0,0,0,0
1.031957,0,0,0,0,0,0,0
1.033524,0,0,0,0,0,0,0
1.035091,0,0,0,0,0,0,0
1.036655,0,0,0,0,0,0,0
1.038328,0,0,0,0,0,0,0
1.039737,0,0,0,0,0,0,0
1.041272,0,0,0,0,0,0,0
1.042852,0,0,0,0,0,0,0
1.044416,0,0,0,0,0,0,0
1.045982,0,0,0,0,0,0,0
1.047538,0,0,0,0,0,0,0
1.048974,0,0,0,0,0,0,0
1.050511,0,0,0,0,0,0,0
1.052075,0,0,0,0,0,0,0
1.053697,0,0,0,0,0,0,0
1.055265,0,0,0,0,0,0,0
1.056832,0,0,0,0,0,0,0
1.058397,0,0,0,0,0,0,0
1.059961,0,0,0,0,0,0,0
1.061525,0,0,0,0,0,0,0
1.063090,0,0,0,0,0,0,0
1.064735,0,0,0,0,0,0,0
1.066363,0,0,0,0,0,0,0
1.067926,0,0,0,0,0,0,0
1.069537,0,0,0,0,0,0,0
1.071102,0,0,0,0,0,0,0
1.072719,0,0,0,0,0,0,0
1.074282,0,0,0,0,0,0,0
1.075859,0,0,0,0,0,0,0
1.077426,0,0,0,0,0,0,0
