elapsed_s,PC_NEVER_COUNT,PC_US_BUSY_CYCLES,PC_US_WORKING_CYCLES,PC_US_UCHE_OUTSTANDING_TRANS,PC_US_PASS1_TF_STALL_CYCLES,PC_US_STARVE_CYCLES_FOR_INDEX,PC_US_STARVE_CYCLES_FOR_TF,PC_US_STARVE_CYCLES_FOR_VIZ_STREAM
0.686497,0,0,0,0,0,0,0,0
0.688114,0,0,0,0,0,0,0,0
0.689701,0,0,0,0,0,0,0,0
0.691272,0,0,0,0,0,0,0,0
0.692807,0,0,0,0,0,0,0,0
0.694348,0,0,0,0,0,0,0,0
0.695922,0,0,0,0,0,0,0,0
0.697495,0,0,0,0,0,0,0,0
0.699066,0,0,0,0,0,0,0,0
0.700652,0,0,0,0,0,0,0,0
0.702225,0,0,0,0,0,0,0,0
0.703798,0,0,0,0,0,0,0,0
0.705416,0,0,0,0,0,0,0,0
0.706988,0,0,0,0,0,0,0,0
0.708560,0,0,0,0,0,0,0,0
0.710134,0,0,0,0,0,0,0,0
0.711724,0,0,0,0,0,0,0,0
0.713316,0,0,0,0,0,0,0,0
0.714887,0,0,0,0,0,0,0,0
0.716460,0,0,0,0,0,0,0,0
0.718033,0,0,0,0,0,0,0,0
0.719665,0,0,0,0,0,0,0,0
0.721235,0,0,0,0,0,0,0,0
0.722821,0,0,0,0,0,0,0,0
0.724395,0,0,0,0,0,0,0,0
0.725967,0,0,0,0,0,0,0,0
0.727538,0,0,0,0,0,0,0,0
0.729114,0,0,0,0,0,0,0,0
0.730684,0,0,0,0,0,0,0,0
0.732259,0,0,0,0,0,0,0,0
0.733845,0,0,0,0,0,0,0,0
0.735417,0,0,0,0,0,0,0,0
0.736993,0,0,0,0,0,0,0,0
0.738565,0,0,0,0,0,0,0,0
0.740139,0,0,0,0,0,0,0,0
0.741711,0,0,0,0,0,0,0,0
0.743282,0,0,0,0,0,0,0,0
0.744819,0,0,0,0,0,0,0,0
0.746362,0,0,0,0,0,0,0,0
0.747935,0,0,0,0,0,0,0,0
0.749508,0,0,0,0,0,0,0,0
0.751077,0,0,0,0,0,0,0,0
0.752692,0,0,0,0,0,0,0,0
0.754257,0,0,0,0,0,0,0,0
0.755750,0,0,0,0,0,0,0,0
0.757294,0,0,0,0,0,0,0,0
0.758866,0,0,0,0,0,0,0,0
0.760440,0,0,0,0,0,0,0,0
0.762013,0,0,0,0,0,0,0,0
0.763583,0,0,0,0,0,0,0,0
0.765174,0,0,0,0,0,0,0,0
0.766757,0,0,0,0,0,0,0,0
0.768376,0,0,0,0,0,0,0,0
0.769950,0,0,0,0,0,0,0,0
0.771521,0,0,0,0,0,0,0,0
0.773091,0,0,0,0,0,0,0,0
0.774491,0,0,0,0,0,0,0,0
0.775904,0,0,0,0,0,0,0,0
