elapsed_s,HLSQ_S2W_STALL_BY_MISS_RETURN,HLSQ_MISS_RETURN_STALL_BY_S2W,HLSQ_STPROC_L0_STALL_INS_RD,HLSQ_STPROC_L0_INS_MISS,HLSQ_STPROC_L0_INS_HIT,HLSQ_STPROC_L0_INS_LATENCY_COUNT
0.961949,0,0,0,0,0,0
0.963511,0,0,0,0,0,0
0.965071,0,0,0,0,0,0
0.966653,0,0,0,0,0,0
0.968213,0,0,0,0,0,0
0.969777,0,0,0,0,0,0
0.971340,0,0,0,0,0,0
0.972901,0,0,0,0,0,0
0.974468,0,0,0,0,0,0
0.976073,0,0,0,0,0,0
0.977650,0,0,0,0,0,0
0.979212,0,0,0,0,0,0
0.980772,0,0,0,0,0,0
0.982335,0,0,0,0,0,0
0.983896,0,0,0,0,0,0
0.985460,0,0,0,0,0,0
0.987040,0,0,0,0,0,0
0.988612,0,0,0,0,0,0
0.990539,0,0,0,0,0,0
0.991998,0,0,0,0,0,0
0.993396,0,0,0,0,0,0
0.994796,0,0,0,0,0,0
0.996194,0,0,0,0,0,0
0.997595,0,0,0,0,0,0
0.999006,0,0,0,0,0,0
1.000534,0,0,0,0,0,0
1.002099,0,0,0,0,0,0
1.003663,0,0,0,0,0,0
1.005227,0,0,0,0,0,0
1.006835,0,0,0,0,0,0
1.008397,0,0,0,0,0,0
1.009978,0,0,0,0,0,0
1.011541,0,0,0,0,0,0
1.013103,0,0,0,0,0,0
1.014672,0,0,0,0,0,0
1.016233,0,0,0,0,0,0
1.017691,0,0,0,0,0,0
1.019250,0,0,0,0,0,0
1.020823,0,0,0,0,0,0
1.022445,0,0,0,0,0,0
1.024054,0,0,0,0,0,0
1.025619,0,0,0,0,0,0
1.027182,0,0,0,0,0,0
1.028743,0,0,0,0,0,0
1.030201,0,0,0,0,0,0
1.031910,0,0,0,0,0,0
1.033350,0,0,0,0,0,0
1.034848,0,0,0,0,0,0
1.036247,0,0,0,0,0,0
1.037653,0,0,0,0,0,0
1.039094,0,0,0,0,0,0
1.040492,0,0,0,0,0,0
1.041900,0,0,0,0,0,0
1.043428,0,0,0,0,0,0
1.044990,0,0,0,0,0,0
1.046779,0,0,0,0,0,0
1.048204,0,0,0,0,0,0
1.049615,0,0,0,0,0,0
1.051015,0,0,0,0,0,0
1.052424,0,0,0,0,0,0
