elapsed_s,HLSQ_NEVER_COUNT,HLSQ_BUSY_CYCLES,HLSQ_STALL_CYCLES_SP_STATE,HLSQ_STALL_CYCLES_SP_FS_STAGE,HLSQ_UCHE_LATENCY_CYCLES,HLSQ_UCHE_LATENCY_COUNT
0.851060,0,104,0,0,0,0
0.852478,0,104,0,0,0,0
0.853789,0,104,0,0,0,0
0.855218,0,104,0,0,0,0
0.856529,0,104,0,0,0,0
0.857947,0,104,0,0,0,0
0.859270,0,104,0,0,0,0
0.860698,0,104,0,0,0,0
0.862123,0,104,0,0,0,0
0.863544,0,104,0,0,0,0
0.864855,0,104,0,0,0,0
0.866205,0,104,0,0,0,0
0.867624,0,104,0,0,0,0
0.868935,0,104,0,0,0,0
0.870402,0,104,0,0,0,0
0.871787,0,104,0,0,0,0
0.873145,0,104,0,0,0,0
0.874577,0,1173,0,0,0,0
0.875803,0,104,0,0,0,0
0.877157,0,104,0,0,0,0
0.878508,0,104,0,0,0,0
0.879863,0,104,0,0,0,0
0.881228,0,104,0,0,0,0
0.882582,0,104,0,0,0,0
0.883991,0,104,0,0,0,0
0.885668,0,169576,6,0,1026,6
0.887070,0,104,0,0,0,0
0.888467,0,104,0,0,0,0
0.889864,0,104,0,0,0,0
0.891261,0,104,0,0,0,0
0.892670,0,104,0,0,0,0
0.894676,0,104,0,0,0,0
0.896070,0,104,0,0,0,0
0.897597,0,104,0,0,0,0
0.898992,0,104,0,0,0,0
0.900779,0,104,0,0,0,0
0.902285,0,104,0,0,0,0
0.903686,0,104,0,0,0,0
0.905188,0,104,0,0,0,0
0.906552,0,104,0,0,0,0
0.908125,0,104,0,0,0,0
0.909726,0,104,0,0,0,0
0.911726,0,104,0,0,0,0
0.913195,0,104,0,0,0,0
0.915532,0,104,0,0,0,0
0.916895,0,104,0,0,0,0
0.918252,0,104,0,0,0,0
0.919601,0,104,0,0,0,0
0.921069,0,104,0,0,0,0
0.922468,0,104,0,0,0,0
0.923829,0,104,0,0,0,0
0.925175,0,104,0,0,0,0
0.926534,0,104,0,0,0,0
0.927880,0,104,0,0,0,0
0.929226,0,104,0,0,0,0
0.930574,0,104,0,0,0,0
0.931990,0,104,0,0,0,0
0.933392,0,104,0,0,0,0
0.934921,0,104,0,0,0,0
0.936483,0,104,0,0,0,0
0.938061,0,104,0,0,0,0
0.939624,0,104,0,0,0,0
0.941189,0,104,0,0,0,0
