elapsed_s,RBBM_US_PC_BUSY,RBBM_US_COM_BUSY,RBBM_US_DCOM_BUSY,RBBM_US_VBIF_BUSY
0.436691,0,0,0,2066
0.438240,0,0,0,2127
0.439695,0,0,0,1959
0.441086,0,0,0,2069
0.442604,0,0,0,1955
0.444198,0,0,0,1996
0.445746,0,0,0,1991
0.447310,0,0,0,1952
0.448860,0,0,0,1957
0.450475,0,0,0,1958
0.452138,0,0,0,1956
0.453677,0,0,0,1995
0.455096,0,0,0,1956
0.456611,0,0,0,1994
0.458511,0,0,0,2186
0.459988,0,0,0,2038
0.461379,0,0,0,1955
0.462896,0,0,0,1956
0.464446,0,0,0,1997
0.465994,0,0,0,1954
0.467587,0,0,0,1981
0.469152,0,0,0,1993
0.470703,0,0,0,1995
0.472252,0,0,0,1996
0.473799,0,0,0,1991
0.475392,0,0,0,2016
0.476942,0,0,0,1998
0.478493,0,0,0,1954
0.480057,0,0,0,1995
0.481606,0,0,0,1953
0.483044,0,0,0,1954
0.484588,0,0,0,1957
0.486137,0,0,0,1958
0.487690,0,0,0,1955
0.489237,0,0,0,1997
0.490803,0,0,0,1993
0.492352,0,0,0,1957
0.493900,0,0,0,1961
0.495450,0,0,0,1999
0.496999,0,0,0,2035
0.498551,0,0,0,1994
0.500146,0,0,0,2139
0.501709,0,0,0,2001
0.503259,0,0,0,1954
0.504809,0,0,0,2004
0.506357,0,0,0,2162
0.507912,0,0,0,1997
0.509459,0,0,0,2037
0.511008,0,0,0,1996
0.512574,0,0,0,2156
0.514122,0,0,0,1954
0.515769,0,0,0,1992
0.517316,0,0,0,2035
0.518868,0,0,0,1991
0.520418,0,0,0,1997
0.521965,0,0,0,1955
0.523573,0,0,0,1951
0.525124,0,0,0,2039
0.526675,0,0,0,1995
0.528225,0,0,0,1999
0.529773,0,0,0,2107
0.531365,0,0,0,1955
0.532971,0,0,0,1995
0.534886,0,0,0,1999
0.536356,0,0,0,1998
0.537754,0,0,0,1998
0.539189,0,0,0,1971
0.540577,0,0,0,1952
0.541963,0,0,0,1956
0.543351,0,0,0,2061
0.544748,0,0,0,1991
0.546262,0,0,0,2010
0.547857,0,0,0,2095
0.549405,0,0,0,1954
0.550955,0,0,0,1993
0.552505,0,0,0,1955
0.554054,0,0,0,1954
0.555489,0,0,0,1984
0.557000,0,0,0,1956
0.558606,0,0,0,1953
0.560157,0,0,0,1958
0.561703,0,0,0,1957
0.563297,0,0,0,1974
0.564847,0,0,0,1953
0.566475,0,0,0,1953
0.568106,0,0,0,1956
0.569653,0,0,0,1992
0.571246,0,0,0,1955
0.572797,0,0,0,1998
0.574344,0,0,0,2031
0.575892,0,0,0,1953
0.577445,0,0,0,1995
0.578909,0,0,0,1957
0.580430,0,0,0,1998
0.581978,0,0,0,2069
0.583527,0,0,0,1957
0.585077,0,0,0,2000
0.586628,0,0,0,1992
0.588235,0,0,0,1997
0.589781,0,0,0,1983
0.591329,0,0,0,1996
0.592877,0,0,0,1954
0.594500,0,0,0,1998
0.596154,0,0,0,1997
0.597701,0,0,0,1994
0.599264,0,0,0,2027
0.600812,0,0,0,1994
0.602359,0,0,0,1998
0.603912,0,0,0,2073
0.605460,0,0,0,2016
0.607009,0,0,0,2002
0.608558,0,0,0,1958
0.610119,0,0,0,2075
0.611757,0,0,0,1997
0.613305,0,0,0,1994
0.614891,0,0,0,1959
0.616439,0,0,0,1954
0.617985,0,0,0,2110
0.619577,0,0,0,1998
0.621142,0,0,0,1953
0.622690,0,0,0,1955
0.624240,0,0,0,1996
0.625786,0,0,0,1994
0.627376,0,0,0,1998
0.628925,0,0,0,1994
0.630475,0,0,0,1996
0.632038,0,0,0,2160
0.633583,0,0,0,1951
0.635177,0,0,0,1994
0.636725,0,0,0,1957
0.638272,0,0,0,1998
0.639825,0,0,0,1995
0.641371,0,0,0,1958
0.642979,0,0,0,2118
0.644527,0,0,0,2037
0.646074,0,0,0,2040
0.647574,0,0,0,1999
0.649094,0,0,0,1955
0.650645,0,0,0,2073
0.652238,0,0,0,1954
0.653801,0,0,0,1954
0.655349,0,0,0,1973
0.656897,0,0,0,1993
0.658448,0,0,0,1992
0.660034,0,0,0,2065
0.661549,0,0,0,1954
0.662966,0,0,0,1957
0.664497,0,0,0,1998
0.666045,0,0,0,2116
0.667638,0,0,0,1990
0.669189,0,0,0,1987
0.670742,0,0,0,1954
0.672292,0,0,0,1996
0.673841,0,0,0,1998
0.675449,0,0,0,2037
0.676999,0,0,0,1948
0.678551,0,0,0,2101
0.680101,0,0,0,2012
0.681649,0,0,0,1996
0.683244,0,0,0,1995
0.684794,0,0,0,2002
0.686356,0,0,0,1994
0.687911,0,0,0,2078
0.689459,0,0,0,1959
0.691091,0,0,0,1955
0.692647,0,0,0,1964
0.694195,0,0,0,1989
0.695749,0,0,0,2018
0.697309,0,0,0,2000
0.698903,0,0,0,2128
0.700453,0,0,0,1956
0.702001,0,0,0,1995
0.703550,0,0,0,2001
0.705100,0,0,0,1960
0.706650,0,0,0,2035
0.708258,0,0,0,1954
0.709806,0,0,0,1955
0.711356,0,0,0,2057
0.712906,0,0,0,1955
0.714457,0,0,0,1957
0.716008,0,0,0,1993
0.717557,0,0,0,1957
0.719122,0,0,0,1994
0.720672,0,0,0,1958
0.722220,0,0,0,2097
0.723776,0,0,0,1999
0.725324,0,0,0,1993
0.726875,0,0,0,2007
0.728427,0,0,0,2137
0.729989,0,0,0,1996
0.731583,0,0,0,1998
0.733133,0,0,0,2000
0.734685,0,0,0,1995
0.736234,0,0,0,1997
0.737782,0,0,0,1956
0.739208,0,0,0,1995
0.740613,0,0,0,1952
0.742131,0,0,0,2041
0.743684,0,0,0,1923
0.745232,0,0,0,1952
0.746784,0,0,0,1913
0.748334,0,0,0,1950
0.749882,0,0,0,1967
0.751444,0,0,0,1950
0.752994,0,0,0,1915
0.754546,0,0,0,1951
0.756141,0,0,0,2031
0.757690,0,0,0,1950
0.762472,0,0,0,1915
0.763911,0,0,0,1950
0.765343,0,0,0,2109
0.766691,0,0,0,1951
0.768034,0,0,0,1952
0.769372,0,0,0,1915
0.770712,0,0,0,1949
0.772133,0,0,0,1916
0.773525,0,0,0,2059
0.775054,0,0,0,1951
0.776604,0,0,0,1952
0.778152,0,0,0,1915
0.779706,0,0,0,1910
0.781254,0,0,0,1948
0.782805,0,0,0,1948
0.784355,0,0,0,1914
0.785916,0,0,0,1912
0.787509,0,0,0,1990
0.789059,0,0,0,1951
0.790609,0,0,0,1933
0.792159,0,0,0,1947
0.793707,0,0,0,1954
0.795302,0,0,0,1916
0.796865,0,0,0,1949
0.798492,0,0,0,1952
0.799982,0,0,0,1953
0.801375,0,0,0,1949
0.802782,0,0,0,1914
0.804331,0,0,0,1950
0.805879,0,0,0,1949
0.807441,0,0,0,1915
0.808990,0,0,0,1953
0.810542,0,0,0,1915
0.812135,0,0,0,1951
0.813684,0,0,0,2072
0.815235,0,0,0,1950
0.816784,0,0,0,1950
0.818346,0,0,0,1921
0.819901,0,0,0,1915
0.821450,0,0,0,2129
0.823002,0,0,0,1953
0.824551,0,0,0,1912
0.826100,0,0,0,1949
0.827719,0,0,0,1952
0.829280,0,0,0,2010
0.830831,0,0,0,1912
0.832371,0,0,0,1947
0.833910,0,0,0,1945
0.835372,0,0,0,1951
0.836928,0,0,0,1916
0.838478,0,0,0,1912
0.840040,0,0,0,1915
0.841587,0,0,0,2040
0.843181,0,0,0,1953
0.844730,0,0,0,1953
0.846277,0,0,0,1963
0.847830,0,0,0,1951
0.849377,0,0,0,1950
0.850984,0,0,0,1949
0.852534,0,0,0,2010
0.854080,0,0,0,1911
0.855575,0,0,0,2026
0.857088,0,0,0,1912
0.858585,0,0,0,1946
0.860057,0,0,0,1918
0.861593,0,0,0,1950
0.863145,0,0,0,1949
0.864694,0,0,0,1974
0.866242,0,0,0,1929
0.867812,0,0,0,1956
0.869350,0,0,0,1952
0.870876,0,0,0,1950
0.872294,0,0,0,1986
0.873690,0,0,0,1951
0.875122,0,0,0,1976
0.876510,0,0,0,2063
0.877896,0,0,0,1914
0.879284,0,0,0,1949
0.880670,0,0,0,1914
0.882183,0,0,0,1953
0.883752,0,0,0,2036
0.885300,0,0,0,1951
0.886852,0,0,0,1950
0.888402,0,0,0,1953
0.889950,0,0,0,1947
0.891543,0,0,0,2011
0.893092,0,0,0,1926
0.894658,0,0,0,1911
0.896207,0,0,0,1898
0.897755,0,0,0,1913
0.899348,0,0,0,1949
0.900899,0,0,0,1910
0.902450,0,0,0,1953
0.904002,0,0,0,1951
0.905564,0,0,0,1931
0.907158,0,0,0,1953
0.908708,0,0,0,2149
0.910257,0,0,0,1954
0.911639,0,0,0,1950
0.913031,0,0,0,1931
0.914548,0,0,0,1983
0.916032,0,0,0,1951
0.917550,0,0,0,1950
0.919102,0,0,0,1949
0.920652,0,0,0,1953
0.922204,0,0,0,1948
0.923759,0,0,0,1951
0.925307,0,0,0,1958
0.926872,0,0,0,2033
0.928422,0,0,0,1915
0.929971,0,0,0,1945
