elapsed_s,RAS_SAMPLE_MASK_GEN_LANE_3_WORKING_CC_L2,RAS_SAMPLE_MASK_GEN_LANE_4_WORKING_CC_L2,RAS_SAMPLE_MASK_GEN_LANE_5_WORKING_CC_L2,RAS_SAMPLE_MASK_GEN_LANE_6_WORKING_CC_L2
0.821133,0,0,0,0
0.822683,0,0,0,0
0.824234,0,0,0,0
0.825783,0,0,0,0
0.827330,0,0,0,0
0.828896,0,0,0,0
0.830446,0,0,0,0
0.831993,0,0,0,0
0.833546,0,0,0,0
0.835094,0,0,0,0
0.836686,0,0,0,0
0.838236,0,0,0,0
0.839797,0,0,0,0
0.841348,0,0,0,0
0.842897,0,0,0,0
0.844448,0,0,0,0
0.845998,0,0,0,0
0.847545,0,0,0,0
0.849096,0,0,0,0
0.850649,0,0,0,0
0.852362,0,0,0,0
0.853754,0,0,0,0
0.855143,0,0,0,0
0.856660,0,0,0,0
0.858210,0,0,0,0
0.859755,0,0,0,0
0.861315,0,0,0,0
0.862862,0,0,0,0
0.864411,0,0,0,0
0.865958,0,0,0,0
0.867503,0,0,0,0
0.869053,0,0,0,0
0.870600,0,0,0,0
0.872160,0,0,0,0
0.873750,0,0,0,0
0.875296,0,0,0,0
0.876845,0,0,0,0
0.878393,0,0,0,0
0.879940,0,0,0,0
0.882297,0,0,0,0
0.883750,0,0,0,0
0.885502,0,0,0,0
0.886887,0,0,0,0
0.888326,0,0,0,0
0.889714,0,0,0,0
0.891100,0,0,0,0
0.892488,0,0,0,0
0.893883,0,0,0,0
0.895393,0,0,0,0
0.896944,0,0,0,0
0.898495,0,0,0,0
0.900085,0,0,0,0
0.901640,0,0,0,0
0.903188,0,0,0,0
0.904752,0,0,0,0
0.906293,0,0,0,0
0.907832,0,0,0,0
0.909249,0,0,0,0
0.910778,0,0,0,0
0.912328,0,0,0,0
0.913877,0,0,0,0
0.915435,0,0,0,0
0.916986,0,0,0,0
0.918411,0,0,0,0
0.919936,0,0,0,0
0.921490,0,0,0,0
0.923038,0,0,0,0
0.924590,0,0,0,0
0.926046,0,0,0,0
0.927534,0,0,0,0
0.929075,0,0,0,0
0.930714,0,0,0,0
0.932200,0,0,0,0
0.933616,0,0,0,0
0.935000,0,0,0,0
0.936392,0,0,0,0
0.937773,0,0,0,0
0.939153,0,0,0,0
0.940532,0,0,0,0
0.942038,0,0,0,0
0.944301,0,0,0,0
0.946364,0,0,0,0
0.948429,0,0,0,0
0.950060,0,0,0,0
0.951451,0,0,0,0
0.952875,0,0,0,0
0.954256,0,0,0,0
0.955636,0,0,0,0
0.957018,0,0,0,0
0.958535,0,0,0,0
0.959948,0,0,0,0
0.961565,0,0,0,0
0.963104,0,0,0,0
0.964522,0,0,0,0
0.966043,0,0,0,0
0.967591,0,0,0,0
0.969153,0,0,0,0
0.970695,0,0,0,0
0.972278,0,0,0,0
0.973827,0,0,0,0
0.975413,0,0,0,0
0.976967,0,0,0,0
0.978517,0,0,0,0
0.980125,0,0,0,0
0.981679,0,0,0,0
0.983228,0,0,0,0
0.984780,0,0,0,0
0.986330,0,0,0,0
0.987879,0,0,0,0
0.989378,0,0,0,0
0.990897,0,0,0,0
0.992357,0,0,0,0
0.993907,0,0,0,0
0.995456,0,0,0,0
0.997010,0,0,0,0
0.998560,0,0,0,0
1.000107,0,0,0,0
1.001551,0,0,0,0
1.003073,0,0,0,0
1.004625,0,0,0,0
1.006176,0,0,0,0
1.007725,0,0,0,0
1.009275,0,0,0,0
1.010825,0,0,0,0
1.012432,0,0,0,0
1.013983,0,0,0,0
1.015532,0,0,0,0
1.017082,0,0,0,0
1.018632,0,0,0,0
1.020248,0,0,0,0
1.021755,0,0,0,0
1.023316,0,0,0,0
