elapsed_s,RAS_NEVER_COUNT,RAS_BUSY_CYCLES,RAS_SUPERTILE_ACTIVE_CYCLES,RAS_STALL_CYCLES_LRZ
0.109561,0,0,0,0
0.110938,0,0,0,0
0.112503,0,0,0,0
0.113883,0,0,0,0
0.115262,0,0,0,0
0.116695,0,0,0,0
0.118072,0,0,0,0
0.119530,0,0,0,0
0.120912,0,0,0,0
0.122291,0,0,0,0
0.123672,0,0,0,0
0.125053,0,0,0,0
0.126433,0,0,0,0
0.127821,0,0,0,0
0.129201,0,0,0,0
0.130579,0,0,0,0
0.132041,0,0,0,0
0.133425,0,0,0,0
0.134937,0,0,0,0
0.136540,0,0,0,0
0.138102,0,0,0,0
0.139651,0,0,0,0
0.141582,0,0,0,0
0.143101,0,0,0,0
0.144590,0,0,0,0
0.146107,0,0,0,0
0.147657,0,0,0,0
0.149218,0,0,0,0
0.150765,0,0,0,0
0.152315,0,0,0,0
0.153863,0,0,0,0
0.155475,0,0,0,0
0.157109,0,0,0,0
0.158655,0,0,0,0
0.160092,0,0,0,0
0.161919,0,0,0,0
0.163472,0,0,0,0
0.165019,0,0,0,0
0.166864,0,0,0,0
0.168342,0,0,0,0
0.169735,0,0,0,0
0.171134,0,0,0,0
0.172576,0,0,0,0
0.173960,0,0,0,0
0.175344,0,0,0,0
0.176859,0,0,0,0
0.178405,0,0,0,0
0.179955,0,0,0,0
0.181517,0,0,0,0
0.183064,0,0,0,0
0.184873,0,0,0,0
0.186462,0,0,0,0
0.188013,0,0,0,0
0.189554,0,0,0,0
0.191094,0,0,0,0
0.192839,0,0,0,0
0.194379,0,0,0,0
0.195797,0,0,0,0
0.197317,0,0,0,0
0.198866,0,0,0,0
0.200460,0,0,0,0
0.202010,0,0,0,0
0.203579,0,0,0,0
0.205127,0,0,0,0
0.206674,0,0,0,0
0.208222,0,0,0,0
0.209771,0,0,0,0
0.211317,0,0,0,0
0.212870,0,0,0,0
0.214429,0,0,0,0
0.216021,0,0,0,0
0.217569,0,0,0,0
0.219117,0,0,0,0
0.220755,0,0,0,0
0.222301,0,0,0,0
0.223851,0,0,0,0
0.225412,0,0,0,0
0.226958,0,0,0,0
0.228506,0,0,0,0
0.230053,0,0,0,0
0.231646,0,0,0,0
0.233194,0,0,0,0
0.234739,0,0,0,0
0.236299,0,0,0,0
0.237849,0,0,0,0
0.239395,0,0,0,0
0.241012,0,0,0,0
0.242402,0,0,0,0
0.243919,0,0,0,0
0.245464,0,0,0,0
0.246903,0,0,0,0
0.248349,0,0,0,0
0.249737,0,0,0,0
0.251123,0,0,0,0
0.252567,0,0,0,0
0.254321,0,0,0,0
0.256837,0,0,0,0
0.258245,0,0,0,0
0.259625,0,0,0,0
0.261006,0,0,0,0
0.262387,0,0,0,0
0.263767,0,0,0,0
0.265146,0,0,0,0
0.266525,0,0,0,0
0.267904,0,0,0,0
0.269419,0,0,0,0
0.270959,0,0,0,0
0.272374,0,0,0,0
