elapsed_s,PC_US_BV2BR_SWITCH,PC_US_BR2BV_SWITCH,PC_US_STALL_CYCLES_PC_S,PC_RESERVED_51,PC_RESERVED_52,PC_RESERVED_53,PC_RESERVED_54,PC_RESERVED_55
0.641646,0,0,0,0,0,0,0,0
0.643220,0,0,0,0,0,0,0,0
0.644792,0,0,0,0,0,0,0,0
0.646363,0,0,0,0,0,0,0,0
0.647938,0,0,0,0,0,0,0,0
0.649508,0,0,0,0,0,0,0,0
0.651095,0,0,0,0,0,0,0,0
0.652668,0,0,0,0,0,0,0,0
0.654238,0,0,0,0,0,0,0,0
0.655886,0,0,0,0,0,0,0,0
0.657335,0,0,0,0,0,0,0,0
0.658889,0,0,0,0,0,0,0,0
0.660301,0,0,0,0,0,0,0,0
0.661828,0,0,0,0,0,0,0,0
0.663202,0,0,0,0,0,0,0,0
0.664872,0,0,0,0,0,0,0,0
0.666312,0,0,0,0,0,0,0,0
0.667732,0,0,0,0,0,0,0,0
0.669141,0,0,0,0,0,0,0,0
0.670549,0,0,0,0,0,0,0,0
0.671993,0,0,0,0,0,0,0,0
0.673402,0,0,0,0,0,0,0,0
0.674940,0,0,0,0,0,0,0,0
0.676514,0,0,0,0,0,0,0,0
0.678087,0,0,0,0,0,0,0,0
0.679659,0,0,0,0,0,0,0,0
0.681233,0,0,0,0,0,0,0,0
0.682821,0,0,0,0,0,0,0,0
0.684395,0,0,0,0,0,0,0,0
0.685968,0,0,0,0,0,0,0,0
0.687691,0,0,0,0,0,0,0,0
0.689265,0,0,0,0,0,0,0,0
0.690840,0,0,0,0,0,0,0,0
0.692413,0,0,0,0,0,0,0,0
0.693997,0,0,0,0,0,0,0,0
0.695569,0,0,0,0,0,0,0,0
0.697142,0,0,0,0,0,0,0,0
0.698716,0,0,0,0,0,0,0,0
0.700288,0,0,0,0,0,0,0,0
0.701860,0,0,0,0,0,0,0,0
0.703477,0,0,0,0,0,0,0,0
0.705064,0,0,0,0,0,0,0,0
0.706640,0,0,0,0,0,0,0,0
0.708214,0,0,0,0,0,0,0,0
0.709786,0,0,0,0,0,0,0,0
0.711360,0,0,0,0,0,0,0,0
0.712925,0,0,0,0,0,0,0,0
0.714486,0,0,0,0,0,0,0,0
0.715955,0,0,0,0,0,0,0,0
0.717369,0,0,0,0,0,0,0,0
0.718908,0,0,0,0,0,0,0,0
0.720526,0,0,0,0,0,0,0,0
0.722095,0,0,0,0,0,0,0,0
0.723666,0,0,0,0,0,0,0,0
0.725117,0,0,0,0,0,0,0,0
0.726678,0,0,0,0,0,0,0,0
0.728253,0,0,0,0,0,0,0,0
0.729824,0,0,0,0,0,0,0,0
0.731399,0,0,0,0,0,0,0,0
0.732972,0,0,0,0,0,0,0,0
0.734543,0,0,0,0,0,0,0,0
0.736138,0,0,0,0,0,0,0,0
0.737723,0,0,0,0,0,0,0,0
0.739299,0,0,0,0,0,0,0,0
0.740872,0,0,0,0,0,0,0,0
0.742443,0,0,0,0,0,0,0,0
0.744021,0,0,0,0,0,0,0,0
0.745593,0,0,0,0,0,0,0,0
0.747168,0,0,0,0,0,0,0,0
0.748753,0,0,0,0,0,0,0,0
0.750326,0,0,0,0,0,0,0,0
0.751904,0,0,0,0,0,0,0,0
0.753476,0,0,0,0,0,0,0,0
0.755051,0,0,0,0,0,0,0,0
0.756660,0,0,0,0,0,0,0,0
