elapsed_s,TSE_REG_PROGRAMMING_ONLY_CYCLE_L0,TSE_COMMON_RAM_WORKING_CYCLE_L2,TSE_COMMON_RAM_RD_WORKING_CYCLE_L3,TSE_COMMON_RAM_WR_WORKING_CYCLE_L3
0.335954,0,0,0,0
0.337504,0,0,0,0
0.339051,0,0,0,0
0.340602,0,0,0,0
0.342150,0,0,0,0
0.343701,0,0,0,0
0.345251,0,0,0,0
0.346812,0,0,0,0
0.348448,0,0,0,0
0.349995,0,0,0,0
0.351547,0,0,0,0
0.353096,0,0,0,0
0.354644,0,0,0,0
0.356237,0,0,0,0
0.357845,0,0,0,0
0.359397,0,0,0,0
0.360947,0,0,0,0
0.362495,0,0,0,0
0.364044,0,0,0,0
0.365594,0,0,0,0
0.367145,0,0,0,0
0.369052,0,0,0,0
0.371331,0,0,0,0
0.372800,0,0,0,0
0.374198,0,0,0,0
0.375597,0,0,0,0
0.376987,0,0,0,0
0.378726,0,0,0,0
0.380120,0,0,0,0
0.381508,0,0,0,0
0.382895,0,0,0,0
0.384285,0,0,0,0
0.385672,0,0,0,0
0.387058,0,0,0,0
0.388628,0,0,0,0
0.390190,0,0,0,0
0.391743,0,0,0,0
0.393294,0,0,0,0
0.394843,0,0,0,0
0.396399,0,0,0,0
0.397948,0,0,0,0
0.399500,0,0,0,0
0.401056,0,0,0,0
0.402597,0,0,0,0
0.404019,0,0,0,0
0.405540,0,0,0,0
0.407090,0,0,0,0
0.408695,0,0,0,0
0.410244,0,0,0,0
0.411809,0,0,0,0
0.413361,0,0,0,0
0.414911,0,0,0,0
0.416462,0,0,0,0
0.418003,0,0,0,0
0.419422,0,0,0,0
0.420984,0,0,0,0
0.422546,0,0,0,0
0.424095,0,0,0,0
0.425643,0,0,0,0
0.427069,0,0,0,0
0.428595,0,0,0,0
0.430144,0,0,0,0
0.431695,0,0,0,0
0.433256,0,0,0,0
0.434802,0,0,0,0
0.436417,0,0,0,0
0.437965,0,0,0,0
0.439517,0,0,0,0
0.441066,0,0,0,0
0.442615,0,0,0,0
0.444178,0,0,0,0
0.445728,0,0,0,0
0.447280,0,0,0,0
0.448830,0,0,0,0
0.450377,0,0,0,0
0.451972,0,0,0,0
0.453522,0,0,0,0
0.455084,0,0,0,0
0.456661,0,0,0,0
0.458051,0,0,0,0
0.459570,0,0,0,0
0.461119,0,0,0,0
0.462666,0,0,0,0
0.464216,0,0,0,0
0.465778,0,0,0,0
0.467329,0,0,0,0
0.468924,0,0,0,0
0.470472,0,0,0,0
0.472021,0,0,0,0
0.473571,0,0,0,0
0.475202,0,0,0,0
0.476827,0,0,0,0
0.478375,0,0,0,0
0.479926,0,0,0,0
0.481477,0,0,0,0
0.483025,0,0,0,0
0.484582,0,0,0,0
0.486130,0,0,0,0
0.487695,0,0,0,0
0.489244,0,0,0,0
0.490793,0,0,0,0
0.492405,0,0,0,0
0.493953,0,0,0,0
