elapsed_s,TSE_FE_ZERO_AREA_PRIM,TSE_FE_FACENESS_CULLED_PRIM,TSE_FE_ZERO_PIXEL_PRIM,TSE_FE_OUTPUT_NULL_PRIM
1.047656,0,0,0,0
1.049221,0,0,0,0
1.050817,0,0,0,0
1.052367,0,0,0,0
1.053920,0,0,0,0
1.055473,0,0,0,0
1.057022,0,0,0,0
1.058575,0,0,0,0
1.060130,0,0,0,0
1.061549,0,0,0,0
1.063068,0,0,0,0
1.064617,0,0,0,0
1.066211,0,0,0,0
1.067760,0,0,0,0
1.069221,0,0,0,0
1.070758,0,0,0,0
1.072299,0,0,0,0
1.073760,0,0,0,0
1.075280,0,0,0,0
1.076827,0,0,0,0
1.078377,0,0,0,0
1.079927,0,0,0,0
1.081370,0,0,0,0
1.082893,0,0,0,0
1.084443,0,0,0,0
1.085998,0,0,0,0
1.087562,0,0,0,0
1.089008,0,0,0,0
1.090539,0,0,0,0
1.091942,0,0,0,0
1.093334,0,0,0,0
1.094725,0,0,0,0
1.096113,0,0,0,0
1.097631,0,0,0,0
1.099184,0,0,0,0
1.100735,0,0,0,0
1.102304,0,0,0,0
1.103855,0,0,0,0
1.105445,0,0,0,0
1.107389,0,0,0,0
1.108828,0,0,0,0
1.110347,0,0,0,0
1.111900,0,0,0,0
1.113469,0,0,0,0
1.115066,0,0,0,0
1.116617,0,0,0,0
1.118172,0,0,0,0
1.119725,0,0,0,0
1.121345,0,0,0,0
1.123007,0,0,0,0
1.124574,0,0,0,0
1.126000,0,0,0,0
1.127396,0,0,0,0
1.128786,0,0,0,0
1.130221,0,0,0,0
1.131611,0,0,0,0
1.132999,0,0,0,0
1.134456,0,0,0,0
1.135966,0,0,0,0
1.137438,0,0,0,0
1.138965,0,0,0,0
1.140360,0,0,0,0
1.141747,0,0,0,0
1.143268,0,0,0,0
1.144834,0,0,0,0
1.146433,0,0,0,0
1.147988,0,0,0,0
1.149545,0,0,0,0
1.151099,0,0,0,0
1.152652,0,0,0,0
1.154252,0,0,0,0
1.155822,0,0,0,0
1.157379,0,0,0,0
1.158934,0,0,0,0
1.160487,0,0,0,0
1.162088,0,0,0,0
1.163634,0,0,0,0
1.165178,0,0,0,0
1.166773,0,0,0,0
1.168328,0,0,0,0
1.169928,0,0,0,0
1.171483,0,0,0,0
1.173035,0,0,0,0
1.175001,0,0,0,0
1.176398,0,0,0,0
1.177839,0,0,0,0
1.179233,0,0,0,0
1.180623,0,0,0,0
1.182015,0,0,0,0
1.183405,0,0,0,0
1.184793,0,0,0,0
1.186358,0,0,0,0
1.187912,0,0,0,0
1.189482,0,0,0,0
1.191035,0,0,0,0
1.192588,0,0,0,0
1.194185,0,0,0,0
1.195737,0,0,0,0
