elapsed_s,TSE_NON_CLIP_WORKING_CYCLES,TSE_NULL_WORKING_CYCLES,TSE_OUT_PRIM_WORKING_CYCLES,TSE_INPUT_VERTEX_WORKING_CYCLES
0.489998,0,0,0,0
0.491543,0,0,0,0
0.492987,0,0,0,0
0.494393,0,0,0,0
0.495797,0,0,0,0
0.497226,0,0,0,0
0.498620,0,0,0,0
0.500038,0,0,0,0
0.501552,0,0,0,0
0.502923,0,0,0,0
0.504351,0,0,0,0
0.505833,0,0,0,0
0.507251,0,0,0,0
0.508650,0,0,0,0
0.510037,0,0,0,0
0.511423,0,0,0,0
0.512845,0,0,0,0
0.514360,0,0,0,0
0.515908,0,0,0,0
0.517456,0,0,0,0
0.519020,0,0,0,0
0.520571,0,0,0,0
0.522165,0,0,0,0
0.523712,0,0,0,0
0.525262,0,0,0,0
0.526812,0,0,0,0
0.528360,0,0,0,0
0.529843,0,0,0,0
0.531228,0,0,0,0
0.532611,0,0,0,0
0.534125,0,0,0,0
0.535672,0,0,0,0
0.537114,0,0,0,0
0.538650,0,0,0,0
0.540088,0,0,0,0
0.541727,0,0,0,0
0.543091,0,0,0,0
0.544486,0,0,0,0
0.546001,0,0,0,0
0.547548,0,0,0,0
0.549098,0,0,0,0
