elapsed_s,VPC_FE_VPCRAM_FULL_CYCLES,VPC_FE_NUM_VPCRAM_WRITE,VPC_FE_STALL_CYCLES_TSE_FE,VPC_FE_STALL_CYCLES_VPC_US,VPC_FE_TSE_FE_PRIMITIVES,VPC_FE_GS_PRIMITIVES
0.846572,0,0,0,0,0,0
0.848001,0,0,0,0,0,0
0.849395,0,0,0,0,0,0
0.850909,0,0,0,0,0,0
0.852760,0,0,0,0,0,0
0.854160,0,0,0,0,0,0
0.855554,0,0,0,0,0,0
0.856945,0,0,0,0,0,0
0.858363,0,0,0,0,0,0
0.859755,0,0,0,0,0,0
0.861145,0,0,0,0,0,0
0.862662,0,0,0,0,0,0
0.864089,0,0,0,0,0,0
0.865738,0,0,0,0,0,0
0.867223,0,0,0,0,0,0
0.868801,0,0,0,0,0,0
0.870352,0,0,0,0,0,0
0.871782,0,0,0,0,0,0
0.873314,0,0,0,0,0,0
0.874873,0,0,0,0,0,0
0.876436,0,0,0,0,0,0
0.877995,0,0,0,0,0,0
0.879570,0,0,0,0,0,0
0.881131,0,0,0,0,0,0
0.882690,0,0,0,0,0,0
0.884164,0,0,0,0,0,0
0.885696,0,0,0,0,0,0
0.887258,0,0,0,0,0,0
0.888820,0,0,0,0,0,0
0.890393,0,0,0,0,0,0
0.892579,0,0,0,0,0,0
0.893986,0,0,0,0,0,0
0.895383,0,0,0,0,0,0
0.896781,0,0,0,0,0,0
0.898177,0,0,0,0,0,0
0.899618,0,0,0,0,0,0
0.901028,0,0,0,0,0,0
0.902552,0,0,0,0,0,0
0.904149,0,0,0,0,0,0
0.905709,0,0,0,0,0,0
0.907270,0,0,0,0,0,0
0.908829,0,0,0,0,0,0
0.910386,0,0,0,0,0,0
0.911957,0,0,0,0,0,0
0.913517,0,0,0,0,0,0
0.915078,0,0,0,0,0,0
0.916637,0,0,0,0,0,0
0.918195,0,0,0,0,0,0
0.919755,0,0,0,0,0,0
