elapsed_s,RAS_STARVE_CYCLES_TSE,RAS_SUPER_TILES,RAS_8X4_TILES,RAS_MASKGEN_ACTIVE
1.250152,12000,0,0,0
1.251707,11955,0,0,0
1.253260,11970,0,0,0
1.254819,12075,0,0,0
1.256372,12063,0,0,0
1.257928,11988,0,0,0
1.259484,12060,0,0,0
1.261051,12030,0,0,0
1.262608,12090,0,0,0
1.264162,12147,0,0,0
1.265763,12066,0,0,0
1.267320,12072,0,0,0
1.268873,12009,0,0,0
1.270427,12348,0,0,0
1.271997,12024,0,0,0
1.273565,11970,0,0,0
1.275016,11979,0,0,0
1.276550,12033,0,0,0
1.278108,12342,0,0,0
1.279658,12096,0,0,0
1.281186,12081,0,0,0
1.282652,12048,0,0,0
1.284043,11961,0,0,0
1.285433,12126,0,0,0
1.286825,11961,0,0,0
1.288214,12306,0,0,0
1.289736,12084,0,0,0
1.291294,11991,0,0,0
1.292734,12141,0,0,0
1.294560,12267,0,0,0
1.296283,12222,0,0,0
1.297737,12816,0,0,0
1.299132,12546,0,0,0
1.300522,12180,0,0,0
1.301916,12204,0,0,0
1.303311,12174,0,0,0
1.304822,12177,0,0,0
1.306247,12582,0,0,0
1.307652,12168,0,0,0
1.309175,12135,0,0,0
1.310787,12111,0,0,0
1.312342,12132,0,0,0
1.315626,12183,0,0,0
1.317049,12174,0,0,0
1.318571,12084,0,0,0
1.319963,12051,0,0,0
1.321355,12087,0,0,0
1.322744,12150,0,0,0
1.324137,12099,0,0,0
1.325659,12084,0,0,0
1.327214,12099,0,0,0
1.328767,12231,0,0,0
1.330323,12315,0,0,0
1.331877,12453,0,0,0
1.333434,12192,0,0,0
1.335002,12453,0,0,0
1.336556,12162,0,0,0
1.337992,12168,0,0,0
1.339538,12150,0,0,0
1.341092,12105,0,0,0
1.342651,12126,0,0,0
1.344203,12219,0,0,0
1.345813,12117,0,0,0
1.347369,12171,0,0,0
1.348921,12111,0,0,0
1.350476,12408,0,0,0
1.352031,12159,0,0,0
1.353587,12132,0,0,0
1.355142,12624,0,0,0
1.356707,12189,0,0,0
1.358262,12189,0,0,0
1.359817,12159,0,0,0
1.361417,12192,0,0,0
1.362971,12102,0,0,0
1.364538,12285,0,0,0
1.366094,12168,0,0,0
1.367662,12192,0,0,0
1.369215,12408,0,0,0
1.370774,12312,0,0,0
1.372326,12345,0,0,0
1.374002,12087,0,0,0
1.375472,12108,0,0,0
1.376871,12288,0,0,0
1.378319,12126,0,0,0
1.379711,12135,0,0,0
1.381099,12159,0,0,0
1.382638,12087,0,0,0
1.384060,12363,0,0,0
1.385465,12069,0,0,0
1.387000,12648,0,0,0
1.388402,12108,0,0,0
1.389786,12225,0,0,0
1.391172,12183,0,0,0
1.392561,12225,0,0,0
1.393948,12066,0,0,0
1.395333,12102,0,0,0
1.396838,12288,0,0,0
1.398258,12180,0,0,0
1.399787,12156,0,0,0
1.401494,12039,0,0,0
1.403038,12090,0,0,0
1.404583,12204,0,0,0
1.406005,12063,0,0,0
1.407522,12120,0,0,0
1.408946,12159,0,0,0
1.412514,12714,0,0,0
1.413912,12318,0,0,0
1.415305,12576,0,0,0
1.416695,12189,0,0,0
1.418087,12174,0,0,0
1.419477,12093,0,0,0
1.421079,12132,0,0,0
1.422639,12162,0,0,0
1.424263,12111,0,0,0
1.425972,12144,0,0,0
1.427424,12141,0,0,0
1.428827,12093,0,0,0
1.430223,12180,0,0,0
1.431656,11148,0,0,0
1.433615,11088,0,0,0
1.435064,10815,0,0,0
1.436504,10782,0,0,0
1.437895,10839,0,0,0
1.439284,10863,0,0,0
1.440671,10836,0,0,0
1.442114,10812,0,0,0
1.443502,10791,0,0,0
1.444889,10863,0,0,0
1.446278,10794,0,0,0
1.447666,10920,0,0,0
1.449053,10869,0,0,0
1.450622,10803,0,0,0
1.452174,10866,0,0,0
1.453616,10911,0,0,0
1.455141,10932,0,0,0
1.456693,10998,0,0,0
1.458248,10956,0,0,0
1.459802,10911,0,0,0
1.461357,11121,0,0,0
1.462912,10902,0,0,0
1.464478,10878,0,0,0
1.465918,10947,0,0,0
1.467467,10989,0,0,0
1.469019,10959,0,0,0
1.470639,11097,0,0,0
1.472191,10953,0,0,0
1.473790,10944,0,0,0
1.475232,10965,0,0,0
1.477636,10968,0,0,0
1.479184,11160,0,0,0
