elapsed_s,RAS_FULLY_COVERED_SUPER_TILES,RAS_FULLY_COVERED_8X4_TILES,RAS_PRIM_KILLED_INVISILBE,RAS_SUPERTILE_GEN_ACTIVE_CYCLES
0.377107,0,0,0,0
0.378875,0,0,0,0
0.380402,0,0,0,0
0.381736,0,0,0,0
0.383087,0,0,0,0
0.384408,0,0,0,0
0.385723,0,0,0,0
0.387053,0,0,0,0
0.388365,0,0,0,0
0.389691,0,0,0,0
0.391002,0,0,0,0
0.392313,0,0,0,0
0.393627,0,0,0,0
0.394939,0,0,0,0
0.396299,0,0,0,0
0.397712,0,0,0,0
0.399223,0,0,0,0
0.400642,0,0,0,0
0.402163,0,0,0,0
0.403713,0,0,0,0
0.405262,0,0,0,0
0.406813,0,0,0,0
0.408378,0,0,0,0
0.409928,0,0,0,0
0.411478,0,0,0,0
0.413030,0,0,0,0
0.414581,0,0,0,0
0.416131,0,0,0,0
0.417686,0,0,0,0
0.419248,0,0,0,0
0.420802,0,0,0,0
0.422353,0,0,0,0
0.423902,0,0,0,0
0.425426,0,0,0,0
0.426952,0,0,0,0
0.428547,0,0,0,0
0.430111,0,0,0,0
0.431661,0,0,0,0
0.433213,0,0,0,0
0.434831,0,0,0,0
0.436384,0,0,0,0
0.437935,0,0,0,0
0.439490,0,0,0,0
0.440948,0,0,0,0
0.442352,0,0,0,0
0.443740,0,0,0,0
0.445131,0,0,0,0
0.447081,0,0,0,0
0.448496,0,0,0,0
0.449882,0,0,0,0
0.451279,0,0,0,0
0.452667,0,0,0,0
0.454052,0,0,0,0
0.455437,0,0,0,0
0.456956,0,0,0,0
0.458507,0,0,0,0
0.460057,0,0,0,0
0.461675,0,0,0,0
0.463224,0,0,0,0
0.464776,0,0,0,0
0.466327,0,0,0,0
0.467876,0,0,0,0
0.469488,0,0,0,0
0.471035,0,0,0,0
0.472629,0,0,0,0
0.474179,0,0,0,0
0.475726,0,0,0,0
0.477170,0,0,0,0
0.478695,0,0,0,0
0.480249,0,0,0,0
0.481802,0,0,0,0
0.483366,0,0,0,0
0.484920,0,0,0,0
0.486474,0,0,0,0
0.488024,0,0,0,0
0.489538,0,0,0,0
0.491060,0,0,0,0
0.492657,0,0,0,0
0.494213,0,0,0,0
0.495756,0,0,0,0
0.497297,0,0,0,0
0.498839,0,0,0,0
0.500387,0,0,0,0
0.501942,0,0,0,0
0.503533,0,0,0,0
0.505097,0,0,0,0
0.506649,0,0,0,0
0.508333,0,0,0,0
0.509884,0,0,0,0
0.511433,0,0,0,0
0.512987,0,0,0,0
0.514538,0,0,0,0
0.516100,0,0,0,0
0.517657,0,0,0,0
0.519206,0,0,0,0
0.520759,0,0,0,0
0.522311,0,0,0,0
0.523860,0,0,0,0
0.525539,0,0,0,0
0.527104,0,0,0,0
0.528657,0,0,0,0
0.530208,0,0,0,0
0.531759,0,0,0,0
0.533309,0,0,0,0
0.534861,0,0,0,0
0.536413,0,0,0,0
0.537977,0,0,0,0
0.539526,0,0,0,0
0.541079,0,0,0,0
0.542632,0,0,0,0
0.544182,0,0,0,0
0.545835,0,0,0,0
