elapsed_s,HLSQ_STPROC_WAVE_CONTEXTS_LPAC,HLSQ_STPROC_WAVE_CONTEXT_CYCLES_LPAC,HLSQ_SPTROC_STCHE_WARMUP_INC_VS,HLSQ_SPTROC_STCHE_WARMUP_INC_FS,HLSQ_SPTROC_STCHE_WARMUP_INC_BV,HLSQ_SPTROC_STCHE_WARMUP_INC_LPAC
0.301515,0,0,0,0,0,0
0.303079,0,0,0,0,0,0
0.304641,0,0,0,0,0,0
0.306215,0,0,0,0,0,0
0.307819,0,0,0,0,0,0
0.309379,0,0,0,0,0,0
0.310942,0,0,0,0,0,0
0.312503,0,0,0,0,0,0
0.314063,0,0,0,0,0,0
0.315628,0,0,0,0,0,0
0.317201,0,0,0,0,0,0
0.318764,0,0,0,0,0,0
0.320325,0,0,0,0,0,0
0.321885,0,0,0,0,0,0
0.323506,0,0,0,0,0,0
0.325069,0,0,0,0,0,0
0.326633,0,0,0,0,0,0
0.328207,0,0,0,0,0,0
0.329766,0,0,0,0,0,0
0.331372,0,0,0,0,0,0
0.332935,0,0,0,0,0,0
0.334496,0,0,0,0,0,0
0.336058,0,0,0,0,0,0
0.337617,0,0,0,0,0,0
0.339192,0,0,0,0,0,0
0.340754,0,0,0,0,0,0
0.342316,0,0,0,0,0,0
0.343877,0,0,0,0,0,0
0.345437,0,0,0,0,0,0
0.346885,0,0,0,0,0,0
0.348437,0,0,0,0,0,0
0.350009,0,0,0,0,0,0
0.351575,0,0,0,0,0,0
0.353135,0,0,0,0,0,0
0.354698,0,0,0,0,0,0
0.356261,0,0,0,0,0,0
0.357821,0,0,0,0,0,0
0.359383,0,0,0,0,0,0
0.360958,0,0,0,0,0,0
0.362523,0,0,0,0,0,0
0.364129,0,0,0,0,0,0
0.365688,0,0,0,0,0,0
0.367251,0,0,0,0,0,0
0.368812,0,0,0,0,0,0
0.370374,0,0,0,0,0,0
0.371949,0,0,0,0,0,0
0.373509,0,0,0,0,0,0
0.375071,0,0,0,0,0,0
0.376635,0,0,0,0,0,0
0.378195,0,0,0,0,0,0
0.379657,0,0,0,0,0,0
0.381060,0,0,0,0,0,0
0.382600,0,0,0,0,0,0
0.384161,0,0,0,0,0,0
0.385720,0,0,0,0,0,0
0.387282,0,0,0,0,0,0
0.388844,0,0,0,0,0,0
0.390406,0,0,0,0,0,0
0.391967,0,0,0,0,0,0
0.393539,0,0,0,0,0,0
0.395146,0,0,0,0,0,0
0.396708,0,0,0,0,0,0
