elapsed_s,TSE_BE_CINVOCATION,TSE_BE_CPRIMITIVES,TSE_BE_2D_INPUT_PRIM,TSE_BE_2D_ALIVE_CYCLES
0.246973,0,0,0,0
0.248359,0,0,0,0
0.249761,0,0,0,0
0.251147,0,0,0,0
0.252755,0,0,0,0
0.254304,0,0,0,0
0.255854,0,0,0,0
0.257403,0,0,0,0
0.258887,0,0,0,0
0.260287,0,0,0,0
0.261848,0,0,0,0
0.263400,0,0,0,0
0.264948,0,0,0,0
0.266498,0,0,0,0
0.268048,0,0,0,0
0.269599,0,0,0,0
0.271164,0,0,0,0
0.272713,0,0,0,0
0.274267,0,0,0,0
0.275817,0,0,0,0
0.277409,0,0,0,0
0.279004,0,0,0,0
0.280554,0,0,0,0
0.282119,0,0,0,0
0.283669,0,0,0,0
0.285217,0,0,0,0
0.286773,0,0,0,0
0.288323,0,0,0,0
0.289875,0,0,0,0
0.291425,0,0,0,0
0.292987,0,0,0,0
0.294481,0,0,0,0
0.295858,0,0,0,0
0.297203,0,0,0,0
0.298595,0,0,0,0
0.299926,0,0,0,0
0.301255,0,0,0,0
0.302579,0,0,0,0
0.303928,0,0,0,0
0.305266,0,0,0,0
0.306604,0,0,0,0
0.307947,0,0,0,0
0.309339,0,0,0,0
0.310654,0,0,0,0
0.311964,0,0,0,0
0.313273,0,0,0,0
0.314645,0,0,0,0
0.315950,0,0,0,0
0.317255,0,0,0,0
0.318671,0,0,0,0
0.319980,0,0,0,0
0.321289,0,0,0,0
0.322604,0,0,0,0
0.323912,0,0,0,0
0.325263,0,0,0,0
0.326631,0,0,0,0
0.327991,0,0,0,0
0.329353,0,0,0,0
0.330712,0,0,0,0
0.332072,0,0,0,0
0.333455,0,0,0,0
0.334817,0,0,0,0
0.336181,0,0,0,0
0.337541,0,0,0,0
0.338901,0,0,0,0
0.340311,0,0,0,0
0.341784,0,0,0,0
0.343351,0,0,0,0
0.344857,0,0,0,0
0.346344,0,0,0,0
0.347788,0,0,0,0
0.349181,0,0,0,0
0.350653,0,0,0,0
0.352087,0,0,0,0
0.353644,0,0,0,0
0.355035,0,0,0,0
0.356431,0,0,0,0
0.357846,0,0,0,0
0.359527,0,0,0,0
0.360908,0,0,0,0
0.362289,0,0,0,0
0.363531,0,0,0,0
0.364928,0,0,0,0
0.366792,0,0,0,0
0.368205,0,0,0,0
0.369600,0,0,0,0
0.370987,0,0,0,0
0.372370,0,0,0,0
0.375675,0,0,0,0
0.377090,0,0,0,0
0.378478,0,0,0,0
0.379857,0,0,0,0
0.381235,0,0,0,0
0.385507,0,0,0,0
0.386891,0,0,0,0
0.388274,0,0,0,0
0.389669,0,0,0,0
0.391047,0,0,0,0
0.392407,0,0,0,0
0.393796,0,0,0,0
0.395130,0,0,0,0
0.396464,0,0,0,0
0.397801,0,0,0,0
0.399140,0,0,0,0
0.400492,0,0,0,0
0.401831,0,0,0,0
0.403168,0,0,0,0
0.404507,0,0,0,0
0.405976,0,0,0,0
0.407538,0,0,0,0
0.409085,0,0,0,0
0.410504,0,0,0,0
0.412035,0,0,0,0
0.413586,0,0,0,0
0.415135,0,0,0,0
0.416681,0,0,0,0
0.418232,0,0,0,0
0.419780,0,0,0,0
0.421369,0,0,0,0
0.422937,0,0,0,0
0.424483,0,0,0,0
0.426034,0,0,0,0
0.427582,0,0,0,0
0.429129,0,0,0,0
0.430743,0,0,0,0
0.432134,0,0,0,0
0.433543,0,0,0,0
0.434931,0,0,0,0
0.436316,0,0,0,0
0.437745,0,0,0,0
0.439261,0,0,0,0
0.440809,0,0,0,0
0.442357,0,0,0,0
0.443797,0,0,0,0
0.445325,0,0,0,0
0.446881,0,0,0,0
0.448430,0,0,0,0
0.449983,0,0,0,0
0.451534,0,0,0,0
0.453082,0,0,0,0
0.454638,0,0,0,0
0.456159,0,0,0,0
0.457711,0,0,0,0
0.459261,0,0,0,0
0.460811,0,0,0,0
0.462362,0,0,0,0
0.463912,0,0,0,0
0.465476,0,0,0,0
0.467026,0,0,0,0
0.468575,0,0,0,0
0.470128,0,0,0,0
0.471680,0,0,0,0
0.473229,0,0,0,0
0.474784,0,0,0,0
0.476346,0,0,0,0
0.477899,0,0,0,0
0.479450,0,0,0,0
0.480997,0,0,0,0
0.482547,0,0,0,0
0.484099,0,0,0,0
0.485693,0,0,0,0
0.487259,0,0,0,0
0.488807,0,0,0,0
0.490357,0,0,0,0
0.491899,0,0,0,0
0.493546,0,0,0,0
0.495124,0,0,0,0
0.496576,0,0,0,0
0.498103,0,0,0,0
0.499653,0,0,0,0
0.501244,0,0,0,0
0.502796,0,0,0,0
0.504344,0,0,0,0
0.505895,0,0,0,0
0.507445,0,0,0,0
0.509005,0,0,0,0
0.510555,0,0,0,0
0.511989,0,0,0,0
0.513402,0,0,0,0
0.514904,0,0,0,0
0.516822,0,0,0,0
0.518226,0,0,0,0
0.519679,0,0,0,0
