elapsed_s,CP_ICACHE_MISSES,CP_ICACHE_HITS,CP_ICACHE_STALL,CP_DCACHE_MISSES,CP_DCACHE_HITS,CP_DCACHE_STALLS,CP_AQE_SQE_STALL,CP_SQE_AQE_STARVE,CP_ISR_CYCLES,CP_SQE_MD8_STALL_CYCLES,CP_SQE_MESH_EXEC_CYCLES,CP_AQE_NUM_AS_CHUNKS,CP_AQE_NUM_MS_CHUNKS,CP_S_SKEW_BUFFER_FULL
1.070148,18,239,1557,0,0,0,0,0,0,0,0,0,0,0
1.071866,18,239,1555,0,0,0,0,0,0,0,0,0,0,0
1.073413,18,235,1570,0,0,0,0,0,0,0,0,0,0,0
1.074875,18,239,1564,0,0,0,0,0,0,0,0,0,0,0
1.076457,18,237,1570,0,0,0,0,0,0,0,0,0,0,0
1.078071,17,230,1569,0,0,0,0,0,0,0,0,0,0,0
1.079686,18,237,1563,0,0,0,0,0,0,0,0,0,0,0
1.081299,18,237,1559,0,0,0,0,0,0,0,0,0,0,0
1.082934,18,237,1562,0,0,0,0,0,0,0,0,0,0,0
1.084551,18,233,1561,0,0,0,0,0,0,0,0,0,0,0
1.086177,18,237,1558,0,0,0,0,0,0,0,0,0,0,0
1.087835,18,237,1645,0,0,0,0,0,0,0,0,0,0,0
1.089450,18,239,1557,0,0,0,0,0,0,0,0,0,0,0
1.091061,18,237,1551,0,0,0,0,0,0,0,0,0,0,0
1.092674,18,239,1560,0,0,0,0,0,0,0,0,0,0,0
1.094287,18,237,1563,0,0,0,0,0,0,0,0,0,0,0
1.095902,18,239,1566,0,0,0,0,0,0,0,0,0,0,0
1.097403,18,239,1601,0,0,0,0,0,0,0,0,0,0,0
1.098987,18,239,1778,0,0,0,0,0,0,0,0,0,0,0
1.100478,18,235,1591,0,0,0,0,0,0,0,0,0,0,0
1.102065,18,239,1591,0,0,0,0,0,0,0,0,0,0,0
1.103723,18,239,1587,0,0,0,0,0,0,0,0,0,0,0
1.105335,18,239,1590,0,0,0,0,0,0,0,0,0,0,0
