elapsed_s,TP_FILTER_POINT_FP32,TP_LATENCY_FIFO_FULL,TP_RESERVED_62,TP_RESERVED_63,TP_RESERVED_64,TP_RESERVED_65,TP_RESERVED_66,TP_RESERVED_67,TP_RESERVED_68,TP_RESERVED_69,TP_RESERVED_70,TP_RESERVED_71
0.324577,0,0,0,0,0,0,0,0,0,0,0,0
0.326007,0,0,0,0,0,0,0,0,0,0,0,0
0.327707,0,0,0,0,0,0,0,0,0,0,0,0
0.329498,0,0,0,0,0,0,0,0,0,0,0,0
0.331162,0,0,0,0,0,0,0,0,0,0,0,0
0.332957,0,0,0,0,0,0,0,0,0,0,0,0
0.334401,0,0,0,0,0,0,0,0,0,0,0,0
0.335929,0,0,0,0,0,0,0,0,0,0,0,0
0.337447,0,0,0,0,0,0,0,0,0,0,0,0
0.338841,0,0,0,0,0,0,0,0,0,0,0,0
0.340235,0,0,0,0,0,0,0,0,0,0,0,0
0.341628,0,0,0,0,0,0,0,0,0,0,0,0
0.343022,0,0,0,0,0,0,0,0,0,0,0,0
0.344415,0,0,0,0,0,0,0,0,0,0,0,0
0.345808,0,0,0,0,0,0,0,0,0,0,0,0
0.347209,0,0,0,0,0,0,0,0,0,0,0,0
0.348648,0,0,0,0,0,0,0,0,0,0,0,0
0.350092,0,0,0,0,0,0,0,0,0,0,0,0
0.351536,0,0,0,0,0,0,0,0,0,0,0,0
0.352978,0,0,0,0,0,0,0,0,0,0,0,0
0.354419,0,0,0,0,0,0,0,0,0,0,0,0
0.355861,0,0,0,0,0,0,0,0,0,0,0,0
0.357304,0,0,0,0,0,0,0,0,0,0,0,0
0.358643,0,0,0,0,0,0,0,0,0,0,0,0
0.360083,0,0,0,0,0,0,0,0,0,0,0,0
0.361525,0,0,0,0,0,0,0,0,0,0,0,0
0.362973,0,0,0,0,0,0,0,0,0,0,0,0
0.364458,0,0,0,0,0,0,0,0,0,0,0,0
0.365888,0,0,0,0,0,0,0,0,0,0,0,0
0.367590,0,0,0,0,0,0,0,0,0,0,0,0
0.369097,0,0,0,0,0,0,0,0,0,0,0,0
0.370495,0,0,0,0,0,0,0,0,0,0,0,0
0.371882,0,0,0,0,0,0,0,0,0,0,0,0
0.373270,0,0,0,0,0,0,0,0,0,0,0,0
0.374987,0,0,0,0,0,0,0,0,0,0,0,0
0.376394,0,0,0,0,0,0,0,0,0,0,0,0
0.377836,0,0,0,0,0,0,0,0,0,0,0,0
0.379294,0,0,0,0,0,0,0,0,0,0,0,0
0.380775,0,0,0,0,0,0,0,0,0,0,0,0
0.382202,0,0,0,0,0,0,0,0,0,0,0,0
0.384146,2060376,0,0,0,0,0,0,0,0,0,0,0
0.385704,36776,0,0,0,0,0,0,0,0,0,0,0
