elapsed_s,RB_VRS_4X2_QUADS,RB_VRS_4X4_QUADS,RB_STALL_CYCLES_HLSQ_INFO,RB_HLSQ_ACTIVE_INFO,RB_STALL_CYCLES_HLSQ_ATTR,RB_HLSQ_ACTIVE_ATTR,RB_STALL_CYCLES_ZMODE_SWITCH,RB_TOTAL_PASS_PIXELS
0.342006,0,0,0,0,0,0,0,0
0.343580,0,0,0,0,0,0,0,0
0.345165,0,0,0,0,0,0,0,0
0.346736,0,0,0,0,0,0,0,0
0.348310,0,0,0,0,0,0,0,0
0.349892,0,0,0,0,0,0,0,0
0.351405,0,0,0,0,0,0,0,0
0.352932,0,0,0,0,0,0,0,0
0.354342,0,0,0,0,0,0,0,0
0.355891,0,0,0,0,0,0,0,0
0.357465,0,0,0,0,0,0,0,0
0.359038,0,0,0,0,0,0,0,0
0.360612,0,0,0,0,0,0,0,0
0.362187,0,0,0,0,0,0,0,0
0.363762,0,0,0,0,0,0,0,0
0.365337,0,0,0,0,0,0,0,0
0.367032,0,0,0,0,0,0,0,0
0.368604,0,0,0,0,0,0,0,0
0.370177,0,0,0,0,0,0,0,0
0.371753,0,0,0,0,0,0,0,0
0.373329,0,0,0,0,0,0,0,0
0.374901,0,0,0,0,0,0,0,0
0.376475,0,0,0,0,0,0,0,0
0.378062,0,0,0,0,0,0,0,0
0.379638,0,0,0,0,0,0,0,0
0.381213,0,0,0,0,0,0,0,0
0.382786,0,0,0,0,0,0,0,0
0.384361,0,0,0,0,0,0,0,0
0.385933,0,0,0,0,0,0,0,0
0.387407,0,0,0,0,0,0,0,0
0.388958,0,0,0,0,0,0,0,0
0.390337,0,0,0,0,0,0,0,0
0.391703,0,0,0,0,0,0,0,0
0.393138,0,0,0,0,0,0,0,0
0.394496,0,0,0,0,0,0,0,0
0.395902,0,0,0,0,0,0,0,0
0.397259,0,0,0,0,0,0,0,0
0.398659,0,0,0,0,0,0,0,0
0.400031,0,0,0,0,0,0,0,0
0.401385,0,0,0,0,0,0,0,0
0.402735,0,0,0,0,0,0,0,0
0.404137,0,0,0,0,0,0,0,0
0.405495,0,0,0,0,0,0,0,0
0.406851,0,0,0,0,0,0,0,0
0.408207,0,0,0,0,0,0,0,0
0.409557,0,0,0,0,0,0,0,0
0.410917,0,0,0,0,0,0,0,0
0.412316,0,0,0,0,0,0,0,0
0.413674,0,0,0,0,0,0,0,0
0.415077,0,0,0,0,0,0,0,0
0.416408,0,0,0,0,0,0,0,0
0.417740,0,0,0,0,0,0,0,0
0.419069,0,0,0,0,0,0,0,0
0.420445,0,0,0,0,0,0,0,0
0.421782,0,0,0,0,0,0,0,0
0.423111,0,0,0,0,0,0,0,0
0.424440,0,0,0,0,0,0,0,0
0.425769,0,0,0,0,0,0,0,0
0.427094,0,0,0,0,0,0,0,0
0.428469,0,0,0,0,0,0,0,0
0.429806,0,0,0,0,0,0,0,0
0.431168,0,0,0,0,0,0,0,0
0.432537,0,0,0,0,0,0,0,0
0.433847,0,0,0,0,0,0,0,0
0.435157,0,0,0,0,0,0,0,0
0.436516,0,0,0,0,0,0,0,0
0.437830,0,0,0,0,0,0,0,0
0.439142,0,0,0,0,0,0,0,0
0.440454,0,0,0,0,0,0,0,0
0.441762,0,0,0,0,0,0,0,0
0.443082,0,0,0,0,0,0,0,0
0.444439,0,0,0,0,0,0,0,0
0.445750,0,0,0,0,0,0,0,0
0.447091,0,0,0,0,0,0,0,0
0.448519,0,0,0,0,0,0,0,0
0.449895,0,0,0,0,0,0,0,0
0.451271,0,0,0,0,0,0,0,0
0.452643,0,0,0,0,0,0,0,0
0.454027,0,0,0,0,0,0,0,0
0.455469,0,0,0,0,0,0,0,0
0.456896,0,0,0,0,0,0,0,0
0.458171,0,0,0,0,0,0,0,0
0.459548,0,0,0,0,0,0,0,0
0.460923,0,0,0,0,0,0,0,0
0.462298,0,0,0,0,0,0,0,0
0.463632,0,0,0,0,0,0,0,0
0.465012,0,0,0,0,0,0,0,0
0.466438,0,0,0,0,0,0,0,0
0.467863,0,0,0,0,0,0,0,0
0.469240,0,0,0,0,0,0,0,0
0.470616,0,0,0,0,0,0,0,0
0.472041,0,0,0,0,0,0,0,0
0.473418,0,0,0,0,0,0,0,0
0.474793,0,0,0,0,0,0,0,0
0.476222,0,0,0,0,0,0,0,0
0.477490,0,0,0,0,0,0,0,0
0.478880,0,0,0,0,0,0,0,0
0.480311,0,0,0,0,0,0,0,0
0.481678,0,0,0,0,0,0,0,0
0.482924,0,0,0,0,0,0,0,0
0.484341,0,0,0,0,0,0,0,0
0.485706,0,0,0,0,0,0,0,0
0.487085,0,0,0,0,0,0,0,0
0.488451,0,0,0,0,0,0,0,0
0.489817,0,0,0,0,0,0,0,0
0.491182,0,0,0,0,0,0,0,0
0.492590,0,0,0,0,0,0,0,0
0.493952,0,0,0,0,0,0,0,0
0.495331,0,0,0,0,0,0,0,0
0.497178,0,0,0,0,0,0,0,0
0.498600,0,0,0,0,0,0,0,0
0.500005,0,0,0,0,0,0,0,0
0.501414,0,0,0,0,0,0,0,0
0.502816,0,0,0,0,0,0,0,0
0.504241,0,0,0,0,0,0,0,0
0.505641,0,0,0,0,0,0,0,0
0.507348,0,0,0,0,0,0,0,0
0.508769,0,0,0,0,0,0,0,0
0.510172,0,0,0,0,0,0,0,0
0.511744,0,0,0,0,0,0,0,0
0.513154,0,0,0,0,0,0,0,0
0.514560,0,0,0,0,0,0,0,0
0.515962,0,0,0,0,0,0,0,0
0.517364,0,0,0,0,0,0,0,0
0.518774,0,0,0,0,0,0,0,0
0.520179,0,0,0,0,0,0,0,0
