elapsed_s,TSE_REG_PROGRAMMING_ONLY_CYCLE_L0,TSE_COMMON_RAM_WORKING_CYCLE_L2,TSE_COMMON_RAM_RD_WORKING_CYCLE_L3,TSE_COMMON_RAM_WR_WORKING_CYCLE_L3
0.692693,0,0,0,0
0.694218,0,0,0,0
0.695771,0,0,0,0
0.697325,0,0,0,0
0.698922,0,0,0,0
0.700489,0,0,0,0
0.702040,0,0,0,0
0.703594,0,0,0,0
0.705148,0,0,0,0
0.706699,0,0,0,0
0.708256,0,0,0,0
0.709807,0,0,0,0
0.711373,0,0,0,0
0.712926,0,0,0,0
0.714477,0,0,0,0
0.716031,0,0,0,0
0.717554,0,0,0,0
0.719108,0,0,0,0
0.720662,0,0,0,0
0.722226,0,0,0,0
0.723780,0,0,0,0
0.725333,0,0,0,0
0.726888,0,0,0,0
0.728441,0,0,0,0
0.729992,0,0,0,0
0.731590,0,0,0,0
0.733198,0,0,0,0
0.734749,0,0,0,0
0.736304,0,0,0,0
0.737856,0,0,0,0
0.739412,0,0,0,0
0.740965,0,0,0,0
0.742516,0,0,0,0
0.744158,0,0,0,0
0.745710,0,0,0,0
0.747307,0,0,0,0
0.748861,0,0,0,0
0.750412,0,0,0,0
0.751965,0,0,0,0
0.753517,0,0,0,0
0.755086,0,0,0,0
0.756640,0,0,0,0
0.758191,0,0,0,0
0.759744,0,0,0,0
0.761297,0,0,0,0
0.762897,0,0,0,0
0.764451,0,0,0,0
0.766015,0,0,0,0
0.767570,0,0,0,0
0.769123,0,0,0,0
0.770675,0,0,0,0
0.772233,0,0,0,0
0.773783,0,0,0,0
0.775338,0,0,0,0
0.776903,0,0,0,0
0.778454,0,0,0,0
0.779878,0,0,0,0
0.781401,0,0,0,0
0.782956,0,0,0,0
0.784510,0,0,0,0
0.786062,0,0,0,0
0.787629,0,0,0,0
0.789173,0,0,0,0
0.790713,0,0,0,0
0.792292,0,0,0,0
0.793842,0,0,0,0
0.795438,0,0,0,0
0.796991,0,0,0,0
0.798554,0,0,0,0
0.800108,0,0,0,0
0.801657,0,0,0,0
0.803222,0,0,0,0
0.804776,0,0,0,0
0.806201,0,0,0,0
0.807729,0,0,0,0
0.809295,0,0,0,0
0.810892,0,0,0,0
0.812446,0,0,0,0
0.813998,0,0,0,0
0.815553,0,0,0,0
0.817116,0,0,0,0
0.818668,0,0,0,0
0.820240,0,0,0,0
0.821791,0,0,0,0
0.823346,0,0,0,0
0.824898,0,0,0,0
0.826449,0,0,0,0
0.827873,0,0,0,0
0.829396,0,0,0,0
0.830962,0,0,0,0
0.832513,0,0,0,0
0.834065,0,0,0,0
0.835619,0,0,0,0
0.837173,0,0,0,0
0.838724,0,0,0,0
0.840282,0,0,0,0
0.841721,0,0,0,0
0.843291,0,0,0,0
0.844845,0,0,0,0
0.846396,0,0,0,0
0.847950,0,0,0,0
0.849501,0,0,0,0
0.851057,0,0,0,0
0.852632,0,0,0,0
0.854184,0,0,0,0
0.855736,0,0,0,0
0.857290,0,0,0,0
0.858888,0,0,0,0
0.860442,0,0,0,0
0.861994,0,0,0,0
0.863438,0,0,0,0
0.864962,0,0,0,0
