elapsed_s,RAS_SAMPLE_MASK_GEN_LANE_11_WORKING_CC_L2,RAS_SAMPLE_MASK_GEN_LANE_12_WORKING_CC_L2,RAS_SAMPLE_MASK_GEN_LANE_13_WORKING_CC_L2,RAS_SAMPLE_MASK_GEN_LANE_14_WORKING_CC_L2
1.116523,0,0,0,0
1.118149,0,0,0,0
1.119819,0,0,0,0
1.121508,0,0,0,0
1.123178,0,0,0,0
1.124904,0,0,0,0
1.126580,0,0,0,0
1.128246,0,0,0,0
1.129916,0,0,0,0
1.131587,0,0,0,0
1.133457,0,0,0,0
1.134990,0,0,0,0
1.136431,0,0,0,0
1.138055,0,0,0,0
1.139722,0,0,0,0
1.141395,0,0,0,0
1.143082,0,0,0,0
1.144749,0,0,0,0
1.146415,0,0,0,0
1.148077,0,0,0,0
1.149611,0,0,0,0
1.151064,0,0,0,0
1.152680,0,0,0,0
1.154190,0,0,0,0
1.155815,0,0,0,0
1.157484,0,0,0,0
1.159151,0,0,0,0
1.160814,0,0,0,0
1.162296,0,0,0,0
1.164975,0,0,0,0
1.166626,0,0,0,0
1.168116,0,0,0,0
1.169602,0,0,0,0
1.171200,0,0,0,0
1.172772,0,0,0,0
1.174200,0,0,0,0
1.175702,0,0,0,0
1.177142,0,0,0,0
1.178544,0,0,0,0
1.179963,0,0,0,0
1.181416,0,0,0,0
1.183046,0,0,0,0
1.184710,0,0,0,0
1.187891,0,0,0,0
1.189755,0,0,0,0
1.192624,0,0,0,0
1.194077,0,0,0,0
1.195508,0,0,0,0
1.196980,0,0,0,0
1.198557,0,0,0,0
1.199995,0,0,0,0
1.201605,0,0,0,0
1.203158,0,0,0,0
1.204628,0,0,0,0
1.206050,0,0,0,0
1.207472,0,0,0,0
1.208894,0,0,0,0
1.210492,0,0,0,0
1.211914,0,0,0,0
1.213421,0,0,0,0
1.214856,0,0,0,0
1.216289,0,0,0,0
1.217722,0,0,0,0
1.219272,0,0,0,0
1.221012,0,0,0,0
1.222716,0,0,0,0
1.224379,0,0,0,0
1.226048,0,0,0,0
1.227698,0,0,0,0
1.229460,0,0,0,0
1.230980,0,0,0,0
1.232640,0,0,0,0
1.234121,0,0,0,0
1.235728,0,0,0,0
1.237203,0,0,0,0
1.238958,0,0,0,0
1.240622,0,0,0,0
1.242124,0,0,0,0
1.243748,0,0,0,0
1.245236,0,0,0,0
1.246746,0,0,0,0
1.248399,0,0,0,0
1.250066,0,0,0,0
1.251731,0,0,0,0
1.253240,0,0,0,0
1.254869,0,0,0,0
1.256535,0,0,0,0
1.258202,0,0,0,0
1.259870,0,0,0,0
1.261541,0,0,0,0
1.263210,0,0,0,0
1.264893,0,0,0,0
1.266503,0,0,0,0
1.268123,0,0,0,0
1.270404,0,0,0,0
1.272028,0,0,0,0
1.273518,0,0,0,0
1.275146,0,0,0,0
1.276856,0,0,0,0
1.278701,0,0,0,0
1.280369,0,0,0,0
1.282041,0,0,0,0
1.283709,0,0,0,0
1.285400,0,0,0,0
1.287054,0,0,0,0
1.288705,0,0,0,0
1.290190,0,0,0,0
1.291681,0,0,0,0
1.293450,0,0,0,0
1.295146,0,0,0,0
1.296651,0,0,0,0
1.298280,0,0,0,0
1.299937,0,0,0,0
1.301407,0,0,0,0
1.303034,0,0,0,0
1.304697,0,0,0,0
1.306361,0,0,0,0
1.307865,0,0,0,0
1.309497,0,0,0,0
1.311164,0,0,0,0
1.312826,0,0,0,0
1.314447,0,0,0,0
1.316070,0,0,0,0
1.317799,0,0,0,0
1.319484,0,0,0,0
1.321149,0,0,0,0
1.322564,0,0,0,0
1.324004,0,0,0,0
1.325627,0,0,0,0
1.327294,0,0,0,0
1.328957,0,0,0,0
1.330649,0,0,0,0
1.332313,0,0,0,0
1.334005,0,0,0,0
1.335671,0,0,0,0
1.337342,0,0,0,0
1.339009,0,0,0,0
1.340750,0,0,0,0
1.342418,0,0,0,0
1.344086,0,0,0,0
1.345753,0,0,0,0
1.347407,0,0,0,0
1.349640,0,0,0,0
1.351175,0,0,0,0
1.352644,0,0,0,0
1.354216,0,0,0,0
1.355880,0,0,0,0
1.357552,0,0,0,0
1.359220,0,0,0,0
1.360885,0,0,0,0
1.362502,0,0,0,0
1.364128,0,0,0,0
1.365860,0,0,0,0
1.367528,0,0,0,0
1.369194,0,0,0,0
1.370725,0,0,0,0
1.372165,0,0,0,0
1.373862,0,0,0,0
1.375531,0,0,0,0
1.377197,0,0,0,0
1.378771,0,0,0,0
1.380213,0,0,0,0
1.381895,0,0,0,0
1.383563,0,0,0,0
1.385252,0,0,0,0
1.386920,0,0,0,0
1.388647,0,0,0,0
1.390316,0,0,0,0
1.391986,0,0,0,0
1.393658,0,0,0,0
1.395346,0,0,0,0
1.397072,0,0,0,0
1.401188,0,0,0,0
1.402608,0,0,0,0
1.404050,0,0,0,0
1.405571,0,0,0,0
1.406999,0,0,0,0
1.408423,0,0,0,0
1.409850,0,0,0,0
1.411407,0,0,0,0
1.412846,0,0,0,0
1.414282,0,0,0,0
1.415728,0,0,0,0
1.417161,0,0,0,0
1.418597,0,0,0,0
1.420027,0,0,0,0
1.421582,0,0,0,0
1.423249,0,0,0,0
1.424911,0,0,0,0
1.426600,0,0,0,0
1.428262,0,0,0,0
1.429669,0,0,0,0
1.431112,0,0,0,0
1.432728,0,0,0,0
1.434393,0,0,0,0
1.436058,0,0,0,0
1.437806,0,0,0,0
1.439471,0,0,0,0
1.441135,0,0,0,0
1.442801,0,0,0,0
1.444524,0,0,0,0
1.446190,0,0,0,0
1.447875,0,0,0,0
1.449581,0,0,0,0
1.451086,0,0,0,0
1.452780,0,0,0,0
1.454447,0,0,0,0
1.456243,0,0,0,0
1.457935,0,0,0,0
1.459604,0,0,0,0
1.461279,0,0,0,0
1.462948,0,0,0,0
1.464616,0,0,0,0
1.466286,0,0,0,0
1.467958,0,0,0,0
1.469819,0,0,0,0
1.471417,0,0,0,0
1.473039,0,0,0,0
1.474460,0,0,0,0
1.476087,0,0,0,0
1.477822,0,0,0,0
1.479333,0,0,0,0
1.480964,0,0,0,0
1.482640,0,0,0,0
1.484307,0,0,0,0
1.485998,0,0,0,0
1.487668,0,0,0,0
1.489338,0,0,0,0
1.491035,0,0,0,0
1.492763,0,0,0,0
1.494433,0,0,0,0
1.496103,0,0,0,0
1.497776,0,0,0,0
1.499446,0,0,0,0
1.501191,0,0,0,0
1.502716,0,0,0,0
1.504339,0,0,0,0
1.506010,0,0,0,0
1.507678,0,0,0,0
1.509352,0,0,0,0
1.511021,0,0,0,0
1.512706,0,0,0,0
1.514373,0,0,0,0
1.516043,0,0,0,0
1.517775,0,0,0,0
1.519445,0,0,0,0
1.521110,0,0,0,0
1.522628,0,0,0,0
1.524256,0,0,0,0
1.525665,0,0,0,0
1.527276,0,0,0,0
1.528929,0,0,0,0
1.530627,0,0,0,0
1.532068,0,0,0,0
1.533929,0,0,0,0
1.535592,0,0,0,0
1.537260,0,0,0,0
1.538926,0,0,0,0
1.540650,0,0,0,0
1.542316,0,0,0,0
1.544003,0,0,0,0
1.545671,0,0,0,0
1.547338,0,0,0,0
1.549060,0,0,0,0
1.550560,0,0,0,0
1.552194,0,0,0,0
1.553867,0,0,0,0
1.555538,0,0,0,0
1.557455,0,0,0,0
1.559044,0,0,0,0
1.560485,0,0,0,0
1.561922,0,0,0,0
1.563412,0,0,0,0
1.564896,0,0,0,0
1.566447,0,0,0,0
1.568063,0,0,0,0
1.569836,0,0,0,0
1.571510,0,0,0,0
1.573373,0,0,0,0
1.574877,0,0,0,0
1.576316,0,0,0,0
1.577771,0,0,0,0
1.579433,0,0,0,0
1.581203,0,0,0,0
1.583047,0,0,0,0
1.584752,0,0,0,0
1.586462,0,0,0,0
1.587990,0,0,0,0
1.589658,0,0,0,0
1.591305,0,0,0,0
1.592966,0,0,0,0
1.594490,0,0,0,0
1.596154,0,0,0,0
1.597868,0,0,0,0
1.599591,0,0,0,0
1.601302,0,0,0,0
1.603011,0,0,0,0
1.604780,0,0,0,0
1.606295,0,0,0,0
1.607962,0,0,0,0
1.609690,0,0,0,0
1.611401,0,0,0,0
1.613170,0,0,0,0
1.614743,0,0,0,0
1.616218,0,0,0,0
1.617882,0,0,0,0
1.619588,0,0,0,0
1.621316,0,0,0,0
1.623020,0,0,0,0
1.624723,0,0,0,0
1.626430,0,0,0,0
1.628134,0,0,0,0
1.629909,0,0,0,0
1.631447,0,0,0,0
1.633108,0,0,0,0
1.634640,0,0,0,0
1.636306,0,0,0,0
1.638007,0,0,0,0
1.639535,0,0,0,0
1.641364,0,0,0,0
1.643111,0,0,0,0
1.644882,0,0,0,0
1.646659,0,0,0,0
1.648349,0,0,0,0
1.649863,0,0,0,0
1.651502,0,0,0,0
1.653329,0,0,0,0
1.654939,0,0,0,0
1.656413,0,0,0,0
1.658077,0,0,0,0
1.659786,0,0,0,0
1.661498,0,0,0,0
1.663228,0,0,0,0
1.664934,0,0,0,0
1.666650,0,0,0,0
1.668355,0,0,0,0
1.669876,0,0,0,0
1.671353,0,0,0,0
