elapsed_s,RAS_STARVE_CYCLES_TSE,RAS_SUPER_TILES,RAS_8X4_TILES,RAS_MASKGEN_ACTIVE
1.272135,6267,0,0,0
1.273930,6303,0,0,0
1.275730,6222,0,0,0
1.277524,6252,0,0,0
1.279143,6267,0,0,0
1.280892,6309,0,0,0
1.282683,6219,0,0,0
1.284630,6252,0,0,0
1.286500,6285,0,0,0
1.288298,6228,0,0,0
1.289916,6240,0,0,0
1.291671,6249,0,0,0
1.293465,6291,0,0,0
1.295264,6306,0,0,0
1.297059,6279,0,0,0
1.298851,6303,0,0,0
1.300659,6333,0,0,0
1.302512,6192,0,0,0
1.304161,6297,0,0,0
1.305704,6270,0,0,0
1.307562,6315,0,0,0
1.309383,6231,0,0,0
1.311210,6270,0,0,0
1.312963,6294,0,0,0
1.314501,6270,0,0,0
1.316244,6369,0,0,0
1.318035,6297,0,0,0
1.319910,6183,0,0,0
1.323428,6198,0,0,0
1.324974,6297,0,0,0
1.326590,6309,0,0,0
1.328128,6231,0,0,0
1.329663,6288,0,0,0
1.331197,6297,0,0,0
1.332934,6297,0,0,0
1.334623,6216,0,0,0
1.336165,6309,0,0,0
1.337970,6225,0,0,0
1.339565,6309,0,0,0
1.341318,5754,0,0,0
1.342875,6315,0,0,0
1.344589,6282,0,0,0
1.346117,6318,0,0,0
1.347648,6258,0,0,0
1.349186,6252,0,0,0
1.350724,6372,0,0,0
1.352397,6393,0,0,0
1.354137,6309,0,0,0
1.355753,6246,0,0,0
1.357504,6306,0,0,0
1.359304,6405,0,0,0
1.361084,6195,0,0,0
1.362859,6288,0,0,0
1.364511,6348,0,0,0
1.366067,6306,0,0,0
1.367727,6228,0,0,0
1.369264,6222,0,0,0
1.370798,6195,0,0,0
1.372334,6273,0,0,0
1.374069,6150,0,0,0
1.375943,6252,0,0,0
1.377557,6168,0,0,0
1.379309,6294,0,0,0
1.381100,6264,0,0,0
1.382965,6225,0,0,0
1.384764,6273,0,0,0
1.386550,6309,0,0,0
1.388157,6258,0,0,0
1.389904,6255,0,0,0
1.391584,6264,0,0,0
1.393338,6243,0,0,0
1.395132,6294,0,0,0
1.396926,6234,0,0,0
1.398616,6261,0,0,0
1.400159,6099,0,0,0
1.401902,6126,0,0,0
1.403697,6258,0,0,0
1.405488,6228,0,0,0
1.407285,6204,0,0,0
1.409095,6321,0,0,0
1.410987,5694,0,0,0
1.412599,6321,0,0,0
1.414151,6291,0,0,0
1.415979,6270,0,0,0
1.417773,6330,0,0,0
1.419390,6324,0,0,0
1.421129,6222,0,0,0
1.422982,6264,0,0,0
1.424550,6222,0,0,0
1.426093,6258,0,0,0
1.427946,6219,0,0,0
1.429780,6267,0,0,0
1.431576,6321,0,0,0
1.433368,6216,0,0,0
1.435161,6276,0,0,0
1.436953,6282,0,0,0
1.438821,6285,0,0,0
1.440440,6285,0,0,0
1.442188,6282,0,0,0
1.443984,6231,0,0,0
1.445774,6282,0,0,0
1.447567,6237,0,0,0
1.449356,6210,0,0,0
1.451168,6255,0,0,0
1.452991,6279,0,0,0
1.454623,6297,0,0,0
1.456156,6306,0,0,0
1.457776,6255,0,0,0
1.459344,6306,0,0,0
1.460894,6267,0,0,0
1.462511,6249,0,0,0
1.464039,6318,0,0,0
1.465870,6309,0,0,0
1.467668,6456,0,0,0
1.469465,6297,0,0,0
1.471263,6009,0,0,0
