elapsed_s,TSE_FE_EMPTY_BBOX_KILLED_PRIM,TSE_FE_ST1_VP_PARAMS_CACHE_MISS,TSE_FE_ST2_VPORT_VP_PARAMS_CACHE_MISS,TSE_FE_ST2_SCISSOR_VP_PARAMS_CACHE_MISS
1.283635,0,0,0,0
1.285216,0,0,0,0
1.286821,0,0,0,0
1.288431,0,0,0,0
1.289961,0,0,0,0
1.291487,0,0,0,0
1.293130,0,0,0,0
1.294698,0,0,0,0
1.296329,0,0,0,0
1.297875,0,0,0,0
1.299409,0,0,0,0
1.300941,0,0,0,0
1.302477,0,0,0,0
1.304007,0,0,0,0
1.305819,0,0,0,0
1.307609,0,0,0,0
1.309418,0,0,0,0
1.311050,0,0,0,0
1.312880,0,0,0,0
1.314678,0,0,0,0
1.316466,0,0,0,0
1.318258,0,0,0,0
1.319870,0,0,0,0
1.321703,0,0,0,0
1.323494,0,0,0,0
1.325286,0,0,0,0
1.327077,0,0,0,0
1.328945,0,0,0,0
1.330699,0,0,0,0
1.332235,0,0,0,0
1.333968,0,0,0,0
1.335753,0,0,0,0
1.337720,0,0,0,0
1.339547,0,0,0,0
1.341399,0,0,0,0
1.343192,0,0,0,0
1.345063,0,0,0,0
1.346855,0,0,0,0
1.348641,0,0,0,0
1.350590,0,0,0,0
1.352262,0,0,0,0
1.353928,0,0,0,0
1.355554,0,0,0,0
1.357580,0,0,0,0
1.359391,0,0,0,0
1.361194,0,0,0,0
1.362968,0,0,0,0
1.364755,0,0,0,0
1.366549,0,0,0,0
1.368415,0,0,0,0
1.370203,0,0,0,0
1.371992,0,0,0,0
1.373651,0,0,0,0
1.375402,0,0,0,0
1.377237,0,0,0,0
1.380400,0,0,0,0
1.381958,0,0,0,0
1.383493,0,0,0,0
1.385117,0,0,0,0
1.386654,0,0,0,0
1.388186,0,0,0,0
1.389927,0,0,0,0
1.391713,0,0,0,0
1.393505,0,0,0,0
1.395116,0,0,0,0
1.396862,0,0,0,0
1.398658,0,0,0,0
1.400522,0,0,0,0
1.402246,0,0,0,0
1.403990,0,0,0,0
1.405839,0,0,0,0
1.407463,0,0,0,0
1.409028,0,0,0,0
1.410758,0,0,0,0
1.412531,0,0,0,0
1.414325,0,0,0,0
1.415889,0,0,0,0
1.417634,0,0,0,0
1.419179,0,0,0,0
1.420717,0,0,0,0
1.422259,0,0,0,0
1.423997,0,0,0,0
1.425873,0,0,0,0
1.427687,0,0,0,0
1.429483,0,0,0,0
1.431278,0,0,0,0
1.433074,0,0,0,0
1.434852,0,0,0,0
1.436627,0,0,0,0
1.438469,0,0,0,0
1.440298,0,0,0,0
1.442090,0,0,0,0
1.443885,0,0,0,0
1.445679,0,0,0,0
1.447470,0,0,0,0
1.449087,0,0,0,0
1.450837,0,0,0,0
1.452627,0,0,0,0
1.454358,0,0,0,0
1.456107,0,0,0,0
1.457910,0,0,0,0
1.459524,0,0,0,0
1.461280,0,0,0,0
1.463073,0,0,0,0
1.464943,0,0,0,0
1.466546,0,0,0,0
1.468294,0,0,0,0
1.469906,0,0,0,0
1.471643,0,0,0,0
1.473312,0,0,0,0
1.475001,0,0,0,0
1.476743,0,0,0,0
1.478644,0,0,0,0
1.480331,0,0,0,0
1.482088,0,0,0,0
1.483883,0,0,0,0
1.485680,0,0,0,0
1.487474,0,0,0,0
1.489271,0,0,0,0
1.491085,0,0,0,0
1.492874,0,0,0,0
1.494674,0,0,0,0
1.496541,0,0,0,0
1.498267,0,0,0,0
1.500017,0,0,0,0
1.501632,0,0,0,0
1.503387,0,0,0,0
