elapsed_s,TSE_BE_ST2_SCISSOR_VP_PARAMS_CACHE_MISS,TSE_BE_ILLEGAL_BOUNDING_BOX_PRIM,TSE_BE_VP_OUT_IS_NAN,TSE_BE_EXCLUDED_PRIM
0.451884,0,0,0,0
0.453559,0,0,0,0
0.455232,0,0,0,0
0.456910,0,0,0,0
0.458588,0,0,0,0
0.460266,0,0,0,0
0.461956,0,0,0,0
0.463756,0,0,0,0
0.465432,0,0,0,0
0.467132,0,0,0,0
0.468811,0,0,0,0
0.470490,0,0,0,0
0.472031,0,0,0,0
0.473738,0,0,0,0
0.475415,0,0,0,0
0.477091,0,0,0,0
0.478769,0,0,0,0
0.480446,0,0,0,0
0.482184,0,0,0,0
0.483732,0,0,0,0
0.485377,0,0,0,0
0.487054,0,0,0,0
0.488599,0,0,0,0
0.490299,0,0,0,0
0.492234,0,0,0,0
0.493844,0,0,0,0
0.495333,0,0,0,0
0.496823,0,0,0,0
0.498369,0,0,0,0
0.499885,0,0,0,0
0.501372,0,0,0,0
0.502858,0,0,0,0
0.504358,0,0,0,0
0.505901,0,0,0,0
0.507388,0,0,0,0
0.508880,0,0,0,0
0.510374,0,0,0,0
0.511810,0,0,0,0
0.513449,0,0,0,0
0.515159,0,0,0,0
0.516774,0,0,0,0
0.518428,0,0,0,0
0.519959,0,0,0,0
0.521667,0,0,0,0
0.523345,0,0,0,0
0.525022,0,0,0,0
0.526730,0,0,0,0
0.528553,0,0,0,0
0.530132,0,0,0,0
0.531653,0,0,0,0
0.533137,0,0,0,0
0.534620,0,0,0,0
0.536104,0,0,0,0
0.537652,0,0,0,0
0.539288,0,0,0,0
0.540966,0,0,0,0
0.542648,0,0,0,0
0.544325,0,0,0,0
0.546063,0,0,0,0
0.547741,0,0,0,0
0.549422,0,0,0,0
0.550951,0,0,0,0
0.552474,0,0,0,0
0.554042,0,0,0,0
0.555590,0,0,0,0
0.557080,0,0,0,0
0.558571,0,0,0,0
0.560071,0,0,0,0
0.561773,0,0,0,0
0.563452,0,0,0,0
0.565131,0,0,0,0
0.566812,0,0,0,0
0.568491,0,0,0,0
0.570230,0,0,0,0
0.571974,0,0,0,0
0.573543,0,0,0,0
0.575143,0,0,0,0
0.576741,0,0,0,0
0.578341,0,0,0,0
