elapsed_s,TSE_BE_STALL_CYCLES_LRZ_BARYPLANE,TSE_BE_STALL_CYCLES_LRZ_ZPLANE,TSE_BE_STARVE_CYCLES_PC,TSE_BE_INPUT_PRIM
0.580454,0,0,0,0
0.581795,0,0,0,0
0.583122,0,0,0,0
0.584575,0,0,0,0
0.586031,0,0,0,0
0.587505,0,0,0,0
0.588937,0,0,0,0
0.590272,0,0,0,0
0.591600,0,0,0,0
0.592941,0,0,0,0
0.594386,0,0,0,0
0.595747,0,0,0,0
0.597190,0,0,0,0
0.598531,0,0,0,0
0.599859,0,0,0,0
0.601191,0,0,0,0
0.602538,0,0,0,0
0.603923,0,0,0,0
0.605261,0,0,0,0
0.606619,0,0,0,0
0.607970,0,0,0,0
0.609325,0,0,0,0
0.610650,0,0,0,0
0.611984,0,0,0,0
0.613315,0,0,0,0
0.614644,0,0,0,0
0.615984,0,0,0,0
0.617319,0,0,0,0
0.618644,0,0,0,0
0.619969,0,0,0,0
0.621294,0,0,0,0
0.622618,0,0,0,0
0.623940,0,0,0,0
0.625267,0,0,0,0
0.626600,0,0,0,0
0.627972,0,0,0,0
0.629305,0,0,0,0
0.630763,0,0,0,0
0.632221,0,0,0,0
0.633558,0,0,0,0
0.634918,0,0,0,0
0.636310,0,0,0,0
0.637708,0,0,0,0
0.639161,0,0,0,0
0.640503,0,0,0,0
0.641846,0,0,0,0
0.643335,0,0,0,0
0.644774,0,0,0,0
0.646111,0,0,0,0
0.647445,0,0,0,0
0.648896,0,0,0,0
0.650238,0,0,0,0
0.651592,0,0,0,0
0.652939,0,0,0,0
0.654285,0,0,0,0
