elapsed_s,CP_PM4_DATA,CP_PM4_HEADERS,CP_VBIF_READ_BEATS,CP_VBIF_WRITE_BEATS,CP_SQE_INSTR_COUNTER,CP_CLUSTER_FE_US_FULL,CP_CLUSTER_FE_S_FULL,CP_CLUSTER_SP_VS_FULL,CP_CLUSTER_VPC_US_FULL,CP_CLUSTER_VPC_VS_FULL,CP_CLUSTER_GRAS_FULL,CP_CLUSTER_SP_PS_FULL,CP_CLUSTER_VPC_PS_FULL,CP_CLUSTER_PS_FULL
0.242716,0,0,36,1,249,0,0,0,0,0,0,0,0,0
0.244074,0,0,36,1,249,0,0,0,0,0,0,0,0,0
0.245450,0,0,36,1,245,0,0,0,0,0,0,0,0,0
0.246810,0,0,36,1,245,0,0,0,0,0,0,0,0,0
0.248169,0,0,36,1,261,0,0,0,0,0,0,0,0,0
0.249542,0,0,36,1,249,0,0,0,0,0,0,0,0,0
0.250906,0,0,36,1,249,0,0,0,0,0,0,0,0,0
0.252248,0,0,36,1,245,0,0,0,0,0,0,0,0,0
0.253588,0,0,36,1,319,0,0,0,0,0,0,0,0,0
0.254931,0,0,36,1,251,0,0,0,0,0,0,0,0,0
0.256281,0,0,36,1,245,0,0,0,0,0,0,0,0,0
0.257631,0,0,36,1,247,0,0,0,0,0,0,0,0,0
0.258971,0,0,36,1,249,0,0,0,0,0,0,0,0,0
0.260311,0,0,36,1,249,0,0,0,0,0,0,0,0,0
0.261714,0,0,36,1,249,0,0,0,0,0,0,0,0,0
0.263069,0,0,36,1,253,0,0,0,0,0,0,0,0,0
0.264459,0,0,36,1,249,0,0,0,0,0,0,0,0,0
0.265803,0,0,36,1,251,0,0,0,0,0,0,0,0,0
0.267109,0,0,36,1,263,0,0,0,0,0,0,0,0,0
0.268557,0,0,36,1,249,0,0,0,0,0,0,0,0,0
0.269957,0,0,36,1,251,0,0,0,0,0,0,0,0,0
0.271248,0,0,36,1,249,0,0,0,0,0,0,0,0,0
0.272695,0,0,36,1,249,0,0,0,0,0,0,0,0,0
0.274144,0,0,36,1,249,0,0,0,0,0,0,0,0,0
0.275495,0,0,36,1,251,0,0,0,0,0,0,0,0,0
0.276956,0,0,36,1,251,0,0,0,0,0,0,0,0,0
0.278379,0,0,36,1,251,0,0,0,0,0,0,0,0,0
0.279779,0,0,36,1,245,0,0,0,0,0,0,0,0,0
0.281120,0,0,36,1,247,0,0,0,0,0,0,0,0,0
0.282522,0,0,36,1,249,0,0,0,0,0,0,0,0,0
0.283816,0,0,36,1,251,0,0,0,0,0,0,0,0,0
0.285239,0,0,36,1,249,0,0,0,0,0,0,0,0,0
0.286626,0,0,36,1,251,0,0,0,0,0,0,0,0,0
0.288010,0,0,36,1,245,0,0,0,0,0,0,0,0,0
0.289598,27,33,340,24,2374,0,0,0,0,0,0,0,0,0
0.290993,0,0,36,1,249,0,0,0,0,0,0,0,0,0
0.292481,0,0,36,1,251,0,0,0,0,0,0,0,0,0
0.293869,0,0,36,1,263,0,0,0,0,0,0,0,0,0
0.295254,0,0,36,1,245,0,0,0,0,0,0,0,0,0
0.296706,0,0,36,1,249,0,0,0,0,0,0,0,0,0
0.298159,0,0,36,1,249,0,0,0,0,0,0,0,0,0
0.299653,134,148,552,24,69420,0,0,0,0,0,0,0,0,0
0.301099,0,0,36,1,253,0,0,0,0,0,0,0,0,0
0.302542,0,0,36,1,249,0,0,0,0,0,0,0,0,0
0.303983,0,0,36,1,253,0,0,0,0,0,0,0,0,0
0.306220,0,0,36,1,253,0,0,0,0,0,0,0,0,0
0.307714,0,0,36,1,249,0,0,0,0,0,0,0,0,0
0.309160,0,0,36,1,257,0,0,0,0,0,0,0,0,0
0.310606,0,0,36,1,253,0,0,0,0,0,0,0,0,0
0.312044,0,0,36,1,253,0,0,0,0,0,0,0,0,0
0.313560,0,0,36,1,249,0,0,0,0,0,0,0,0,0
0.315043,0,0,36,1,249,0,0,0,0,0,0,0,0,0
0.316480,0,0,36,1,249,0,0,0,0,0,0,0,0,0
0.317916,0,0,36,1,253,0,0,0,0,0,0,0,0,0
0.319351,0,0,36,1,253,0,0,0,0,0,0,0,0,0
0.321123,0,0,36,1,319,0,0,0,0,0,0,0,0,0
0.322636,0,0,36,1,253,0,0,0,0,0,0,0,0,0
0.324075,0,0,36,1,253,0,0,0,0,0,0,0,0,0
0.325520,0,0,36,1,249,0,0,0,0,0,0,0,0,0
0.327077,0,0,36,1,253,0,0,0,0,0,0,0,0,0
0.328522,0,0,36,1,253,0,0,0,0,0,0,0,0,0
0.329957,0,0,36,1,253,0,0,0,0,0,0,0,0,0
0.331526,0,0,36,1,253,0,0,0,0,0,0,0,0,0
0.333001,0,0,36,1,249,0,0,0,0,0,0,0,0,0
0.334475,0,0,36,1,249,0,0,0,0,0,0,0,0,0
0.336080,0,0,36,1,253,0,0,0,0,0,0,0,0,0
0.337698,0,0,36,1,253,0,0,0,0,0,0,0,0,0
0.339303,0,0,36,1,253,0,0,0,0,0,0,0,0,0
0.340805,0,0,36,1,253,0,0,0,0,0,0,0,0,0
0.342419,0,0,36,1,253,0,0,0,0,0,0,0,0,0
0.344022,0,0,36,1,253,0,0,0,0,0,0,0,0,0
0.345631,0,0,36,1,253,0,0,0,0,0,0,0,0,0
0.347280,0,0,36,1,253,0,0,0,0,0,0,0,0,0
0.348887,0,0,36,1,253,0,0,0,0,0,0,0,0,0
0.350493,0,0,36,1,253,0,0,0,0,0,0,0,0,0
0.352096,0,0,36,1,253,0,0,0,0,0,0,0,0,0
0.353720,0,0,36,1,253,0,0,0,0,0,0,0,0,0
0.355324,0,0,36,1,253,0,0,0,0,0,0,0,0,0
0.356932,0,0,36,1,253,0,0,0,0,0,0,0,0,0
0.358538,0,0,36,1,249,0,0,0,0,0,0,0,0,0
0.360142,0,0,36,1,253,0,0,0,0,0,0,0,0,0
0.361752,0,0,36,1,253,0,0,0,0,0,0,0,0,0
0.363401,0,0,36,1,253,0,0,0,0,0,0,0,0,0
0.365023,0,0,36,1,253,0,0,0,0,0,0,0,0,0
0.366629,0,0,36,1,253,0,0,0,0,0,0,0,0,0
0.368234,0,0,36,1,249,0,0,0,0,0,0,0,0,0
0.369741,0,0,36,1,253,0,0,0,0,0,0,0,0,0
0.371196,0,0,36,1,253,0,0,0,0,0,0,0,0,0
0.372643,0,0,36,1,249,0,0,0,0,0,0,0,0,0
