elapsed_s,CP_NEVER_COUNT,CP_ALWAYS_COUNT,CP_BUSY_GFX_CORE_IDLE,CP_BUSY_CYCLES,CP_NUM_PREEMPTIONS,CP_PREEMPTION_REACTION_DELAY,CP_PREEMPTION_SWITCH_OUT_TIME,CP_PREEMPTION_SWITCH_IN_TIME,CP_DEAD_DRAWS_IN_BIN_RENDER,CP_PREDICATED_DRAWS_KILLED,CP_MODE_SWITCH,CP_ZPASS_DONE,CP_CONTEXT_DONE,CP_CACHE_FLUSH
1.479854,0,91565,1564,1563,0,0,0,0,0,0,0,0,0,0
1.481506,0,91428,1559,1558,0,0,0,0,0,0,0,0,0,0
1.483157,0,91893,1625,1624,0,0,0,0,0,0,0,0,0,0
1.484807,0,91693,1623,1622,0,0,0,0,0,0,0,0,0,0
1.486456,0,90986,1628,1627,0,0,0,0,0,0,0,0,0,0
1.488160,0,91185,1600,1599,0,0,0,0,0,0,0,0,0,0
1.489821,0,91413,1603,1602,0,0,0,0,0,0,0,0,0,0
1.491471,0,91303,1628,1627,0,0,0,0,0,0,0,0,0,0
1.493120,0,91253,1621,1620,0,0,0,0,0,0,0,0,0,0
1.494767,0,91566,1618,1617,0,0,0,0,0,0,0,0,0,0
1.496473,0,91557,1557,1556,0,0,0,0,0,0,0,0,0,0
1.498122,0,91358,1600,1599,0,0,0,0,0,0,0,0,0,0
1.499923,0,93038,1628,1627,0,0,0,0,0,0,0,0,0,0
1.501670,0,91820,1615,1614,0,0,0,0,0,0,0,0,0,0
1.503328,0,101740,1622,1621,0,0,0,0,0,0,0,0,0,0
1.505079,0,91457,1437,1436,0,0,0,0,0,0,0,0,0,0
1.506725,0,91663,1505,1504,0,0,0,0,0,0,0,0,0,0
1.508536,0,117008,1618,1617,0,0,0,0,0,0,0,0,0,0
1.510181,0,91310,1627,1626,0,0,0,0,0,0,0,0,0,0
1.511838,0,90750,1629,1628,0,0,0,0,0,0,0,0,0,0
1.513483,0,90665,1502,1501,0,0,0,0,0,0,0,0,0,0
1.515214,0,95421,1543,1542,0,0,0,0,0,0,0,0,0,0
1.516900,0,94116,1610,1609,0,0,0,0,0,0,0,0,0,0
1.518550,0,91481,1551,1550,0,0,0,0,0,0,0,0,0,0
1.520310,0,99301,1608,1607,0,0,0,0,0,0,0,0,0,0
1.521970,0,91570,1649,1648,0,0,0,0,0,0,0,0,0,0
1.523621,0,91286,1532,1531,0,0,0,0,0,0,0,0,0,0
1.525269,0,91270,1574,1573,0,0,0,0,0,0,0,0,0,0
1.527112,0,116136,1625,1624,0,0,0,0,0,0,0,0,0,0
1.528918,0,91803,1633,1632,0,0,0,0,0,0,0,0,0,0
1.530569,0,91598,1622,1621,0,0,0,0,0,0,0,0,0,0
1.532278,0,98761,1615,1614,0,0,0,0,0,0,0,0,0,0
1.533928,0,91393,1617,1616,0,0,0,0,0,0,0,0,0,0
1.535635,0,91419,1645,1644,0,0,0,0,0,0,0,0,0,0
1.537287,0,91537,1624,1623,0,0,0,0,0,0,0,0,0,0
1.538937,0,91930,1621,1620,0,0,0,0,0,0,0,0,0,0
1.540589,0,91374,1560,1559,0,0,0,0,0,0,0,0,0,0
1.542388,0,93493,1629,1628,0,0,0,0,0,0,0,0,0,0
1.544158,0,92002,1607,1606,0,0,0,0,0,0,0,0,0,0
1.545819,0,91454,1558,1557,0,0,0,0,0,0,0,0,0,0
1.547474,0,91493,1556,1555,0,0,0,0,0,0,0,0,0,0
1.549127,0,91467,1618,1617,0,0,0,0,0,0,0,0,0,0
1.550777,0,91992,1626,1625,0,0,0,0,0,0,0,0,0,0
1.552430,0,91492,1617,1616,0,0,0,0,0,0,0,0,0,0
1.554092,0,91556,1629,1628,0,0,0,0,0,0,0,0,0,0
1.555745,0,91510,1615,1614,0,0,0,0,0,0,0,0,0,0
1.557396,0,91064,1626,1625,0,0,0,0,0,0,0,0,0,0
1.559124,0,116939,1585,1584,0,0,0,0,0,0,0,0,0,0
1.561005,0,102508,1553,1552,0,0,0,0,0,0,0,0,0,0
1.562654,0,91428,1555,1554,0,0,0,0,0,0,0,0,0,0
1.564385,0,100085,1616,1615,0,0,0,0,0,0,0,0,0,0
1.566032,0,91442,1611,1610,0,0,0,0,0,0,0,0,0,0
1.567732,0,89021,1308,1307,0,0,0,0,0,0,0,0,0,0
1.569250,0,75548,1371,1370,0,0,0,0,0,0,0,0,0,0
1.570774,0,78398,1625,1624,0,0,0,0,0,0,0,0,0,0
1.572424,0,90238,1622,1621,0,0,0,0,0,0,0,0,0,0
1.574214,0,93471,1566,1565,0,0,0,0,0,0,0,0,0,0
1.575983,0,91796,1517,1516,0,0,0,0,0,0,0,0,0,0
1.577639,0,91786,1515,1514,0,0,0,0,0,0,0,0,0,0
1.579292,0,91631,1601,1600,0,0,0,0,0,0,0,0,0,0
1.580941,0,91369,1620,1619,0,0,0,0,0,0,0,0,0,0
1.582591,0,91526,1627,1626,0,0,0,0,0,0,0,0,0,0
1.584424,0,109660,1615,1614,0,0,0,0,0,0,0,0,0,0
1.586085,0,91663,1625,1624,0,0,0,0,0,0,0,0,0,0
1.587737,0,91353,1605,1604,0,0,0,0,0,0,0,0,0,0
1.589386,0,91380,1620,1619,0,0,0,0,0,0,0,0,0,0
1.591035,0,93505,1620,1619,0,0,0,0,0,0,0,0,0,0
1.592698,0,91442,1620,1619,0,0,0,0,0,0,0,0,0,0
1.594347,0,91814,1587,1586,0,0,0,0,0,0,0,0,0,0
1.596029,0,96381,1622,1621,0,0,0,0,0,0,0,0,0,0
