elapsed_s,RAS_FULLY_COVERED_SUPER_TILES,RAS_FULLY_COVERED_8X4_TILES,RAS_PRIM_KILLED_INVISILBE,RAS_SUPERTILE_GEN_ACTIVE_CYCLES
1.124080,0,0,0,0
1.125630,0,0,0,0
1.127177,0,0,0,0
1.128723,0,0,0,0
1.130230,0,0,0,0
1.131780,0,0,0,0
1.133344,0,0,0,0
1.134771,0,0,0,0
1.136297,0,0,0,0
1.137850,0,0,0,0
1.141103,0,0,0,0
1.146023,0,0,0,0
1.147488,0,0,0,0
1.148899,0,0,0,0
1.150285,0,0,0,0
1.151666,0,0,0,0
1.153046,0,0,0,0
1.154427,0,0,0,0
1.155844,0,0,0,0
1.157237,0,0,0,0
1.158623,0,0,0,0
1.160006,0,0,0,0
1.161392,0,0,0,0
1.162775,0,0,0,0
1.164157,0,0,0,0
1.165543,0,0,0,0
1.166927,0,0,0,0
1.168328,0,0,0,0
1.169714,0,0,0,0
1.171099,0,0,0,0
1.172518,0,0,0,0
1.173956,0,0,0,0
1.175338,0,0,0,0
1.176721,0,0,0,0
1.178108,0,0,0,0
1.179502,0,0,0,0
1.181019,0,0,0,0
1.182568,0,0,0,0
1.184116,0,0,0,0
1.185666,0,0,0,0
1.187217,0,0,0,0
1.188767,0,0,0,0
1.190296,0,0,0,0
1.191688,0,0,0,0
1.193206,0,0,0,0
1.194756,0,0,0,0
1.196305,0,0,0,0
1.197856,0,0,0,0
1.199407,0,0,0,0
1.200971,0,0,0,0
1.202521,0,0,0,0
1.204112,0,0,0,0
1.205663,0,0,0,0
1.207214,0,0,0,0
1.208762,0,0,0,0
1.210358,0,0,0,0
1.211918,0,0,0,0
1.213469,0,0,0,0
1.215016,0,0,0,0
1.216441,0,0,0,0
1.217854,0,0,0,0
1.219393,0,0,0,0
1.221001,0,0,0,0
1.222558,0,0,0,0
1.224098,0,0,0,0
1.225518,0,0,0,0
1.227040,0,0,0,0
1.228590,0,0,0,0
1.230144,0,0,0,0
1.231694,0,0,0,0
1.233259,0,0,0,0
1.234811,0,0,0,0
1.236404,0,0,0,0
1.237955,0,0,0,0
1.239508,0,0,0,0
1.241060,0,0,0,0
1.242611,0,0,0,0
1.244173,0,0,0,0
1.245726,0,0,0,0
1.247278,0,0,0,0
1.248831,0,0,0,0
1.250383,0,0,0,0
1.251975,0,0,0,0
1.253527,0,0,0,0
1.255092,0,0,0,0
1.256641,0,0,0,0
1.258192,0,0,0,0
1.259732,0,0,0,0
1.261193,0,0,0,0
1.262717,0,0,0,0
1.264266,0,0,0,0
1.265829,0,0,0,0
1.267373,0,0,0,0
1.269035,0,0,0,0
1.270586,0,0,0,0
1.272133,0,0,0,0
1.273683,0,0,0,0
1.275232,0,0,0,0
1.276861,0,0,0,0
1.278477,0,0,0,0
1.280025,0,0,0,0
1.281576,0,0,0,0
1.283125,0,0,0,0
1.284673,0,0,0,0
1.286228,0,0,0,0
1.287788,0,0,0,0
1.289339,0,0,0,0
1.290889,0,0,0,0
1.292436,0,0,0,0
1.293857,0,0,0,0
1.295376,0,0,0,0
1.296927,0,0,0,0
1.298488,0,0,0,0
1.300078,0,0,0,0
1.301630,0,0,0,0
1.303180,0,0,0,0
1.304726,0,0,0,0
1.306280,0,0,0,0
1.307829,0,0,0,0
1.309393,0,0,0,0
1.310943,0,0,0,0
1.312491,0,0,0,0
1.314006,0,0,0,0
1.315526,0,0,0,0
1.317120,0,0,0,0
1.318671,0,0,0,0
1.320233,0,0,0,0
1.321782,0,0,0,0
