elapsed_s,CP_SQE_SYNC_STALL,CP_SQE_PM4_WFI_STALL,CP_SQE_SYS_WFI_STALL,CP_WAIT_ON_OTHER_PIPE,CP_OUTPUT_BLOCKED,CP_SQE_T4_EXEC,CP_SQE_LOAD_STATE_EXEC,CP_SQE_SAVE_SDS_STATE,CP_SQE_DRAW_EXEC,CP_SQE_CTXT_REG_BUNCH_EXEC,CP_SQE_EXEC_PROFILED,CP_MEMORY_POOL_EMPTY,CP_MEMORY_POOL_SYNC_STALL,CP_MEMORY_POOL_ABOVE_THRESH
1.231743,0,0,0,0,0,0,0,0,0,0,386621,386410,0,0
1.233354,0,0,0,0,0,0,0,0,0,0,382290,382134,0,0
1.234961,0,0,0,0,0,0,0,0,0,0,383329,383129,0,0
1.236607,0,0,0,0,0,0,0,0,0,0,383928,383776,0,0
1.238217,0,0,0,0,0,0,0,0,0,0,381557,381353,0,0
1.239903,0,0,0,0,0,0,0,0,0,0,438238,438074,0,0
1.241576,0,0,0,0,0,0,0,0,0,0,383353,383181,0,0
1.243183,0,0,0,0,0,0,0,0,0,0,382216,382050,0,0
1.244792,0,0,0,0,0,0,0,0,0,0,368339,368128,0,0
1.246401,0,0,0,0,0,0,0,0,0,0,383077,382934,0,0
1.248012,0,0,0,0,0,0,0,0,0,0,383171,382979,0,0
1.249621,0,0,0,0,0,0,0,0,0,0,382841,382675,0,0
1.251241,0,0,0,0,0,0,0,0,0,0,382735,382546,0,0
1.252850,0,0,0,0,0,0,0,0,0,0,383573,383369,0,0
1.254459,0,0,0,0,0,0,0,0,0,0,382543,382364,0,0
1.256069,0,0,0,0,0,0,0,0,0,0,383885,383733,0,0
1.257680,0,0,0,0,0,0,0,0,0,0,382954,382764,0,0
1.259286,0,0,0,0,0,0,0,0,0,0,382809,382617,0,0
1.260897,0,0,0,0,0,0,0,0,0,0,384015,383858,0,0
1.262519,0,0,0,0,0,0,0,0,0,0,383030,382865,0,0
1.264129,0,0,0,0,0,0,0,0,0,0,382799,382607,0,0
1.265738,0,0,0,0,0,0,0,0,0,0,382903,382726,0,0
1.267344,0,0,0,0,0,0,0,0,0,0,383751,383571,0,0
1.268981,0,0,0,0,0,0,0,0,0,0,401740,401554,0,0
1.270490,0,0,0,0,0,0,0,0,0,0,376840,376686,0,0
1.272073,0,0,0,0,0,0,0,0,0,0,382875,382681,0,0
1.273567,0,0,0,0,0,0,0,0,0,0,375893,375923,0,0
1.275149,0,0,0,0,0,0,0,0,0,0,386916,386644,0,0
1.276764,0,0,0,0,0,0,0,0,0,0,385941,385725,0,0
1.278377,0,0,0,0,0,0,0,0,0,0,386024,385830,0,0
1.279993,0,0,0,0,0,0,0,0,0,0,386598,386404,0,0
1.281608,0,0,0,0,0,0,0,0,0,0,386101,385908,0,0
1.283220,0,0,0,0,0,0,0,0,0,0,385103,384908,0,0
1.284847,0,0,0,0,0,0,0,0,0,0,383411,383217,0,0
1.286460,0,0,0,0,0,0,0,0,0,0,385250,385056,0,0
1.288075,0,0,0,0,0,0,0,0,0,0,386051,385877,0,0
1.289689,0,0,0,0,0,0,0,0,0,0,384791,384578,0,0
1.291299,0,0,0,0,0,0,0,0,0,0,384828,384636,0,0
1.292915,0,0,0,0,0,0,0,0,0,0,384572,384398,0,0
1.294528,0,0,0,0,0,0,0,0,0,0,384680,384465,0,0
1.296156,0,0,0,0,0,0,0,0,0,0,381769,381576,0,0
1.297767,0,0,0,0,0,0,0,0,0,0,384070,383877,0,0
1.299254,0,0,0,0,0,0,0,0,0,0,378574,378388,0,0
1.300837,0,0,0,0,0,0,0,0,0,0,384661,384459,0,0
1.302450,0,0,0,0,0,0,0,0,0,0,384120,383925,0,0
1.303942,0,0,0,0,0,0,0,0,0,0,378294,378078,0,0
1.305529,0,0,0,0,0,0,0,0,0,0,384745,384572,0,0
1.307153,0,0,0,0,0,0,0,0,0,0,384058,383865,0,0
1.308768,0,0,0,0,0,0,0,0,0,0,385802,385607,0,0
1.310382,0,0,0,0,0,0,0,0,0,0,384760,384566,0,0
1.311999,0,0,0,0,0,0,0,0,0,0,385608,385414,0,0
1.313613,0,0,0,0,0,0,0,0,0,0,384805,384610,0,0
1.315225,0,0,0,0,0,0,0,0,0,0,384541,384349,0,0
1.316840,0,0,0,0,0,0,0,0,0,0,384176,383981,0,0
1.318466,0,0,0,0,0,0,0,0,0,0,384571,384390,0,0
1.320082,0,0,0,0,0,0,0,0,0,0,385314,385128,0,0
1.321697,0,0,0,0,0,0,0,0,0,0,383716,383500,0,0
1.323309,0,0,0,0,0,0,0,0,0,0,383902,383710,0,0
1.324924,0,0,0,0,0,0,0,0,0,0,384778,384596,0,0
1.326538,0,0,0,0,0,0,0,0,0,0,385098,384891,0,0
1.328154,0,0,0,0,0,0,0,0,0,0,385773,385578,0,0
1.329652,0,0,0,0,0,0,0,0,0,0,375809,375645,0,0
1.331235,0,0,0,0,0,0,0,0,0,0,385724,385492,0,0
