elapsed_s,CP_LONG_PREEMPTIONS,CP_SQE_I_CACHE_STARVE,CP_SQE_IDLE,CP_SQE_PM4_STARVE_RB,CP_SQE_PM4_STARVE_IB1,CP_SQE_PM4_STARVE_IB2,CP_SQE_PM4_STARVE_IB3,CP_SQE_PM4_STARVE_FSDT,CP_SQE_PM4_STARVE_SDS,CP_SQE_MRB_STARVE,CP_SQE_RRB_STARVE,CP_SQE_VSD_STARVE,CP_VSD_DECODE_STARVE,CP_SQE_PIPE_OUT_STALL
0.531121,0,1546,425775,122,0,0,0,0,0,0,83,0,0,0
0.532556,0,1590,424379,124,0,0,0,0,0,0,82,0,0,0
0.533992,0,1595,423631,123,0,0,0,0,0,0,80,0,0,0
0.535425,0,1591,423328,123,0,0,0,0,0,0,82,0,0,0
0.536902,0,1620,621002,123,0,0,0,0,0,0,81,0,0,0
0.538590,0,1576,517026,124,0,0,0,0,0,0,80,0,0,0
0.540165,0,1648,445688,123,0,0,0,0,0,0,81,0,0,0
0.541659,0,28394,519325,130,23,1293,251,0,0,459,1614,0,53,0
0.543396,0,1749,450422,122,0,0,0,0,0,0,84,0,0,0
0.544874,0,1589,504333,123,0,0,0,0,0,0,81,0,0,0
0.546398,0,1589,427902,122,0,0,0,0,0,0,84,0,0,0
0.547838,0,1593,429026,123,0,0,0,0,0,0,83,0,0,0
0.549321,0,1586,429315,122,0,0,0,0,0,0,81,0,0,0
0.550762,0,1639,428685,122,0,0,0,0,0,0,83,0,0,0
0.552208,0,1592,428439,122,0,0,0,0,0,0,82,0,0,0
0.553647,0,1589,493619,123,0,0,0,0,0,0,83,0,0,0
0.555701,0,1595,555464,124,0,0,0,0,0,0,83,0,0,0
0.557307,0,1594,431813,122,0,0,0,0,0,0,82,0,0,0
0.558774,0,28374,549205,124,23,1040,221,0,0,477,1617,0,53,0
0.560217,0,1586,424491,123,0,0,0,0,0,0,81,0,0,0
0.561653,0,1591,425660,123,0,0,0,0,0,0,83,0,0,0
0.563098,0,1592,425332,123,0,0,0,0,0,0,83,0,0,0
0.564531,0,1592,423023,123,0,0,0,0,0,0,80,0,0,0
0.565969,0,1596,426073,123,0,0,0,0,0,0,80,0,0,0
0.567409,0,1642,425497,123,0,0,0,0,0,0,82,0,0,0
0.568978,0,1600,440421,192,0,0,0,0,0,0,80,0,0,0
0.570703,0,1591,596513,123,0,0,0,0,0,0,83,0,0,0
0.572513,0,30813,839567,273,22,806,223,0,0,420,1924,0,53,0
0.573846,0,1537,505221,1,0,0,0,0,0,0,84,0,0,0
0.575907,0,1594,409448,139,0,0,0,0,0,0,85,0,0,0
0.577522,0,1700,509822,123,0,0,0,0,0,0,82,0,0,0
0.579229,0,1594,439925,123,0,0,0,0,0,0,81,0,0,0
0.580708,0,1592,453392,124,0,0,0,0,0,0,84,0,0,0
0.582347,0,1589,2910804,124,0,0,0,0,0,0,83,0,0,0
0.587063,0,1607,430670,124,0,0,0,0,0,0,84,0,0,0
0.588556,0,1563,598491,123,0,0,0,0,0,0,83,0,0,0
0.590366,0,29158,887907,250,23,1041,250,0,0,473,1696,0,51,0
0.591825,0,1595,434176,123,0,0,0,0,0,0,80,0,0,0
0.593265,0,1604,423300,124,0,0,0,0,0,0,81,0,0,0
0.594702,0,1740,422556,123,0,0,0,0,0,0,84,0,0,0
0.596136,0,1727,423743,123,0,0,0,0,0,0,85,0,0,0
0.597588,0,1586,427970,123,0,0,0,0,0,0,81,0,0,0
0.599025,0,1590,424096,123,0,0,0,0,0,0,83,0,0,0
0.600459,0,1591,423032,124,0,0,0,0,0,0,82,0,0,0
0.601893,0,1550,424042,123,0,0,0,0,0,0,81,0,0,0
0.603328,0,1587,524593,123,0,0,0,0,0,0,82,0,0,0
0.604895,0,1623,443901,123,0,0,0,0,0,0,81,0,0,0
0.606493,0,28191,681658,124,22,872,251,0,0,500,1616,0,53,0
0.607923,0,1514,426806,122,0,0,0,0,0,0,83,0,0,0
0.609318,0,1545,440114,123,0,0,0,0,0,0,83,0,0,0
0.610746,0,1643,446102,123,0,0,0,0,0,0,84,0,0,0
0.612138,0,1592,427356,123,0,0,0,0,0,0,81,0,0,0
0.613540,0,1716,429543,123,0,0,0,0,0,0,83,0,0,0
0.614986,0,1551,425490,123,0,0,0,0,0,0,81,0,0,0
0.616422,0,1590,423490,123,0,0,0,0,0,0,81,0,0,0
0.617859,0,1551,428079,123,0,0,0,0,0,0,83,0,0,0
