elapsed_s,RB_NEVER_COUNT,RB_BUSY_CYCLES,RB_STALL_CYCLES_HLSQ,RB_STALL_CYCLES_FIFO0_FULL,RB_STALL_CYCLES_FIFO1_FULL,RB_STALL_CYCLES_FIFO2_FULL,RB_STARVE_CYCLES_SP,RB_STARVE_CYCLES_LRZ_TILE
0.364788,0,0,0,0,0,0,0,0
0.366498,0,0,0,0,0,0,0,0
0.367906,0,0,0,0,0,0,0,0
0.369310,0,0,0,0,0,0,0,0
0.370716,0,0,0,0,0,0,0,0
0.375088,0,0,0,0,0,0,0,0
0.377709,0,0,0,0,0,0,0,0
0.379212,0,0,0,0,0,0,0,0
0.380644,0,0,0,0,0,0,0,0
0.382087,0,0,0,0,0,0,0,0
0.383492,0,0,0,0,0,0,0,0
0.384853,0,0,0,0,0,0,0,0
0.386210,0,0,0,0,0,0,0,0
0.387631,0,0,0,0,0,0,0,0
0.389187,0,0,0,0,0,0,0,0
0.390633,0,0,0,0,0,0,0,0
0.392039,0,0,0,0,0,0,0,0
0.393441,0,0,0,0,0,0,0,0
0.394877,0,0,0,0,0,0,0,0
0.396373,0,0,0,0,0,0,0,0
0.397774,0,0,0,0,0,0,0,0
0.399158,0,0,0,0,0,0,0,0
0.400565,0,0,0,0,0,0,0,0
0.401972,0,0,0,0,0,0,0,0
0.403415,0,0,0,0,0,0,0,0
0.404823,0,0,0,0,0,0,0,0
0.406229,0,0,0,0,0,0,0,0
0.407637,0,0,0,0,0,0,0,0
0.409170,0,0,0,0,0,0,0,0
0.410627,0,0,0,0,0,0,0,0
0.412520,0,0,0,0,0,0,0,0
0.413934,0,0,0,0,0,0,0,0
0.415345,0,0,0,0,0,0,0,0
0.416753,0,0,0,0,0,0,0,0
0.418159,0,0,0,0,0,0,0,0
0.419603,0,0,0,0,0,0,0,0
0.421021,0,0,0,0,0,0,0,0
0.422556,0,0,0,0,0,0,0,0
0.424126,0,0,0,0,0,0,0,0
0.425695,0,0,0,0,0,0,0,0
0.427308,0,0,0,0,0,0,0,0
0.428878,0,0,0,0,0,0,0,0
0.430445,0,0,0,0,0,0,0,0
0.431900,0,0,0,0,0,0,0,0
0.433441,0,0,0,0,0,0,0,0
0.435129,0,0,0,0,0,0,0,0
0.436698,0,0,0,0,0,0,0,0
0.438266,0,0,0,0,0,0,0,0
0.439837,0,0,0,0,0,0,0,0
0.441407,0,0,0,0,0,0,0,0
0.443034,0,0,0,0,0,0,0,0
0.444604,0,0,0,0,0,0,0,0
0.446171,0,0,0,0,0,0,0,0
0.447742,0,0,0,0,0,0,0,0
0.449311,0,0,0,0,0,0,0,0
0.450921,0,0,0,0,0,0,0,0
0.452494,0,0,0,0,0,0,0,0
0.454815,0,0,0,0,0,0,0,0
0.456240,0,0,0,0,0,0,0,0
0.457649,0,0,0,0,0,0,0,0
0.459099,0,0,0,0,0,0,0,0
0.460506,0,0,0,0,0,0,0,0
0.461911,0,0,0,0,0,0,0,0
0.463437,0,0,0,0,0,0,0,0
0.465019,0,0,0,0,0,0,0,0
0.466586,0,0,0,0,0,0,0,0
0.468072,0,0,0,0,0,0,0,0
0.469612,0,0,0,0,0,0,0,0
0.471183,0,0,0,0,0,0,0,0
0.472752,0,0,0,0,0,0,0,0
0.474320,0,0,0,0,0,0,0,0
