elapsed_s,RB_2D_ALIVE_CYCLES,RB_2D_STARVE_CYCLES_SP,RB_2D_VALID_PIXELS,RB_3D_PIXELS,RB_BLENDER_WORKING_CYCLES,RB_ZPROC_WORKING_CYCLES,RB_CPROC_WORKING_CYCLES,RB_SAMPLER_WORKING_CYCLES
0.890798,0,0,0,0,0,0,0,0
0.892371,0,0,0,0,0,0,0,0
0.893942,0,0,0,0,0,0,0,0
0.895531,0,0,0,0,0,0,0,0
0.897102,0,0,0,0,0,0,0,0
0.898720,0,0,0,0,0,0,0,0
0.900292,0,0,0,0,0,0,0,0
0.901863,0,0,0,0,0,0,0,0
0.903406,0,0,0,0,0,0,0,0
0.904947,0,0,0,0,0,0,0,0
0.906532,0,0,0,0,0,0,0,0
0.908104,0,0,0,0,0,0,0,0
0.909675,0,0,0,0,0,0,0,0
0.911247,0,0,0,0,0,0,0,0
0.912820,0,0,0,0,0,0,0,0
0.914393,0,0,0,0,0,0,0,0
0.916009,0,0,0,0,0,0,0,0
0.917594,0,0,0,0,0,0,0,0
0.919167,0,0,0,0,0,0,0,0
0.920738,0,0,0,0,0,0,0,0
0.922310,0,0,0,0,0,0,0,0
0.923926,0,0,0,0,0,0,0,0
0.925496,0,0,0,0,0,0,0,0
0.927067,0,0,0,0,0,0,0,0
0.928651,0,0,0,0,0,0,0,0
0.930225,0,0,0,0,0,0,0,0
0.931797,0,0,0,0,0,0,0,0
0.933367,0,0,0,0,0,0,0,0
0.934940,0,0,0,0,0,0,0,0
0.936520,0,0,0,0,0,0,0,0
0.937989,0,0,0,0,0,0,0,0
0.939501,0,0,0,0,0,0,0,0
0.940889,0,0,0,0,0,0,0,0
0.942306,0,0,0,0,0,0,0,0
0.943844,0,0,0,0,0,0,0,0
0.945415,0,0,0,0,0,0,0,0
0.947033,0,0,0,0,0,0,0,0
0.948606,0,0,0,0,0,0,0,0
0.950194,0,0,0,0,0,0,0,0
0.951767,0,0,0,0,0,0,0,0
0.953338,0,0,0,0,0,0,0,0
0.954956,0,0,0,0,0,0,0,0
0.956529,0,0,0,0,0,0,0,0
0.958101,0,0,0,0,0,0,0,0
0.959679,0,0,0,0,0,0,0,0
0.961264,0,0,0,0,0,0,0,0
0.962881,0,0,0,0,0,0,0,0
0.964454,0,0,0,0,0,0,0,0
0.966024,0,0,0,0,0,0,0,0
0.967595,0,0,0,0,0,0,0,0
0.969157,0,0,0,0,0,0,0,0
0.970623,0,0,0,0,0,0,0,0
0.972175,0,0,0,0,0,0,0,0
0.973745,0,0,0,0,0,0,0,0
0.975316,0,0,0,0,0,0,0,0
0.976888,0,0,0,0,0,0,0,0
