elapsed_s,VPC_NEVER_COUNT,VPC_FE_BUSY_CYCLES,VPC_FE_WORKING_CYCLES,VPC_FE_STALL_CYCLES_VFD_WACK,VPC_FE_STARVE_CYCLES_SP,VPC_FE_PC_PRIMITIVES
0.828849,0,0,0,0,0,0
0.830243,0,0,0,0,0,0
0.831634,0,0,0,0,0,0
0.833025,0,0,0,0,0,0
0.834416,0,0,0,0,0,0
0.835817,0,0,0,0,0,0
0.837210,0,0,0,0,0,0
0.838734,0,0,0,0,0,0
0.840290,0,0,0,0,0,0
0.841853,0,0,0,0,0,0
0.843410,0,0,0,0,0,0
0.845011,0,0,0,0,0,0
0.846584,0,0,0,0,0,0
0.848141,0,0,0,0,0,0
0.849748,0,0,0,0,0,0
0.851324,0,0,0,0,0,0
0.852758,0,0,0,0,0,0
0.854292,0,0,0,0,0,0
0.855848,0,0,0,0,0,0
0.857299,0,0,0,0,0,0
0.858834,0,0,0,0,0,0
0.860433,0,0,0,0,0,0
0.862002,0,0,0,0,0,0
0.863567,0,0,0,0,0,0
0.865130,0,0,0,0,0,0
0.866691,0,0,0,0,0,0
0.868263,0,0,0,0,0,0
0.869827,0,0,0,0,0,0
0.871384,0,0,0,0,0,0
0.872946,0,0,0,0,0,0
0.874507,0,0,0,0,0,0
0.876065,0,0,0,0,0,0
0.877681,0,0,0,0,0,0
0.879222,0,0,0,0,0,0
0.880784,0,0,0,0,0,0
0.882344,0,0,0,0,0,0
0.883901,0,0,0,0,0,0
0.885460,0,0,0,0,0,0
0.887021,0,0,0,0,0,0
0.888582,0,0,0,0,0,0
0.890155,0,0,0,0,0,0
0.891713,0,0,0,0,0,0
0.893275,0,0,0,0,0,0
0.894836,0,0,0,0,0,0
0.896394,0,0,0,0,0,0
0.897961,0,0,0,0,0,0
0.899518,0,0,0,0,0,0
0.901095,0,0,0,0,0,0
0.902656,0,0,0,0,0,0
0.904214,0,0,0,0,0,0
0.905778,0,0,0,0,0,0
0.907336,0,0,0,0,0,0
0.908940,0,0,0,0,0,0
0.910500,0,0,0,0,0,0
0.912073,0,0,0,0,0,0
0.913632,0,0,0,0,0,0
0.915192,0,0,0,0,0,0
0.916840,0,0,0,0,0,0
0.918245,0,0,0,0,0,0
0.919771,0,0,0,0,0,0
0.921332,0,0,0,0,0,0
0.922906,0,0,0,0,0,0
0.924509,0,0,0,0,0,0
0.926068,0,0,0,0,0,0
0.927626,0,0,0,0,0,0
0.929188,0,0,0,0,0,0
0.930748,0,0,0,0,0,0
0.932307,0,0,0,0,0,0
0.933884,0,0,0,0,0,0
0.935442,0,0,0,0,0,0
0.937002,0,0,0,0,0,0
0.938555,0,0,0,0,0,0
0.940103,0,0,0,0,0,0
0.941806,0,0,0,0,0,0
0.943222,0,0,0,0,0,0
0.944633,0,0,0,0,0,0
0.946030,0,0,0,0,0,0
0.947427,0,0,0,0,0,0
0.948825,0,0,0,0,0,0
0.950222,0,0,0,0,0,0
0.951746,0,0,0,0,0,0
0.953307,0,0,0,0,0,0
0.954878,0,0,0,0,0,0
0.956545,0,0,0,0,0,0
0.958060,0,0,0,0,0,0
0.959618,0,0,0,0,0,0
0.961180,0,0,0,0,0,0
0.962740,0,0,0,0,0,0
0.964297,0,0,0,0,0,0
0.965875,0,0,0,0,0,0
0.967433,0,0,0,0,0,0
0.968998,0,0,0,0,0,0
0.970558,0,0,0,0,0,0
0.972116,0,0,0,0,0,0
0.973778,0,0,0,0,0,0
0.975335,0,0,0,0,0,0
0.976908,0,0,0,0,0,0
0.978469,0,0,0,0,0,0
0.980027,0,0,0,0,0,0
0.981586,0,0,0,0,0,0
0.983024,0,0,0,0,0,0
0.984559,0,0,0,0,0,0
0.986117,0,0,0,0,0,0
0.987688,0,0,0,0,0,0
0.989251,0,0,0,0,0,0
0.990812,0,0,0,0,0,0
0.992371,0,0,0,0,0,0
0.993936,0,0,0,0,0,0
0.995493,0,0,0,0,0,0
0.997054,0,0,0,0,0,0
0.998627,0,0,0,0,0,0
1.000186,0,0,0,0,0,0
1.001842,0,0,0,0,0,0
1.003402,0,0,0,0,0,0
1.005007,0,0,0,0,0,0
1.006567,0,0,0,0,0,0
1.008126,0,0,0,0,0,0
1.009746,0,0,0,0,0,0
1.011297,0,0,0,0,0,0
1.012726,0,0,0,0,0,0
1.014295,0,0,0,0,0,0
1.015853,0,0,0,0,0,0
1.017410,0,0,0,0,0,0
1.018968,0,0,0,0,0,0
1.020584,0,0,0,0,0,0
1.022144,0,0,0,0,0,0
1.023700,0,0,0,0,0,0
1.025259,0,0,0,0,0,0
1.026816,0,0,0,0,0,0
1.028262,0,0,0,0,0,0
1.029752,0,0,0,0,0,0
1.031273,0,0,0,0,0,0
1.032673,0,0,0,0,0,0
1.034077,0,0,0,0,0,0
1.035473,0,0,0,0,0,0
1.036911,0,0,0,0,0,0
1.038330,0,0,0,0,0,0
1.039726,0,0,0,0,0,0
1.041254,0,0,0,0,0,0
1.042784,0,0,0,0,0,0
1.044334,0,0,0,0,0,0
1.045756,0,0,0,0,0,0
1.047285,0,0,0,0,0,0
1.048847,0,0,0,0,0,0
1.050406,0,0,0,0,0,0
1.051965,0,0,0,0,0,0
1.053474,0,0,0,0,0,0
1.054923,0,0,0,0,0,0
1.056534,0,0,0,0,0,0
1.058092,0,0,0,0,0,0
1.059651,0,0,0,0,0,0
1.061212,0,0,0,0,0,0
1.062772,0,0,0,0,0,0
1.064343,0,0,0,0,0,0
1.065908,0,0,0,0,0,0
1.067467,0,0,0,0,0,0
1.069070,0,0,0,0,0,0
1.070632,0,0,0,0,0,0
1.072190,0,0,0,0,0,0
1.073708,0,0,0,0,0,0
1.075247,0,0,0,0,0,0
1.076809,0,0,0,0,0,0
1.078371,0,0,0,0,0,0
1.079930,0,0,0,0,0,0
1.081491,0,0,0,0,0,0
1.083053,0,0,0,0,0,0
1.084657,0,0,0,0,0,0
1.086231,0,0,0,0,0,0
1.087791,0,0,0,0,0,0
1.089352,0,0,0,0,0,0
1.090912,0,0,0,0,0,0
1.092471,0,0,0,0,0,0
1.094184,0,0,0,0,0,0
1.095743,0,0,0,0,0,0
1.097315,0,0,0,0,0,0
1.098875,0,0,0,0,0,0
1.100476,0,0,0,0,0,0
1.102094,0,0,0,0,0,0
1.103651,0,0,0,0,0,0
1.105212,0,0,0,0,0,0
1.106771,0,0,0,0,0,0
1.108217,0,0,0,0,0,0
1.109832,0,0,0,0,0,0
1.111390,0,0,0,0,0,0
1.112950,0,0,0,0,0,0
1.114511,0,0,0,0,0,0
1.116070,0,0,0,0,0,0
1.117549,0,0,0,0,0,0
1.119091,0,0,0,0,0,0
1.120653,0,0,0,0,0,0
1.122213,0,0,0,0,0,0
1.123771,0,0,0,0,0,0
1.125332,0,0,0,0,0,0
1.126893,0,0,0,0,0,0
1.128451,0,0,0,0,0,0
1.130064,0,0,0,0,0,0
1.131623,0,0,0,0,0,0
1.133187,0,0,0,0,0,0
1.134748,0,0,0,0,0,0
1.136306,0,0,0,0,0,0
1.137871,0,0,0,0,0,0
1.139430,0,0,0,0,0,0
1.141005,0,0,0,0,0,0
1.142566,0,0,0,0,0,0
1.144126,0,0,0,0,0,0
1.145555,0,0,0,0,0,0
1.147077,0,0,0,0,0,0
1.148738,0,0,0,0,0,0
1.150299,0,0,0,0,0,0
1.151870,0,0,0,0,0,0
