elapsed_s,TP_PACKED_POINT_SINGLE_VALID_FP32,TP_TOTAL_DECOMP_L1_RESP_CH0,TP_TOTAL_DECOMP_L1_RESP_CH1,TP_L1POINT5_PRE_L1_DECOMP_0_WORKLOAD_R,TP_L1POINT5_PRE_L1_DECOMP_1_WORKLOAD_R,TP_L1POINT5_ASTC_DECODER_0_WORKLOAD_R,TP_L1POINT5_ASTC_DECODER_1_WORKLOAD_R,TP_PARTIAL_SURFACE_PGMEM_PIXELS,TP_PARTIAL_SURFACE_SYSMEM_PIXELS,TP_PARTIAL_SURFACE_PGMEM_MISS_REQ,TP_PARTIAL_SURFACE_SYSMEM_MISS_REQ
0.307351,0,0,0,0,0,0,0,0,0,0,0
0.308820,0,0,0,0,0,0,0,0,0,0,0
0.310288,0,0,0,0,0,0,0,0,0,0,0
0.311707,0,0,0,0,0,0,0,0,0,0,0
0.313132,0,0,0,0,0,0,0,0,0,0,0
0.314550,0,0,0,0,0,0,0,0,0,0,0
0.315968,0,0,0,0,0,0,0,0,0,0,0
0.317685,0,0,0,0,0,0,0,0,0,0,0
0.319145,0,0,0,0,0,0,0,0,0,0,0
0.320696,0,0,0,0,0,0,0,0,0,0,0
0.322153,0,0,0,0,0,0,0,0,0,0,0
0.323724,0,0,0,0,0,0,0,0,0,0,0
0.325313,0,0,0,0,0,0,0,0,0,0,0
0.326906,0,0,0,0,0,0,0,0,0,0,0
0.328493,0,0,0,0,0,0,0,0,0,0,0
0.330083,0,0,0,0,0,0,0,0,0,0,0
0.331663,0,0,0,0,0,0,0,0,0,0,0
0.333240,0,0,0,0,0,0,0,0,0,0,0
0.334856,0,0,0,0,0,0,0,0,0,0,0
0.336286,0,0,0,0,0,0,0,0,0,0,0
0.337713,0,0,0,0,0,0,0,0,0,0,0
0.339136,0,0,0,0,0,0,0,0,0,0,0
0.340600,0,0,0,0,0,0,0,0,0,0,0
0.342025,0,0,0,0,0,0,0,0,0,0,0
0.343576,0,0,0,0,0,0,0,0,0,0,0
0.345174,0,0,0,0,0,0,0,0,0,0,0
0.346817,0,0,0,0,0,0,0,0,0,0,0
0.348402,0,0,0,0,0,0,0,0,0,0,0
0.349990,0,0,0,0,0,0,0,0,0,0,0
0.351576,0,0,0,0,0,0,0,0,0,0,0
0.353161,0,0,0,0,0,0,0,0,0,0,0
