elapsed_s,VFD_ATTR_INFO_FIFO_FULL,VFD_DECODED_ATTRIBUTE_BYTES,VFD_NUM_ATTRIBUTES,VFD_UPPER_SHADER_FIBERS,VFD_LOWER_SHADER_FIBERS,VFD_MODE_0_FIBERS,VFD_MODE_1_FIBERS,VFD_MODE_2_FIBERS
0.831932,0,0,0,0,0,0,0,0
0.833502,0,0,0,0,0,0,0,0
0.835072,0,0,0,0,0,0,0,0
0.836644,0,0,0,0,0,0,0,0
0.838217,0,0,0,0,0,0,0,0
0.839788,0,0,0,0,0,0,0,0
0.841371,0,0,0,0,0,0,0,0
0.842943,0,0,0,0,0,0,0,0
0.844515,0,0,0,0,0,0,0,0
0.846087,0,0,0,0,0,0,0,0
0.847658,0,0,0,0,0,0,0,0
0.849227,0,0,0,0,0,0,0,0
0.850801,0,0,0,0,0,0,0,0
0.852386,0,0,0,0,0,0,0,0
0.853956,0,0,0,0,0,0,0,0
0.855571,0,0,0,0,0,0,0,0
0.857141,0,0,0,0,0,0,0,0
0.858714,0,0,0,0,0,0,0,0
0.860283,0,0,0,0,0,0,0,0
0.861852,0,0,0,0,0,0,0,0
0.863318,0,0,0,0,0,0,0,0
0.864864,0,0,0,0,0,0,0,0
0.866435,0,0,0,0,0,0,0,0
0.868004,0,0,0,0,0,0,0,0
0.869585,0,0,0,0,0,0,0,0
0.871419,0,0,0,0,0,0,0,0
0.872835,0,0,0,0,0,0,0,0
0.874385,0,0,0,0,0,0,0,0
0.875958,0,0,0,0,0,0,0,0
0.877529,0,0,0,0,0,0,0,0
0.879146,0,0,0,0,0,0,0,0
0.880719,0,0,0,0,0,0,0,0
0.882293,0,0,0,0,0,0,0,0
0.883864,0,0,0,0,0,0,0,0
0.885449,0,0,0,0,0,0,0,0
0.887021,0,0,0,0,0,0,0,0
0.888483,0,0,0,0,0,0,0,0
0.890054,0,0,0,0,0,0,0,0
0.891631,0,0,0,0,0,0,0,0
0.893202,0,0,0,0,0,0,0,0
0.894824,0,0,0,0,0,0,0,0
0.896412,0,0,0,0,0,0,0,0
0.897982,0,0,0,0,0,0,0,0
0.899608,0,0,0,0,0,0,0,0
0.901179,0,0,0,0,0,0,0,0
0.902751,0,0,0,0,0,0,0,0
0.904322,0,0,0,0,0,0,0,0
0.905892,0,0,0,0,0,0,0,0
0.907482,0,0,0,0,0,0,0,0
0.909052,0,0,0,0,0,0,0,0
0.910671,0,0,0,0,0,0,0,0
