elapsed_s,VFD_MODE_3_FIBERS,VFD_MODE_4_FIBERS,VFD_TOTAL_VERTICES,VFDP_STALL_CYCLES_VFD,VFDP_STALL_CYCLES_VFD_INDEX,VFDP_STALL_CYCLES_VFD_PROG,VFDP_STARVE_CYCLES_PC,VFDP_VS_STAGE_WAVES
0.597496,0,0,0,0,0,0,0,0
0.599036,0,0,0,0,0,0,0,0
0.600607,0,0,0,0,0,0,0,0
0.602223,0,0,0,0,0,0,0,0
0.603793,0,0,0,0,0,0,0,0
0.605364,0,0,0,0,0,0,0,0
0.606935,0,0,0,0,0,0,0,0
0.608520,0,0,0,0,0,0,0,0
0.610091,0,0,0,0,0,0,0,0
0.611660,0,0,0,0,0,0,0,0
0.613192,0,0,0,0,0,0,0,0
0.614747,0,0,0,0,0,0,0,0
0.616319,0,0,0,0,0,0,0,0
0.617913,0,0,0,0,0,0,0,0
0.619497,0,0,0,0,0,0,0,0
0.621073,0,0,0,0,0,0,0,0
0.622645,0,0,0,0,0,0,0,0
0.624216,0,0,0,0,0,0,0,0
0.625794,0,0,0,0,0,0,0,0
0.627365,0,0,0,0,0,0,0,0
0.628939,0,0,0,0,0,0,0,0
0.630524,0,0,0,0,0,0,0,0
0.632095,0,0,0,0,0,0,0,0
0.633673,0,0,0,0,0,0,0,0
0.635245,0,0,0,0,0,0,0,0
0.636820,0,0,0,0,0,0,0,0
0.638394,0,0,0,0,0,0,0,0
0.639965,0,0,0,0,0,0,0,0
0.641617,0,0,0,0,0,0,0,0
0.643190,0,0,0,0,0,0,0,0
0.644763,0,0,0,0,0,0,0,0
0.646336,0,0,0,0,0,0,0,0
0.647907,0,0,0,0,0,0,0,0
0.649525,0,0,0,0,0,0,0,0
0.651099,0,0,0,0,0,0,0,0
0.652687,0,0,0,0,0,0,0,0
0.654250,0,0,0,0,0,0,0,0
0.655813,0,0,0,0,0,0,0,0
0.657254,0,0,0,0,0,0,0,0
0.658795,0,0,0,0,0,0,0,0
0.660369,0,0,0,0,0,0,0,0
0.661943,0,0,0,0,0,0,0,0
0.663525,0,0,0,0,0,0,0,0
0.665144,0,0,0,0,0,0,0,0
0.666717,0,0,0,0,0,0,0,0
0.668288,0,0,0,0,0,0,0,0
0.669867,0,0,0,0,0,0,0,0
0.671438,0,0,0,0,0,0,0,0
0.673012,0,0,0,0,0,0,0,0
0.674598,0,0,0,0,0,0,0,0
0.676170,0,0,0,0,0,0,0,0
0.677768,0,0,0,0,0,0,0,0
0.679340,0,0,0,0,0,0,0,0
0.680957,0,0,0,0,0,0,0,0
0.682531,0,0,0,0,0,0,0,0
0.684102,0,0,0,0,0,0,0,0
0.685687,0,0,0,0,0,0,0,0
0.687249,0,0,0,0,0,0,0,0
0.688691,0,0,0,0,0,0,0,0
0.690232,0,0,0,0,0,0,0,0
0.691803,0,0,0,0,0,0,0,0
0.693375,0,0,0,0,0,0,0,0
0.694948,0,0,0,0,0,0,0,0
0.696535,0,0,0,0,0,0,0,0
0.698151,0,0,0,0,0,0,0,0
0.699722,0,0,0,0,0,0,0,0
0.701293,0,0,0,0,0,0,0,0
0.702867,0,0,0,0,0,0,0,0
0.704441,0,0,0,0,0,0,0,0
0.706014,0,0,0,0,0,0,0,0
0.707599,0,0,0,0,0,0,0,0
0.709173,0,0,0,0,0,0,0,0
0.710746,0,0,0,0,0,0,0,0
0.712317,0,0,0,0,0,0,0,0
0.713934,0,0,0,0,0,0,0,0
0.715505,0,0,0,0,0,0,0,0
0.717079,0,0,0,0,0,0,0,0
0.718656,0,0,0,0,0,0,0,0
0.720217,0,0,0,0,0,0,0,0
0.721833,0,0,0,0,0,0,0,0
0.723438,0,0,0,0,0,0,0,0
0.725241,0,0,0,0,0,0,0,0
0.727012,0,0,0,0,0,0,0,0
