elapsed_s,TSE_DET_WORKING_CYCLE_L1,TSE_BBOX_WORKING_CYCLE_L1,TSE_CULLING_WORKING_CYCLE_L1,TSE_SETUP_WORKING_CYCLE_L1
0.598097,0,0,0,0
0.599646,0,0,0,0
0.601195,0,0,0,0
0.602745,0,0,0,0
0.604294,0,0,0,0
0.605859,0,0,0,0
0.607409,0,0,0,0
0.608859,0,0,0,0
0.610281,0,0,0,0
0.611621,0,0,0,0
0.612953,0,0,0,0
0.614332,0,0,0,0
0.615674,0,0,0,0
0.617004,0,0,0,0
0.618385,0,0,0,0
0.619721,0,0,0,0
0.621058,0,0,0,0
0.622395,0,0,0,0
0.623730,0,0,0,0
0.625064,0,0,0,0
0.626480,0,0,0,0
0.627820,0,0,0,0
0.629157,0,0,0,0
0.630491,0,0,0,0
