elapsed_s,TSE_CLIP_VP_FMUL_0_WORKING_CYCLE_L3,TSE_CLIP_VP_FMUL_1_WORKING_CYCLE_L3,TSE_CLIP_VP_FMUL_2_WORKING_CYCLE_L3,TSE_CLIP_VP_FMUL_3_WORKING_CYCLE_L3
0.487354,0,0,0,0
0.488900,0,0,0,0
0.490451,0,0,0,0
0.491871,0,0,0,0
0.493392,0,0,0,0
0.494955,0,0,0,0
0.496503,0,0,0,0
0.498053,0,0,0,0
0.499604,0,0,0,0
0.501225,0,0,0,0
0.502833,0,0,0,0
0.504373,0,0,0,0
0.505803,0,0,0,0
0.507357,0,0,0,0
0.508902,0,0,0,0
0.510454,0,0,0,0
0.512000,0,0,0,0
0.513590,0,0,0,0
0.515139,0,0,0,0
0.516699,0,0,0,0
0.518248,0,0,0,0
0.519757,0,0,0,0
0.521263,0,0,0,0
0.522670,0,0,0,0
0.524057,0,0,0,0
0.525445,0,0,0,0
0.526841,0,0,0,0
0.528226,0,0,0,0
0.529742,0,0,0,0
0.531291,0,0,0,0
0.532838,0,0,0,0
0.534438,0,0,0,0
0.535985,0,0,0,0
0.537549,0,0,0,0
0.539096,0,0,0,0
0.540642,0,0,0,0
0.542190,0,0,0,0
0.543738,0,0,0,0
0.545331,0,0,0,0
0.546880,0,0,0,0
0.548439,0,0,0,0
0.549987,0,0,0,0
0.551536,0,0,0,0
0.553081,0,0,0,0
0.554634,0,0,0,0
0.556180,0,0,0,0
0.557729,0,0,0,0
0.559217,0,0,0,0
0.560617,0,0,0,0
0.562180,0,0,0,0
0.563730,0,0,0,0
0.565282,0,0,0,0
0.566824,0,0,0,0
0.568362,0,0,0,0
0.569797,0,0,0,0
0.571320,0,0,0,0
0.572869,0,0,0,0
0.574423,0,0,0,0
0.575971,0,0,0,0
0.577565,0,0,0,0
0.579117,0,0,0,0
0.580680,0,0,0,0
0.582231,0,0,0,0
0.583782,0,0,0,0
0.585333,0,0,0,0
0.586884,0,0,0,0
0.588433,0,0,0,0
0.590068,0,0,0,0
0.591485,0,0,0,0
0.592919,0,0,0,0
0.594313,0,0,0,0
0.595691,0,0,0,0
0.597068,0,0,0,0
0.598452,0,0,0,0
0.599828,0,0,0,0
0.601245,0,0,0,0
0.602632,0,0,0,0
0.604010,0,0,0,0
0.605388,0,0,0,0
0.606766,0,0,0,0
0.608142,0,0,0,0
0.609667,0,0,0,0
0.611022,0,0,0,0
0.612375,0,0,0,0
0.613736,0,0,0,0
0.615090,0,0,0,0
0.616443,0,0,0,0
0.617796,0,0,0,0
0.619149,0,0,0,0
0.620502,0,0,0,0
0.621855,0,0,0,0
0.623209,0,0,0,0
0.624567,0,0,0,0
0.625917,0,0,0,0
0.627256,0,0,0,0
0.628596,0,0,0,0
0.629936,0,0,0,0
0.631276,0,0,0,0
0.632616,0,0,0,0
0.633955,0,0,0,0
0.635301,0,0,0,0
0.636639,0,0,0,0
0.637978,0,0,0,0
0.639316,0,0,0,0
0.640655,0,0,0,0
0.642015,0,0,0,0
0.643426,0,0,0,0
0.644836,0,0,0,0
0.646258,0,0,0,0
0.647667,0,0,0,0
0.649076,0,0,0,0
0.650453,0,0,0,0
0.651865,0,0,0,0
0.653281,0,0,0,0
0.654727,0,0,0,0
0.656095,0,0,0,0
0.657501,0,0,0,0
0.658895,0,0,0,0
0.660290,0,0,0,0
0.662548,0,0,0,0
0.664109,0,0,0,0
0.665370,0,0,0,0
0.666760,0,0,0,0
0.668153,0,0,0,0
0.669692,0,0,0,0
0.671074,0,0,0,0
0.672455,0,0,0,0
0.673836,0,0,0,0
0.675076,0,0,0,0
0.676494,0,0,0,0
0.677881,0,0,0,0
0.679278,0,0,0,0
0.680660,0,0,0,0
0.682045,0,0,0,0
0.683431,0,0,0,0
0.684813,0,0,0,0
0.686189,0,0,0,0
0.688126,0,0,0,0
0.691295,0,0,0,0
0.692676,0,0,0,0
0.696214,0,0,0,0
0.699412,0,0,0,0
0.700802,0,0,0,0
0.702185,0,0,0,0
0.703607,0,0,0,0
0.705042,0,0,0,0
0.706427,0,0,0,0
