elapsed_s,HLSQ_STPROC_L0_INS_LATENCY_CYCLE,HLSQ_STPROC_DPS_RUN_COUNT,HLSQ_STPROC_DPS_RUN_CYCLE,HLSQ_VSDP_BR_QUERY_REQ,HLSQ_VSDP_BV_QUERY_REQ,HLSQ_VSDP_BR_QUERY_REQ_WHEN_BV_PENDING
0.889963,0,0,0,0,0,0
0.891527,0,0,0,0,0,0
0.893093,0,0,0,0,0,0
0.894698,0,0,0,0,0,0
0.896269,0,0,0,0,0,0
0.897834,0,0,0,0,0,0
0.899398,0,0,0,0,0,0
0.900960,0,0,0,0,0,0
0.902436,0,0,0,0,0,0
0.903967,0,0,0,0,0,0
0.905532,0,0,0,0,0,0
0.907109,0,0,0,0,0,0
0.908671,0,0,0,0,0,0
0.910297,0,0,0,0,0,0
0.911860,0,0,0,0,0,0
0.913426,0,0,0,0,0,0
0.914991,0,0,0,0,0,0
0.916554,0,0,0,0,0,0
0.918131,0,0,0,0,0,0
0.919696,0,0,0,0,0,0
0.921262,0,0,0,0,0,0
0.922819,0,0,0,0,0,0
0.924372,0,0,0,0,0,0
0.925801,0,0,0,0,0,0
0.927335,0,0,0,0,0,0
0.928909,0,0,0,0,0,0
0.930478,0,0,0,0,0,0
0.932040,0,0,0,0,0,0
0.933646,0,0,0,0,0,0
0.935208,0,0,0,0,0,0
0.936769,0,0,0,0,0,0
0.938340,0,0,0,0,0,0
0.939914,0,0,0,0,0,0
0.941479,0,0,0,0,0,0
0.943041,0,0,0,0,0,0
0.944603,0,0,0,0,0,0
0.946166,0,0,0,0,0,0
0.947728,0,0,0,0,0,0
0.949335,0,0,0,0,0,0
0.950911,0,0,0,0,0,0
0.952472,0,0,0,0,0,0
0.954035,0,0,0,0,0,0
0.955599,0,0,0,0,0,0
0.957163,0,0,0,0,0,0
0.958727,0,0,0,0,0,0
0.960287,0,0,0,0,0,0
0.961862,0,0,0,0,0,0
0.963425,0,0,0,0,0,0
0.964986,0,0,0,0,0,0
0.966426,0,0,0,0,0,0
0.967828,0,0,0,0,0,0
0.969357,0,0,0,0,0,0
0.970920,0,0,0,0,0,0
0.972468,0,0,0,0,0,0
0.973865,0,0,0,0,0,0
0.975272,0,0,0,0,0,0
0.976927,0,0,0,0,0,0
0.978330,0,0,0,0,0,0
0.979727,0,0,0,0,0,0
0.981510,0,0,0,0,0,0
0.982920,0,0,0,0,0,0
0.984323,0,0,0,0,0,0
0.985909,0,0,0,0,0,0
0.987472,0,0,0,0,0,0
0.989037,0,0,0,0,0,0
0.990600,0,0,0,0,0,0
0.992162,0,0,0,0,0,0
0.993609,0,0,0,0,0,0
0.995144,0,0,0,0,0,0
0.996705,0,0,0,0,0,0
0.998295,0,0,0,0,0,0
0.999697,0,0,0,0,0,0
1.001097,0,0,0,0,0,0
1.002501,0,0,0,0,0,0
1.003921,0,0,0,0,0,0
1.005321,0,0,0,0,0,0
1.006716,0,0,0,0,0,0
1.008243,0,0,0,0,0,0
1.009808,0,0,0,0,0,0
1.011371,0,0,0,0,0,0
1.012934,0,0,0,0,0,0
1.014438,0,0,0,0,0,0
1.015977,0,0,0,0,0,0
1.017543,0,0,0,0,0,0
1.019099,0,0,0,0,0,0
1.020653,0,0,0,0,0,0
1.022082,0,0,0,0,0,0
1.023674,0,0,0,0,0,0
1.025184,0,0,0,0,0,0
1.026740,0,0,0,0,0,0
1.028294,0,0,0,0,0,0
1.029727,0,0,0,0,0,0
1.031261,0,0,0,0,0,0
1.032824,0,0,0,0,0,0
1.034394,0,0,0,0,0,0
1.035841,0,0,0,0,0,0
1.037378,0,0,0,0,0,0
1.038942,0,0,0,0,0,0
1.040503,0,0,0,0,0,0
1.042067,0,0,0,0,0,0
1.043630,0,0,0,0,0,0
1.045238,0,0,0,0,0,0
1.046814,0,0,0,0,0,0
1.048375,0,0,0,0,0,0
1.049940,0,0,0,0,0,0
1.051504,0,0,0,0,0,0
1.053070,0,0,0,0,0,0
1.054633,0,0,0,0,0,0
1.056194,0,0,0,0,0,0
1.057771,0,0,0,0,0,0
1.059335,0,0,0,0,0,0
1.060897,0,0,0,0,0,0
1.062510,0,0,0,0,0,0
1.064071,0,0,0,0,0,0
1.065636,0,0,0,0,0,0
1.067199,0,0,0,0,0,0
1.068773,0,0,0,0,0,0
1.070341,0,0,0,0,0,0
1.071903,0,0,0,0,0,0
1.074024,0,0,0,0,0,0
1.075520,0,0,0,0,0,0
1.076961,0,0,0,0,0,0
1.078507,0,0,0,0,0,0
1.079922,0,0,0,0,0,0
1.081330,0,0,0,0,0,0
1.082729,0,0,0,0,0,0
1.084125,0,0,0,0,0,0
1.085655,0,0,0,0,0,0
1.087218,0,0,0,0,0,0
1.088780,0,0,0,0,0,0
1.090234,0,0,0,0,0,0
1.091771,0,0,0,0,0,0
