run,group,chunk,counter,width,region_index,region_start_s,region_end_s,samples,total,max,mean,active_mean,active_samples,csv_path
sweep_20260625_152944,CP,1,CP_PREEMPTION_SWITCH_OUT_TIME,1024,4,0.634295,0.693474,38,408576.0,128212.0,10752.0,51072.0,8,/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/01_CP/CP_chunk001.csv
sweep_20260625_152944,CP,1,CP_PREEMPTION_SWITCH_IN_TIME,1024,4,0.634295,0.693474,38,292349.0,80880.0,7693.394736842105,36543.625,8,/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/01_CP/CP_chunk001.csv
sweep_20260625_152944,CP,1,CP_DEAD_DRAWS_IN_BIN_RENDER,1024,4,0.634295,0.693474,38,0.0,0.0,0.0,0.0,0,/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/01_CP/CP_chunk001.csv
sweep_20260625_152944,CP,1,CP_PREDICATED_DRAWS_KILLED,1024,4,0.634295,0.693474,38,0.0,0.0,0.0,0.0,0,/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/01_CP/CP_chunk001.csv
sweep_20260625_152944,CP,1,CP_MODE_SWITCH,1024,4,0.634295,0.693474,38,0.0,0.0,0.0,0.0,0,/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/01_CP/CP_chunk001.csv
sweep_20260625_152944,CP,1,CP_ZPASS_DONE,1024,4,0.634295,0.693474,38,0.0,0.0,0.0,0.0,0,/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/01_CP/CP_chunk001.csv
sweep_20260625_152944,CP,1,CP_CONTEXT_DONE,1024,4,0.634295,0.693474,38,775.0,197.0,20.394736842105264,86.11111111111111,9,/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/01_CP/CP_chunk001.csv
sweep_20260625_152944,CP,1,CP_CACHE_FLUSH,1024,4,0.634295,0.693474,38,37.0,8.0,0.9736842105263158,4.625,8,/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/01_CP/CP_chunk001.csv
sweep_20260625_152944,CP,1,CP_NEVER_COUNT,2048,5,0.844253,0.902618,38,0.0,0.0,0.0,0.0,0,/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/01_CP/CP_chunk001.csv
sweep_20260625_152944,CP,1,CP_ALWAYS_COUNT,2048,5,0.844253,0.902618,38,19577524.0,1286110.0,515198.0,515198.0,38,/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/01_CP/CP_chunk001.csv
sweep_20260625_152944,CP,1,CP_BUSY_GFX_CORE_IDLE,2048,5,0.844253,0.902618,38,443763.0,135528.0,11677.973684210527,11677.973684210527,38,/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/01_CP/CP_chunk001.csv
sweep_20260625_152944,CP,1,CP_BUSY_CYCLES,2048,5,0.844253,0.902618,38,1375488.0,700347.0,36197.05263157895,36197.05263157895,38,/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/01_CP/CP_chunk001.csv
sweep_20260625_152944,CP,1,CP_NUM_PREEMPTIONS,2048,5,0.844253,0.902618,38,3.0,1.0,0.07894736842105263,1.0,3,/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/01_CP/CP_chunk001.csv
sweep_20260625_152944,CP,1,CP_PREEMPTION_REACTION_DELAY,2048,5,0.844253,0.902618,38,4676.0,1569.0,123.05263157894737,1558.6666666666667,3,/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/01_CP/CP_chunk001.csv
sweep_20260625_152944,CP,1,CP_PREEMPTION_SWITCH_OUT_TIME,2048,5,0.844253,0.902618,38,117715.0,40555.0,3097.7631578947367,39238.333333333336,3,/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/01_CP/CP_chunk001.csv
sweep_20260625_152944,CP,1,CP_PREEMPTION_SWITCH_IN_TIME,2048,5,0.844253,0.902618,38,102371.0,44186.0,2693.9736842105262,34123.666666666664,3,/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/01_CP/CP_chunk001.csv
sweep_20260625_152944,CP,1,CP_DEAD_DRAWS_IN_BIN_RENDER,2048,5,0.844253,0.902618,38,0.0,0.0,0.0,0.0,0,/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/01_CP/CP_chunk001.csv
sweep_20260625_152944,CP,1,CP_PREDICATED_DRAWS_KILLED,2048,5,0.844253,0.902618,38,0.0,0.0,0.0,0.0,0,/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/01_CP/CP_chunk001.csv
sweep_20260625_152944,CP,1,CP_MODE_SWITCH,2048,5,0.844253,0.902618,38,0.0,0.0,0.0,0.0,0,/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/01_CP/CP_chunk001.csv
sweep_20260625_152944,CP,1,CP_ZPASS_DONE,2048,5,0.844253,0.902618,38,0.0,0.0,0.0,0.0,0,/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/01_CP/CP_chunk001.csv
sweep_20260625_152944,CP,1,CP_CONTEXT_DONE,2048,5,0.844253,0.902618,38,178.0,145.0,4.684210526315789,44.5,4,/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/01_CP/CP_chunk001.csv
sweep_20260625_152944,CP,1,CP_CACHE_FLUSH,2048,5,0.844253,0.902618,38,12.0,5.0,0.3157894736842105,3.0,4,/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/01_CP/CP_chunk001.csv
sweep_20260625_152944,CP,2,CP_LONG_PREEMPTIONS,128,1,0.049915,0.112017,43,1.0,1.0,0.023255813953488372,1.0,1,/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/01_CP/CP_chunk002.csv
sweep_20260625_152944,CP,2,CP_SQE_I_CACHE_STARVE,128,1,0.049915,0.112017,43,79895.0,18070.0,1858.0232558139535,1858.0232558139535,43,/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/01_CP/CP_chunk002.csv
sweep_20260625_152944,CP,2,CP_SQE_IDLE,128,1,0.049915,0.112017,43,10991362.0,521951.0,255613.06976744186,255613.06976744186,43,/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/01_CP/CP_chunk002.csv
sweep_20260625_152944,CP,2,CP_SQE_PM4_STARVE_RB,128,1,0.049915,0.112017,43,4028.0,368.0,93.67441860465117,93.67441860465117,43,/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/01_CP/CP_chunk002.csv
sweep_20260625_152944,CP,2,CP_SQE_PM4_STARVE_IB1,128,1,0.049915,0.112017,43,102.0,94.0,2.372093023255814,51.0,2,/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/01_CP/CP_chunk002.csv
sweep_20260625_152944,CP,2,CP_SQE_PM4_STARVE_IB2,128,1,0.049915,0.112017,43,259.0,259.0,6.023255813953488,259.0,1,/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/01_CP/CP_chunk002.csv
sweep_20260625_152944,CP,2,CP_SQE_PM4_STARVE_IB3,128,1,0.049915,0.112017,43,86.0,86.0,2.0,86.0,1,/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/01_CP/CP_chunk002.csv
sweep_20260625_152944,CP,2,CP_SQE_PM4_STARVE_FSDT,128,1,0.049915,0.112017,43,0.0,0.0,0.0,0.0,0,/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/01_CP/CP_chunk002.csv
sweep_20260625_152944,CP,2,CP_SQE_PM4_STARVE_SDS,128,1,0.049915,0.112017,43,0.0,0.0,0.0,0.0,0,/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/01_CP/CP_chunk002.csv
sweep_20260625_152944,CP,2,CP_SQE_MRB_STARVE,128,1,0.049915,0.112017,43,500.0,365.0,11.627906976744185,250.0,2,/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/01_CP/CP_chunk002.csv
sweep_20260625_152944,CP,2,CP_SQE_RRB_STARVE,128,1,0.049915,0.112017,43,9273.0,6319.0,215.65116279069767,215.65116279069767,43,/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/01_CP/CP_chunk002.csv
sweep_20260625_152944,CP,2,CP_SQE_VSD_STARVE,128,1,0.049915,0.112017,43,0.0,0.0,0.0,0.0,0,/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/01_CP/CP_chunk002.csv
sweep_20260625_152944,CP,2,CP_VSD_DECODE_STARVE,128,1,0.049915,0.112017,43,0.0,0.0,0.0,0.0,0,/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/01_CP/CP_chunk002.csv
sweep_20260625_152944,CP,2,CP_SQE_PIPE_OUT_STALL,128,1,0.049915,0.112017,43,0.0,0.0,0.0,0.0,0,/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/01_CP/CP_chunk002.csv
sweep_20260625_152944,CP,2,CP_LONG_PREEMPTIONS,256,2,0.248662,0.307354,37,0.0,0.0,0.0,0.0,0,/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/01_CP/CP_chunk002.csv
sweep_20260625_152944,CP,2,CP_SQE_I_CACHE_STARVE,256,2,0.248662,0.307354,37,90478.0,18918.0,2445.3513513513512,2445.3513513513512,37,/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/01_CP/CP_chunk002.csv
sweep_20260625_152944,CP,2,CP_SQE_IDLE,256,2,0.248662,0.307354,37,22061187.0,4517114.0,596248.2972972973,596248.2972972973,37,/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/01_CP/CP_chunk002.csv
sweep_20260625_152944,CP,2,CP_SQE_PM4_STARVE_RB,256,2,0.248662,0.307354,37,5437.0,368.0,146.94594594594594,146.94594594594594,37,/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/01_CP/CP_chunk002.csv
sweep_20260625_152944,CP,2,CP_SQE_PM4_STARVE_IB1,256,2,0.248662,0.307354,37,148.0,140.0,4.0,74.0,2,/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/01_CP/CP_chunk002.csv
sweep_20260625_152944,CP,2,CP_SQE_PM4_STARVE_IB2,256,2,0.248662,0.307354,37,117.0,117.0,3.1621621621621623,117.0,1,/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/01_CP/CP_chunk002.csv
sweep_20260625_152944,CP,2,CP_SQE_PM4_STARVE_IB3,256,2,0.248662,0.307354,37,75.0,75.0,2.027027027027027,75.0,1,/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/01_CP/CP_chunk002.csv
sweep_20260625_152944,CP,2,CP_SQE_PM4_STARVE_FSDT,256,2,0.248662,0.307354,37,0.0,0.0,0.0,0.0,0,/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/01_CP/CP_chunk002.csv
sweep_20260625_152944,CP,2,CP_SQE_PM4_STARVE_SDS,256,2,0.248662,0.307354,37,0.0,0.0,0.0,0.0,0,/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/01_CP/CP_chunk002.csv
sweep_20260625_152944,CP,2,CP_SQE_MRB_STARVE,256,2,0.248662,0.307354,37,223.0,112.0,6.027027027027027,111.5,2,/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/01_CP/CP_chunk002.csv
sweep_20260625_152944,CP,2,CP_SQE_RRB_STARVE,256,2,0.248662,0.307354,37,3330.0,145.0,90.0,90.0,37,/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/01_CP/CP_chunk002.csv
