elapsed_s,PC_RESERVED_56,PC_RESERVED_57,PC_RESERVED_58,PC_RESERVED_59,PC_S_BUSY_CYCLES,PC_S_WORKING_CYCLES,PC_S_STALL_CYCLES_VFD,PC_S_STALL_CYCLES_VPC_FE
0.505168,0,0,0,0,0,0,0,0
0.506692,0,0,0,0,0,0,0,0
0.508253,0,0,0,0,0,0,0,0
0.509838,0,0,0,0,0,0,0,0
0.511703,0,0,0,0,0,0,0,0
0.513165,0,0,0,0,0,0,0,0
0.514575,0,0,0,0,0,0,0,0
0.515979,0,0,0,0,0,0,0,0
0.517380,0,0,0,0,0,0,0,0
0.518784,0,0,0,0,0,0,0,0
0.520191,0,0,0,0,0,0,0,0
0.521606,0,0,0,0,0,0,0,0
0.523060,0,0,0,0,0,0,0,0
0.524599,0,0,0,0,0,0,0,0
0.526216,0,0,0,0,0,0,0,0
0.527789,0,0,0,0,0,0,0,0
0.529360,0,0,0,0,0,0,0,0
0.530932,0,0,0,0,0,0,0,0
0.532393,0,0,0,0,0,0,0,0
0.533940,0,0,0,0,0,0,0,0
0.535512,0,0,0,0,0,0,0,0
0.537081,0,0,0,0,0,0,0,0
0.538655,0,0,0,0,0,0,0,0
0.540229,0,0,0,0,0,0,0,0
0.541842,0,0,0,0,0,0,0,0
0.543431,0,0,0,0,0,0,0,0
0.545002,0,0,0,0,0,0,0,0
0.546575,0,0,0,0,0,0,0,0
0.548147,0,0,0,0,0,0,0,0
0.549717,0,0,0,0,0,0,0,0
0.551293,0,0,0,0,0,0,0,0
0.552892,0,0,0,0,0,0,0,0
