elapsed_s,RB_STARVE_CYCLES_CCU,RB_STARVE_CYCLES_Z_PLANE,RB_STARVE_CYCLES_BARY_PLANE,RB_Z_WORKLOAD,RB_HLSQ_ACTIVE,RB_Z_READ,RB_Z_WRITE,RB_C_READ
0.639068,0,0,0,0,0,0,0,0
0.640641,0,0,0,0,0,0,0,0
0.642212,0,0,0,0,0,0,0,0
0.643783,0,0,0,0,0,0,0,0
0.645355,0,0,0,0,0,0,0,0
0.646927,0,0,0,0,0,0,0,0
0.648510,0,0,0,0,0,0,0,0
0.649908,0,0,0,0,0,0,0,0
0.651321,0,0,0,0,0,0,0,0
0.652861,0,0,0,0,0,0,0,0
0.654476,0,0,0,0,0,0,0,0
0.656047,0,0,0,0,0,0,0,0
0.657618,0,0,0,0,0,0,0,0
0.659204,0,0,0,0,0,0,0,0
0.660776,0,0,0,0,0,0,0,0
0.662348,0,0,0,0,0,0,0,0
0.663917,0,0,0,0,0,0,0,0
0.665488,0,0,0,0,0,0,0,0
0.667059,0,0,0,0,0,0,0,0
0.668631,0,0,0,0,0,0,0,0
0.670257,0,0,0,0,0,0,0,0
0.671827,0,0,0,0,0,0,0,0
0.673401,0,0,0,0,0,0,0,0
0.674972,0,0,0,0,0,0,0,0
0.676541,0,0,0,0,0,0,0,0
0.678134,0,0,0,0,0,0,0,0
0.679704,0,0,0,0,0,0,0,0
0.681290,0,0,0,0,0,0,0,0
0.682861,0,0,0,0,0,0,0,0
0.684431,0,0,0,0,0,0,0,0
0.686007,0,0,0,0,0,0,0,0
0.687575,0,0,0,0,0,0,0,0
0.689230,0,0,0,0,0,0,0,0
0.690774,0,0,0,0,0,0,0,0
0.692232,0,0,0,0,0,0,0,0
0.693845,0,0,0,0,0,0,0,0
0.695415,0,0,0,0,0,0,0,0
0.696989,0,0,0,0,0,0,0,0
0.698439,0,0,0,0,0,0,0,0
0.699978,0,0,0,0,0,0,0,0
0.701464,0,0,0,0,0,0,0,0
0.703020,0,0,0,0,0,0,0,0
0.704595,0,0,0,0,0,0,0,0
0.706168,0,0,0,0,0,0,0,0
0.707741,0,0,0,0,0,0,0,0
0.709316,0,0,0,0,0,0,0,0
0.710889,0,0,0,0,0,0,0,0
0.712461,0,0,0,0,0,0,0,0
0.714051,0,0,0,0,0,0,0,0
0.715623,0,0,0,0,0,0,0,0
0.717242,0,0,0,0,0,0,0,0
0.718815,0,0,0,0,0,0,0,0
0.720386,0,0,0,0,0,0,0,0
0.721987,0,0,0,0,0,0,0,0
0.723559,0,0,0,0,0,0,0,0
0.725146,0,0,0,0,0,0,0,0
0.726720,0,0,0,0,0,0,0,0
0.728290,0,0,0,0,0,0,0,0
0.729868,0,0,0,0,0,0,0,0
0.731440,0,0,0,0,0,0,0,0
0.733058,0,0,0,0,0,0,0,0
0.734631,0,0,0,0,0,0,0,0
0.736217,0,0,0,0,0,0,0,0
0.737736,0,0,0,0,0,0,0,0
0.739270,0,0,0,0,0,0,0,0
0.740734,0,0,0,0,0,0,0,0
0.742280,0,0,0,0,0,0,0,0
0.743852,0,0,0,0,0,0,0,0
0.745425,0,0,0,0,0,0,0,0
0.747011,0,0,0,0,0,0,0,0
0.748586,0,0,0,0,0,0,0,0
0.750159,0,0,0,0,0,0,0,0
0.751765,0,0,0,0,0,0,0,0
0.753341,0,0,0,0,0,0,0,0
0.754914,0,0,0,0,0,0,0,0
0.756486,0,0,0,0,0,0,0,0
0.758077,0,0,0,0,0,0,0,0
0.759648,0,0,0,0,0,0,0,0
0.761221,0,0,0,0,0,0,0,0
0.762793,0,0,0,0,0,0,0,0
0.764365,0,0,0,0,0,0,0,0
0.765942,0,0,0,0,0,0,0,0
0.767515,0,0,0,0,0,0,0,0
0.769103,0,0,0,0,0,0,0,0
0.770675,0,0,0,0,0,0,0,0
0.772245,0,0,0,0,0,0,0,0
0.773920,0,0,0,0,0,0,0,0
0.775489,0,0,0,0,0,0,0,0
0.777063,0,0,0,0,0,0,0,0
0.778633,0,0,0,0,0,0,0,0
0.780215,0,0,0,0,0,0,0,0
0.781770,0,0,0,0,0,0,0,0
0.783310,0,0,0,0,0,0,0,0
0.784881,0,0,0,0,0,0,0,0
0.786454,0,0,0,0,0,0,0,0
0.788023,0,0,0,0,0,0,0,0
0.789595,0,0,0,0,0,0,0,0
0.791180,0,0,0,0,0,0,0,0
0.792754,0,0,0,0,0,0,0,0
0.794325,0,0,0,0,0,0,0,0
0.795895,0,0,0,0,0,0,0,0
0.797510,0,0,0,0,0,0,0,0
0.799083,0,0,0,0,0,0,0,0
0.800655,0,0,0,0,0,0,0,0
0.802240,0,0,0,0,0,0,0,0
0.803810,0,0,0,0,0,0,0,0
0.805384,0,0,0,0,0,0,0,0
0.806955,0,0,0,0,0,0,0,0
0.808525,0,0,0,0,0,0,0,0
0.810116,0,0,0,0,0,0,0,0
0.811686,0,0,0,0,0,0,0,0
0.813316,0,0,0,0,0,0,0,0
0.814889,0,0,0,0,0,0,0,0
0.816459,0,0,0,0,0,0,0,0
0.818034,0,0,0,0,0,0,0,0
0.819603,0,0,0,0,0,0,0,0
0.821176,0,0,0,0,0,0,0,0
