elapsed_s,VPC_FE_POSRAM_FULL_CYCLES,VPC_FE_GMEM_NOP_FULL_CYCLES,VPC_FE_GMEM_POS_FULL_CYCLES,VPC_FE_BOTTLENECK,VPC_US_BUSY_CYCLES,VPC_US_WORKING_CYCLES
0.423079,0,0,0,0,0,0
0.424443,0,0,0,0,0,0
0.425808,0,0,0,0,0,0
0.427225,0,0,0,0,0,0
0.428626,0,0,0,0,0,0
0.429975,0,0,0,0,0,0
0.431333,0,0,0,0,0,0
0.432683,0,0,0,0,0,0
0.434031,0,0,0,0,0,0
0.435389,0,0,0,0,0,0
0.436738,0,0,0,0,0,0
0.438085,0,0,0,0,0,0
0.439532,0,0,0,0,0,0
0.440879,0,0,0,0,0,0
0.442233,0,0,0,0,0,0
0.443581,0,0,0,0,0,0
0.444932,0,0,0,0,0,0
0.446242,0,0,0,0,0,0
0.447661,0,0,0,0,0,0
0.449079,0,0,0,0,0,0
0.450496,0,0,0,0,0,0
0.451916,0,0,0,0,0,0
0.453342,0,0,0,0,0,0
0.454762,0,0,0,0,0,0
0.456182,0,0,0,0,0,0
0.457602,0,0,0,0,0,0
0.459021,0,0,0,0,0,0
0.460455,0,0,0,0,0,0
0.461872,0,0,0,0,0,0
0.463463,0,0,0,0,0,0
0.464845,0,0,0,0,0,0
0.466246,0,0,0,6,418,406
0.467503,0,0,0,0,0,0
0.468873,0,0,0,0,0,0
0.470229,0,0,0,0,0,0
0.471645,0,0,0,0,0,0
0.473037,0,0,0,0,0,0
0.474441,0,0,0,0,0,0
0.475846,0,0,0,24,559,596
0.477230,0,0,0,12,331,320
0.478629,0,0,0,0,0,0
0.480032,0,0,0,0,0,0
0.481436,0,0,0,0,0,0
0.482834,0,0,0,0,0,0
0.484231,0,0,0,0,0,0
0.485640,0,0,0,0,0,0
0.487035,0,0,0,0,0,0
0.488434,0,0,0,0,0,0
0.489829,0,0,0,0,0,0
0.491332,0,0,0,0,0,0
0.492720,0,0,0,0,0,0
0.494194,0,0,0,0,0,0
0.495582,0,0,0,0,0,0
0.496979,0,0,0,0,0,0
0.498378,0,0,0,0,0,0
0.499772,0,0,0,0,0,0
0.501163,0,0,0,0,0,0
0.502552,0,0,0,0,0,0
0.503941,0,0,0,0,0,0
0.505329,0,0,0,0,0,0
0.506723,0,0,0,0,0,0
0.508129,0,0,0,0,0,0
0.509526,0,0,0,0,0,0
0.510924,0,0,0,0,0,0
0.512314,0,0,0,0,0,0
0.513705,0,0,0,0,0,0
0.515095,0,0,0,0,0,0
0.516613,0,0,0,0,0,0
0.518231,0,0,0,0,0,0
0.519798,0,0,0,0,0,0
0.521350,0,0,0,0,0,0
0.522779,0,0,0,0,0,0
0.524355,0,0,0,0,0,0
0.525915,0,0,0,0,0,0
0.527480,0,0,0,0,0,0
0.529037,0,0,0,0,0,0
0.530615,0,0,0,0,0,0
0.532177,0,0,0,0,0,0
0.533737,0,0,0,0,0,0
0.535169,0,0,0,0,0,0
0.536699,0,0,0,0,0,0
0.538263,0,0,0,0,0,0
0.539868,0,0,0,0,0,0
0.541318,0,0,0,0,0,0
0.542853,0,0,0,0,0,0
0.544414,0,0,0,0,0,0
0.545973,0,0,0,0,0,0
0.547540,0,0,0,0,0,0
0.549099,0,0,0,0,0,0
0.550663,0,0,0,0,0,0
0.552113,0,0,0,0,0,0
0.553642,0,0,0,0,0,0
0.555203,0,0,0,0,0,0
0.556765,0,0,0,0,0,0
0.558328,0,0,0,0,0,0
0.559890,0,0,0,0,0,0
0.561448,0,0,0,0,0,0
0.563022,0,0,0,0,0,0
0.564584,0,0,0,0,0,0
0.566146,0,0,0,0,0,0
0.567709,0,0,0,0,0,0
0.569310,0,0,0,0,0,0
0.570874,0,0,0,0,0,0
0.572481,0,0,0,0,0,0
0.574055,0,0,0,0,0,0
0.575619,0,0,0,0,0,0
0.577179,0,0,0,0,0,0
0.578742,0,0,0,0,0,0
0.580302,0,0,0,0,0,0
0.581861,0,0,0,0,0,0
0.583426,0,0,0,0,0,0
0.584998,0,0,0,0,0,0
0.586561,0,0,0,0,0,0
0.588187,0,0,0,0,0,0
0.590293,0,0,0,0,0,0
0.591671,0,0,0,0,0,0
0.593065,0,0,0,0,0,0
0.594455,0,0,0,0,0,0
0.595856,0,0,0,0,0,0
0.597245,0,0,0,0,0,0
0.598634,0,0,0,0,0,0
0.600025,0,0,0,0,0,0
0.601414,0,0,0,0,0,0
