elapsed_s,VPC_FE_SP_COMPONENTS,VPC_FE_STALL_CYCLES_VPCRAM_POS,VPC_FE_VS_BUSY_CYCLES,VPC_FE_VS_WORKING_CYCLES,VPC_FE_NUM_VPCRAM_READ_POS,VPC_FE_WIT_FULL_CYCLES
0.649014,0,0,0,0,0,0
0.650356,0,0,0,0,0,0
0.651704,0,0,0,0,0,0
0.653051,0,0,0,0,0,0
0.654404,0,0,1956,315,0,0
0.656097,0,0,0,0,0,0
0.657472,0,0,0,0,0,0
0.658823,0,0,0,0,0,0
0.660172,0,0,0,0,0,0
0.661525,0,0,0,0,0,0
0.662894,0,0,0,0,0,0
0.664309,0,0,0,0,0,0
0.665719,0,0,6540,1782,0,0
0.667121,0,0,0,0,0,0
0.668533,0,0,0,0,0,0
0.669933,0,0,0,0,0,0
0.671332,0,0,0,0,0,0
0.672730,0,0,0,0,0,0
0.674600,0,0,0,0,0,0
0.676000,0,0,0,0,0,0
0.677394,0,0,0,0,0,0
0.678844,0,0,0,0,0,0
0.680237,0,0,0,0,0,0
0.683979,0,0,0,0,0,0
0.686348,0,0,0,0,0,0
0.687745,0,0,0,0,0,0
0.689153,0,0,0,0,0,0
0.690598,0,0,0,0,0,0
0.691997,0,0,0,0,0,0
0.694522,0,0,0,0,0,0
0.695906,0,0,0,0,0,0
0.697305,0,0,0,0,0,0
0.698699,0,0,0,0,0,0
0.700112,0,0,0,0,0,0
0.701631,0,0,0,0,0,0
0.703035,0,0,0,0,0,0
0.704397,0,0,0,0,0,0
0.705749,0,0,0,0,0,0
0.707100,0,0,0,0,0,0
0.708450,0,0,0,0,0,0
0.709802,0,0,0,0,0,0
0.711298,0,0,0,0,0,0
0.712745,0,0,0,0,0,0
0.714279,0,0,0,0,0,0
0.716084,0,0,0,0,0,0
0.717647,0,0,0,0,0,0
0.719210,0,0,0,0,0,0
0.720770,0,0,0,0,0,0
0.722216,0,0,0,0,0,0
0.723747,0,0,0,0,0,0
0.725310,0,0,0,0,0,0
0.726916,0,0,0,0,0,0
0.728475,0,0,0,0,0,0
0.730038,0,0,0,0,0,0
0.731600,0,0,0,0,0,0
0.733177,0,0,0,0,0,0
0.734741,0,0,0,0,0,0
0.736301,0,0,0,0,0,0
0.737865,0,0,0,0,0,0
0.739427,0,0,0,0,0,0
0.740987,0,0,0,0,0,0
0.742573,0,0,0,0,0,0
0.744192,0,0,0,0,0,0
0.745756,0,0,0,0,0,0
0.747318,0,0,0,0,0,0
0.748878,0,0,0,0,0,0
0.750443,0,0,0,0,0,0
0.752003,0,0,0,0,0,0
0.753566,0,0,0,0,0,0
0.755014,0,0,0,0,0,0
0.756546,0,0,0,0,0,0
0.758108,0,0,0,0,0,0
0.759670,0,0,0,0,0,0
0.761233,0,0,0,0,0,0
0.762795,0,0,0,0,0,0
0.764354,0,0,0,0,0,0
0.765930,0,0,0,0,0,0
0.767493,0,0,0,0,0,0
0.769051,0,0,0,0,0,0
0.770617,0,0,0,0,0,0
0.772178,0,0,0,0,0,0
0.773741,0,0,0,0,0,0
0.775346,0,0,0,0,0,0
0.776919,0,0,0,0,0,0
0.778376,0,0,0,0,0,0
0.779784,0,0,0,0,0,0
0.781323,0,0,0,0,0,0
0.782731,0,0,0,0,0,0
0.784120,0,0,0,0,0,0
0.785510,0,0,0,0,0,0
0.786910,0,0,0,0,0,0
0.788299,0,0,0,0,0,0
0.789689,0,0,0,0,0,0
0.791121,0,0,0,0,0,0
0.792510,0,0,0,0,0,0
0.793898,0,0,0,0,0,0
0.795286,0,0,0,0,0,0
0.796673,0,0,0,0,0,0
0.798070,0,0,0,0,0,0
0.799459,0,0,0,0,0,0
0.800846,0,0,0,0,0,0
0.802320,0,0,0,0,0,0
0.803710,0,0,0,0,0,0
0.805097,0,0,0,0,0,0
0.806512,0,0,0,0,0,0
0.807939,0,0,0,0,0,0
0.809310,0,0,0,0,0,0
0.810673,0,0,0,0,0,0
0.812036,0,0,0,0,0,0
0.813400,0,0,0,0,0,0
0.814764,0,0,0,0,0,0
0.816128,0,0,0,0,0,0
0.817492,0,0,0,0,0,0
0.818856,0,0,0,0,0,0
0.820240,0,0,0,0,0,0
0.821609,0,0,0,0,0,0
0.823011,0,0,0,0,0,0
0.824437,0,0,0,0,0,0
0.825747,0,0,0,0,0,0
0.827166,0,0,0,0,0,0
0.828584,0,0,0,0,0,0
0.830003,0,0,0,0,0,0
0.831423,0,0,0,0,0,0
0.832840,0,0,0,0,0,0
0.834155,0,0,0,0,0,0
0.835573,0,0,0,0,0,0
0.836927,0,0,0,0,0,0
0.838319,0,0,0,0,0,0
0.839692,0,0,0,0,0,0
0.840952,0,0,0,0,0,0
0.842466,0,0,0,0,0,0
0.843863,0,0,0,0,0,0
0.845395,0,0,0,0,0,0
0.847877,0,0,0,0,0,0
0.849272,0,0,3273,792,0,0
0.850538,0,0,0,0,0,0
0.851933,0,0,0,0,0,0
0.853433,0,0,0,0,0,0
0.854906,0,0,0,0,0,0
0.856297,0,0,0,0,0,0
0.857730,0,0,0,0,0,0
0.859121,0,0,4770,1032,0,0
0.860374,0,0,1677,753,0,0
0.862688,0,0,0,0,0,0
0.864101,0,0,0,0,0,0
0.865496,0,0,0,0,0,0
0.866893,0,0,0,0,0,0
0.868287,0,0,0,0,0,0
0.871004,0,0,0,0,0,0
0.873232,0,0,0,0,0,0
0.874646,0,0,0,0,0,0
0.876036,0,0,0,0,0,0
0.881212,0,0,0,0,0,0
0.882606,0,0,0,0,0,0
0.884004,0,0,0,0,0,0
0.885476,0,0,0,0,0,0
0.886922,0,0,0,0,0,0
0.888315,0,0,0,0,0,0
0.889707,0,0,0,0,0,0
0.891101,0,0,0,0,0,0
0.892498,0,0,0,0,0,0
