elapsed_s,LRZ_NEVER_COUNT,LRZ_BUSY_CYCLES,LRZ_STARVE_CYCLES_RAS
1.015902,0,0,1690539
1.017286,0,0,1677619
1.018667,0,0,1670355
1.020047,14,0,1670071
1.021489,0,0,1746296
1.022996,0,0,1855088
1.024542,0,0,1873877
1.026100,0,0,1884664
1.027643,0,0,1867902
1.029189,0,0,1872942
1.030734,0,0,1869746
1.032275,0,0,1874682
1.033825,0,0,1869250
1.035367,0,0,1867107
1.036925,4,0,1885891
1.038466,0,0,1866294
1.039881,0,0,1690884
1.041397,0,0,1862268
1.042943,0,0,1872890
1.044492,0,0,1876520
1.046085,0,0,1927734
1.047644,0,0,1887187
1.049193,24,0,1876922
1.050740,0,0,1873100
1.052285,0,0,1877813
1.053837,0,0,1872374
1.055382,0,0,1872742
1.056931,0,0,1876671
1.058491,0,0,1887332
1.060036,0,0,1962601
1.061546,0,0,1711430
1.063062,0,0,1861358
1.064611,0,0,1875968
1.066158,0,0,1872477
1.067704,0,0,1874296
1.069266,0,0,1885486
1.070803,0,0,1859618
1.072338,0,0,1955637
1.073958,0,0,1906418
1.075536,0,0,1874199
1.077096,0,0,2070443
1.078752,0,0,1810125
1.080161,0,0,1757393
1.081726,0,0,1860969
1.083271,0,0,1870497
1.084818,0,0,1874842
1.086364,0,0,1871323
1.087909,0,0,1871116
1.089456,0,0,1873082
1.091014,0,0,1887071
1.092562,0,0,1875235
1.094151,0,0,1923804
1.095695,0,0,1870225
1.097242,0,0,1872942
1.098788,0,0,1872245
1.100333,0,0,2094216
1.101944,0,0,1697987
1.103324,0,0,1666454
