elapsed_s,TP_NEVER_COUNT,TP_BUSY_CYCLES,TP_STALL_CYCLES_UCHE,TP_LATENCY_CYCLES,TP_LATENCY_TRANS,TP_FLAG_FIFO_DELAY_SAMPLES,TP_FLAG_FIFO_DELAY_CYCLES,TP_L1_CACHELINE_REQUESTS,TP_L1_CACHELINE_MISSES,TP_SP_TP_TRANS,TP_TP_SP_TRANS,TP_OUTPUT_PIXELS
0.450343,0,0,0,0,0,0,0,0,0,0,0,0
0.451902,0,0,0,0,0,0,0,0,0,0,0,0
0.453494,0,0,0,0,0,0,0,0,0,0,0,0
0.455084,0,0,0,0,0,0,0,0,0,0,0,0
0.456681,0,0,0,0,0,0,0,0,0,0,0,0
0.458285,0,0,0,0,0,0,0,0,0,0,0,0
0.459879,0,0,0,0,0,0,0,0,0,0,0,0
0.461471,0,0,0,0,0,0,0,0,0,0,0,0
0.463062,0,0,0,0,0,0,0,0,0,0,0,0
0.464660,0,0,0,0,0,0,0,0,0,0,0,0
0.466250,0,0,0,0,0,0,0,0,0,0,0,0
0.467844,0,0,0,0,0,0,0,0,0,0,0,0
0.469450,0,0,0,0,0,0,0,0,0,0,0,0
0.471041,0,0,0,0,0,0,0,0,0,0,0,0
0.472638,0,0,0,0,0,0,0,0,0,0,0,0
0.474229,0,0,0,0,0,0,0,0,0,0,0,0
0.475823,0,0,0,0,0,0,0,0,0,0,0,0
0.477415,0,0,0,0,0,0,0,0,0,0,0,0
0.479122,0,0,0,0,0,0,0,0,0,0,0,0
0.480618,0,0,0,0,0,0,0,0,0,0,0,0
0.482062,0,0,0,0,0,0,0,0,0,0,0,0
0.483502,0,0,0,0,0,0,0,0,0,0,0,0
0.484933,0,0,0,0,0,0,0,0,0,0,0,0
0.486363,0,0,0,0,0,0,0,0,0,0,0,0
0.487792,0,0,0,0,0,0,0,0,0,0,0,0
0.489349,0,0,0,0,0,0,0,0,0,0,0,0
0.490955,0,0,0,0,0,0,0,0,0,0,0,0
0.492550,0,0,0,0,0,0,0,0,0,0,0,0
0.494142,0,0,0,0,0,0,0,0,0,0,0,0
0.495758,0,0,0,0,0,0,0,0,0,0,0,0
0.497257,0,0,0,0,0,0,0,0,0,0,0,0
0.498825,0,0,0,0,0,0,0,0,0,0,0,0
0.500495,0,0,0,0,0,0,0,0,0,0,0,0
0.501977,0,0,0,0,0,0,0,0,0,0,0,0
0.503417,0,0,0,0,0,0,0,0,0,0,0,0
0.504897,0,0,0,0,0,0,0,0,0,0,0,0
0.506326,0,0,0,0,0,0,0,0,0,0,0,0
0.507757,0,0,0,0,0,0,0,0,0,0,0,0
0.509186,0,0,0,0,0,0,0,0,0,0,0,0
0.510716,0,0,0,0,0,0,0,0,0,0,0,0
0.512366,0,0,0,0,0,0,0,0,0,0,0,0
0.513962,0,0,0,0,0,0,0,0,0,0,0,0
0.515557,0,0,0,0,0,0,0,0,0,0,0,0
0.517150,0,0,0,0,0,0,0,0,0,0,0,0
0.518741,0,0,0,0,0,0,0,0,0,0,0,0
0.520377,0,0,0,0,0,0,0,0,0,0,0,0
0.521845,0,0,0,0,0,0,0,0,0,0,0,0
0.523424,0,0,0,0,0,0,0,0,0,0,0,0
0.525020,0,0,0,0,0,0,0,0,0,0,0,0
0.526614,0,0,0,0,0,0,0,0,0,0,0,0
0.528252,0,0,0,0,0,0,0,0,0,0,0,0
0.529847,0,0,0,0,0,0,0,0,0,0,0,0
0.531443,0,0,0,0,0,0,0,0,0,0,0,0
0.533038,0,0,0,0,0,0,0,0,0,0,0,0
0.534645,0,0,0,0,0,0,0,0,0,0,0,0
0.536284,0,0,0,0,0,0,0,0,0,0,0,0
0.537879,0,0,0,0,0,0,0,0,0,0,0,0
0.539511,0,0,0,0,0,0,0,0,0,0,0,0
0.541107,0,0,0,0,0,0,0,0,0,0,0,0
0.542701,0,0,0,0,0,0,0,0,0,0,0,0
0.544339,0,0,0,0,0,0,0,0,0,0,0,0
0.545949,0,0,0,0,0,0,0,0,0,0,0,0
0.547545,0,0,0,0,0,0,0,0,0,0,0,0
0.549139,0,0,0,0,0,0,0,0,0,0,0,0
0.550732,0,0,0,0,0,0,0,0,0,0,0,0
0.552370,0,0,0,0,0,0,0,0,0,0,0,0
0.553964,0,0,0,0,0,0,0,0,0,0,0,0
0.555560,0,0,0,0,0,0,0,0,0,0,0,0
0.557168,0,0,0,0,0,0,0,0,0,0,0,0
0.558760,0,0,0,0,0,0,0,0,0,0,0,0
0.560397,0,0,0,0,0,0,0,0,0,0,0,0
0.561990,0,0,0,0,0,0,0,0,0,0,0,0
0.563585,0,0,0,0,0,0,0,0,0,0,0,0
0.565179,0,0,0,0,0,0,0,0,0,0,0,0
0.566771,0,0,0,0,0,0,0,0,0,0,0,0
0.568252,0,0,0,0,0,0,0,0,0,0,0,0
0.569818,0,0,0,0,0,0,0,0,0,0,0,0
0.571471,0,0,0,0,0,0,0,0,0,0,0,0
0.573069,0,0,0,0,0,0,0,0,0,0,0,0
0.574660,0,0,0,0,0,0,0,0,0,0,0,0
0.576296,0,0,0,0,0,0,0,0,0,0,0,0
0.577891,0,0,0,0,0,0,0,0,0,0,0,0
0.579500,0,0,0,0,0,0,0,0,0,0,0,0
0.581094,0,0,0,0,0,0,0,0,0,0,0,0
0.582685,0,0,0,0,0,0,0,0,0,0,0,0
0.584323,0,0,0,0,0,0,0,0,0,0,0,0
0.585918,0,0,0,0,0,0,0,0,0,0,0,0
0.587514,0,0,0,0,0,0,0,0,0,0,0,0
0.589108,0,0,0,0,0,0,0,0,0,0,0,0
0.590713,0,0,0,0,0,0,0,0,0,0,0,0
0.592349,0,0,0,0,0,0,0,0,0,0,0,0
0.593943,0,0,0,0,0,0,0,0,0,0,0,0
0.595537,0,0,0,0,0,0,0,0,0,0,0,0
0.597130,0,0,0,0,0,0,0,0,0,0,0,0
0.598722,0,0,0,0,0,0,0,0,0,0,0,0
0.600359,0,0,0,0,0,0,0,0,0,0,0,0
0.601967,0,0,0,0,0,0,0,0,0,0,0,0
0.603563,0,0,0,0,0,0,0,0,0,0,0,0
0.605156,0,0,0,0,0,0,0,0,0,0,0,0
0.606748,0,0,0,0,0,0,0,0,0,0,0,0
0.608383,0,0,0,0,0,0,0,0,0,0,0,0
0.609977,0,0,0,0,0,0,0,0,0,0,0,0
0.611572,0,0,0,0,0,0,0,0,0,0,0,0
0.613180,0,0,0,0,0,0,0,0,0,0,0,0
0.614773,0,0,0,0,0,0,0,0,0,0,0,0
0.616411,0,0,0,0,0,0,0,0,0,0,0,0
0.618005,0,0,0,0,0,0,0,0,0,0,0,0
0.620120,0,0,0,0,0,0,0,0,0,0,0,0
0.621556,0,0,0,0,0,0,0,0,0,0,0,0
0.622993,0,0,0,0,0,0,0,0,0,0,0,0
0.624631,0,0,0,0,0,0,0,0,0,0,0,0
0.626084,0,0,0,0,0,0,0,0,0,0,0,0
0.627517,0,0,0,0,0,0,0,0,0,0,0,0
0.628948,0,0,0,0,0,0,0,0,0,0,0,0
0.630465,0,0,0,0,0,0,0,0,0,0,0,0
