elapsed_s,PC_RESERVED_56,PC_RESERVED_57,PC_RESERVED_58,PC_RESERVED_59,PC_S_BUSY_CYCLES,PC_S_WORKING_CYCLES,PC_S_STALL_CYCLES_VFD,PC_S_STALL_CYCLES_VPC_FE
0.231898,0,0,0,0,0,0,0,0
0.233518,0,0,0,0,0,0,0,0
0.235090,0,0,0,0,0,0,0,0
0.236662,0,0,0,0,0,0,0,0
0.238236,0,0,0,0,0,0,0,0
0.239868,0,0,0,0,0,0,0,0
0.241437,0,0,0,0,0,0,0,0
0.243010,0,0,0,0,0,0,0,0
0.244581,0,0,0,0,0,0,0,0
0.246154,0,0,0,0,0,0,0,0
0.247769,0,0,0,0,0,0,0,0
0.249340,0,0,0,0,0,0,0,0
0.250925,0,0,0,0,0,0,0,0
0.252497,0,0,0,0,0,0,0,0
0.254070,0,0,0,0,0,0,0,0
0.255685,0,0,0,0,0,0,0,0
0.257256,0,0,0,0,0,0,0,0
0.258830,0,0,0,0,0,0,0,0
0.260403,0,0,0,0,0,0,0,0
0.262068,0,0,0,0,0,0,0,0
0.263668,0,0,0,0,0,0,0,0
0.265082,0,0,0,0,0,0,0,0
0.266623,0,0,0,0,0,0,0,0
0.268194,0,0,0,0,0,0,0,0
0.269766,0,0,0,0,0,0,0,0
0.271343,0,0,0,0,0,0,0,0
0.272925,0,0,0,0,0,0,0,0
0.274497,0,0,0,0,0,0,0,0
0.276069,0,0,0,0,0,0,0,0
0.277640,0,0,0,0,0,0,0,0
0.279275,0,0,0,0,0,0,0,0
0.280845,0,0,0,0,0,0,0,0
0.282418,0,0,0,0,0,0,0,0
0.284004,0,0,0,0,0,0,0,0
0.285574,0,0,0,0,0,0,0,0
0.287451,0,0,0,0,0,0,0,0
0.288904,0,0,0,0,0,0,0,0
0.290353,0,0,0,0,0,0,0,0
0.291764,0,0,0,0,0,0,0,0
0.293167,0,0,0,0,0,0,0,0
0.294625,0,0,0,0,0,0,0,0
0.296071,0,0,0,0,0,0,0,0
0.297479,0,0,0,0,0,0,0,0
0.298889,0,0,0,0,0,0,0,0
0.300298,0,0,0,0,0,0,0,0
0.301705,0,0,0,0,0,0,0,0
0.303191,0,0,0,0,0,0,0,0
0.304645,0,0,0,0,0,0,0,0
0.306055,0,0,0,0,0,0,0,0
0.307462,0,0,0,0,0,0,0,0
0.308870,0,0,0,0,0,0,0,0
0.310280,0,0,0,0,0,0,0,0
0.311721,0,0,0,0,0,0,0,0
0.313256,0,0,0,0,0,0,0,0
0.314841,0,0,0,0,0,0,0,0
0.316414,0,0,0,0,0,0,0,0
0.318048,0,0,0,0,0,0,0,0
0.319570,0,0,0,0,0,0,0,0
0.321138,0,0,0,0,0,0,0,0
0.322711,0,0,0,0,0,0,0,0
0.324283,0,0,0,0,0,0,0,0
0.325866,0,0,0,0,0,0,0,0
0.327443,0,0,0,0,0,0,0,0
0.329013,0,0,0,0,0,0,0,0
0.330586,0,0,0,0,0,0,0,0
0.332154,0,0,0,0,0,0,0,0
0.333724,0,0,0,0,0,0,0,0
0.335295,0,0,0,0,0,0,0,0
0.336871,0,0,0,0,0,0,0,0
0.338310,0,0,0,0,0,0,0,0
0.339851,0,0,0,0,0,0,0,0
0.341420,0,0,0,0,0,0,0,0
0.343034,0,0,0,0,0,0,0,0
0.344605,0,0,0,0,0,0,0,0
0.346176,0,0,0,0,0,0,0,0
0.347843,0,0,0,0,0,0,0,0
0.349390,0,0,0,0,0,0,0,0
0.351007,0,0,0,0,0,0,0,0
0.352580,0,0,0,0,0,0,0,0
0.354153,0,0,0,0,0,0,0,0
0.355726,0,0,0,0,0,0,0,0
0.357295,0,0,0,0,0,0,0,0
0.358926,0,0,0,0,0,0,0,0
0.360499,0,0,0,0,0,0,0,0
0.362072,0,0,0,0,0,0,0,0
0.363644,0,0,0,0,0,0,0,0
0.365214,0,0,0,0,0,0,0,0
0.366832,0,0,0,0,0,0,0,0
0.368405,0,0,0,0,0,0,0,0
0.370070,0,0,0,0,0,0,0,0
0.371631,0,0,0,0,0,0,0,0
0.373046,0,0,0,0,0,0,0,0
0.374630,0,0,0,0,0,0,0,0
0.376202,0,0,0,0,0,0,0,0
0.377773,0,0,0,0,0,0,0,0
0.379349,0,0,0,0,0,0,0,0
0.380932,0,0,0,0,0,0,0,0
0.382550,0,0,0,0,0,0,0,0
0.384121,0,0,0,0,0,0,0,0
0.385691,0,0,0,0,0,0,0,0
0.387267,0,0,0,0,0,0,0,0
0.388837,0,0,0,0,0,0,0,0
0.390454,0,0,0,0,0,0,0,0
0.392038,0,0,0,0,0,0,0,0
0.393609,0,0,0,0,0,0,0,0
0.395231,0,0,0,0,0,0,0,0
0.396802,0,0,0,0,0,0,0,0
0.398375,0,0,0,0,0,0,0,0
0.399947,0,0,0,0,0,0,0,0
0.401516,0,0,0,0,0,0,0,0
0.403102,0,0,0,0,0,0,0,0
0.404674,0,0,0,0,0,0,0,0
0.406248,0,0,0,0,0,0,0,0
0.407865,0,0,0,0,0,0,0,0
0.409434,0,0,0,0,0,0,0,0
0.411005,0,0,0,0,0,0,0,0
0.412577,0,0,0,0,0,0,0,0
0.414163,0,0,0,0,0,0,0,0
0.415779,0,0,0,0,0,0,0,0
0.417350,0,0,0,0,0,0,0,0
0.418923,0,0,0,0,0,0,0,0
0.420495,0,0,0,0,0,0,0,0
0.422068,0,0,0,0,0,0,0,0
0.423685,0,0,0,0,0,0,0,0
0.425268,0,0,0,0,0,0,0,0
0.426842,0,0,0,0,0,0,0,0
0.428415,0,0,0,0,0,0,0,0
0.430067,0,0,0,0,0,0,0,0
0.431619,0,0,0,0,0,0,0,0
0.433033,0,0,0,0,0,0,0,0
0.434574,0,0,0,0,0,0,0,0
0.436158,0,0,0,0,0,0,0,0
0.437729,0,0,0,0,0,0,0,0
0.439306,0,0,0,0,0,0,0,0
0.440875,0,0,0,0,0,0,0,0
0.442449,0,0,0,0,0,0,0,0
0.444021,0,0,0,0,0,0,0,0
0.445591,0,0,0,0,0,0,0,0
0.447091,0,0,0,0,0,0,0,0
0.448635,0,0,0,0,0,0,0,0
0.450209,0,0,0,0,0,0,0,0
0.451771,0,0,0,0,0,0,0,0
0.453332,0,0,0,0,0,0,0,0
0.454815,0,0,0,0,0,0,0,0
0.456358,0,0,0,0,0,0,0,0
0.457942,0,0,0,0,0,0,0,0
0.459584,0,0,0,0,0,0,0,0
0.461155,0,0,0,0,0,0,0,0
0.462772,0,0,0,0,0,0,0,0
0.464345,0,0,0,0,0,0,0,0
0.465915,0,0,0,0,0,0,0,0
0.467492,0,0,0,0,0,0,0,0
0.469076,0,0,0,0,0,0,0,0
0.470693,0,0,0,0,0,0,0,0
0.472266,0,0,0,0,0,0,0,0
