elapsed_s,RAS_SAMPLE_MASK_GEN_LANE_15_WORKING_CC_L2,RAS_EMPTY_SBLOCK_SCAN_CYCLE_PERFCOUNTER,RAS_STEGN_STALL_BY_LATENCY_FIFO,RAS_STALL_CYCLES_LRZ_PREFETCH
0.489680,0,0,0,0
0.492385,0,0,0,0
0.493765,0,0,0,0
0.495146,0,0,0,0
0.496522,0,0,0,0
0.497907,0,0,0,0
0.499413,0,0,0,0
0.500792,0,0,0,0
0.502171,0,0,0,0
0.503550,0,0,0,0
0.504931,0,0,0,0
0.506310,0,0,0,0
0.507930,0,0,0,0
0.509893,0,0,0,0
0.511281,0,0,0,0
0.512699,0,0,0,0
0.514172,0,0,0,0
0.515560,0,0,0,0
0.516983,0,0,0,0
0.518498,0,0,0,0
0.520150,0,0,0,0
0.521697,0,0,0,0
0.523248,0,0,0,0
0.524799,0,0,0,0
0.526347,0,0,0,0
0.527896,0,0,0,0
0.529445,0,0,0,0
0.531008,0,0,0,0
0.532601,0,0,0,0
0.534150,0,0,0,0
0.535699,0,0,0,0
0.537249,0,0,0,0
0.538873,0,0,0,0
0.540487,0,0,0,0
0.542046,0,0,0,0
0.543598,0,0,0,0
0.545149,0,0,0,0
0.546697,0,0,0,0
0.548250,0,0,0,0
0.549853,0,0,0,0
0.551302,0,0,0,0
0.552718,0,0,0,0
0.554237,0,0,0,0
0.555789,0,0,0,0
0.557338,0,0,0,0
0.558889,0,0,0,0
0.560441,0,0,0,0
0.561989,0,0,0,0
0.563552,0,0,0,0
0.565146,0,0,0,0
0.566695,0,0,0,0
0.568250,0,0,0,0
0.569797,0,0,0,0
0.571243,0,0,0,0
0.572795,0,0,0,0
0.574357,0,0,0,0
0.575907,0,0,0,0
0.577457,0,0,0,0
0.579010,0,0,0,0
0.580604,0,0,0,0
0.582152,0,0,0,0
0.583704,0,0,0,0
0.585268,0,0,0,0
0.586819,0,0,0,0
0.588388,0,0,0,0
0.589789,0,0,0,0
0.591241,0,0,0,0
0.592634,0,0,0,0
0.594012,0,0,0,0
0.595401,0,0,0,0
0.596821,0,0,0,0
0.598200,0,0,0,0
0.599579,0,0,0,0
0.600964,0,0,0,0
0.602486,0,0,0,0
0.603950,0,0,0,0
0.605329,0,0,0,0
0.606715,0,0,0,0
0.608255,0,0,0,0
0.609975,0,0,0,0
0.611354,0,0,0,0
0.612782,0,0,0,0
0.614137,0,0,0,0
