elapsed_s,PC_US_BV_STALLED_BY_UCHE_FEEDBACK,PC_US_VSD_RARB_DVIZ_FULL,PC_US_VSD_RARB_PVIZ_FULL,PC_US_VSD_RARB_TVIZ_FULL,PC_US_DP0_RARB_FULL,PC_US_DP1_RARB_FULL,PC_US_DP0_LIVE_PRIM,PC_US_DP1_LIVE_PRIM
0.594279,0,0,0,0,0,0,0,0
0.595851,0,0,0,0,0,0,0,0
0.597434,0,0,0,0,0,0,0,0
0.599011,0,0,0,0,0,0,0,0
0.600583,0,0,0,0,0,0,0,0
0.602199,0,0,0,0,0,0,0,0
0.603773,0,0,0,0,0,0,0,0
0.605345,0,0,0,0,0,0,0,0
0.606798,0,0,0,0,0,0,0,0
0.608358,0,0,0,0,0,0,0,0
0.609931,0,0,0,0,0,0,0,0
0.611759,0,0,0,0,0,0,0,0
0.613205,0,0,0,0,0,0,0,0
0.614615,0,0,0,0,0,0,0,0
0.616025,0,0,0,0,0,0,0,0
0.617432,0,0,0,0,0,0,0,0
0.618894,0,0,0,0,0,0,0,0
0.620271,0,0,0,0,0,0,0,0
0.621812,0,0,0,0,0,0,0,0
0.623386,0,0,0,0,0,0,0,0
0.624957,0,0,0,0,0,0,0,0
0.626530,0,0,0,0,0,0,0,0
0.628103,0,0,0,0,0,0,0,0
0.629691,0,0,0,0,0,0,0,0
0.631265,0,0,0,0,0,0,0,0
0.632837,0,0,0,0,0,0,0,0
0.634412,0,0,0,0,0,0,0,0
0.635984,0,0,0,0,0,0,0,0
0.638311,0,0,0,0,0,0,0,0
0.639798,0,0,0,0,0,0,0,0
0.641209,0,0,0,0,0,0,0,0
0.642615,0,0,0,0,0,0,0,0
0.644155,0,0,0,0,0,0,0,0
0.645731,0,0,0,0,0,0,0,0
0.647306,0,0,0,0,0,0,0,0
0.648879,0,0,0,0,0,0,0,0
0.650476,0,0,0,0,0,0,0,0
0.652051,0,0,0,0,0,0,0,0
0.653627,0,0,0,0,0,0,0,0
0.655202,0,0,0,0,0,0,0,0
0.656775,0,0,0,0,0,0,0,0
0.658351,0,0,0,0,0,0,0,0
