elapsed_s,TP_QUADS_CONSTANT_MULTIPLIED,TP_FRONTEND_WORKING_CYCLES,TP_L1_TAG_WORKING_CYCLES,TP_L1_DATA_WRITE_WORKING_CYCLES,TP_PRE_L1_DECOM_WORKING_CYCLES,TP_BACKEND_WORKING_CYCLES,TP_L1_5_CACHE_WORKING_CYCLES,TP_STARVE_CYCLES_SP,TP_STARVE_CYCLES_UCHE,TP_STALL_CYCLES_UFC,TP_FORMAT_DECOMP_POINT,TP_FILTER_POINT_FP16
0.398602,0,0,0,0,0,0,0,0,0,0,0,0
0.400097,0,0,0,0,0,0,0,0,0,0,0,0
0.401597,0,0,0,0,0,0,0,0,0,0,0,0
0.402987,0,0,0,0,0,0,0,0,0,0,0,0
0.404373,0,0,0,0,0,0,0,0,0,0,0,0
0.405756,0,0,0,0,0,0,0,0,0,0,0,0
0.407157,0,0,0,0,0,0,0,0,0,0,0,0
0.408538,0,0,0,0,0,0,0,0,0,0,0,0
0.409917,0,0,0,0,0,0,0,0,0,0,0,0
0.411341,0,0,0,0,0,0,0,0,0,0,0,0
0.412722,0,0,0,0,0,0,0,0,0,0,0,0
0.414102,0,0,0,0,0,0,0,0,0,0,0,0
0.415480,0,0,0,0,0,0,0,0,0,0,0,0
0.416907,0,0,0,0,0,0,0,0,0,0,0,0
0.418297,0,0,0,0,0,0,0,0,0,0,0,0
0.419675,0,0,0,0,0,0,0,0,0,0,0,0
0.421053,0,0,0,0,0,0,0,0,0,0,0,0
0.422426,0,0,0,0,0,0,0,0,0,0,0,0
0.423798,0,0,0,0,0,0,0,0,0,0,0,0
0.425219,0,0,0,0,0,0,0,0,0,0,0,0
0.426602,0,0,0,0,0,0,0,0,0,0,0,0
0.428027,0,0,0,0,0,0,0,0,0,0,0,0
0.429419,0,0,0,0,0,0,0,0,0,0,0,0
0.430762,0,0,0,0,0,0,0,0,0,0,0,0
0.432105,0,0,0,0,0,0,0,0,0,0,0,0
0.433510,0,0,0,0,0,0,0,0,0,0,0,0
0.434859,0,0,0,0,0,0,0,0,0,0,0,0
0.436208,0,0,0,0,0,0,0,0,0,0,0,0
0.437566,0,0,0,0,0,0,0,0,0,0,0,0
0.438917,0,0,0,0,0,0,0,0,0,0,0,0
0.440275,0,0,0,0,0,0,0,0,0,0,0,0
0.441642,0,0,0,0,0,0,0,0,0,0,0,0
0.442992,0,0,0,0,0,0,0,0,0,0,0,0
0.444386,0,0,0,0,0,0,0,0,0,0,0,0
0.445783,0,0,0,0,0,0,0,0,0,0,0,0
0.447126,0,0,0,0,0,0,0,0,0,0,0,0
0.448509,0,0,0,0,0,0,0,0,0,0,0,0
0.449839,0,0,0,0,0,0,0,0,0,0,0,0
0.451176,0,0,0,0,0,0,0,0,0,0,0,0
0.452553,0,0,0,0,0,0,0,0,0,0,0,0
0.453881,0,0,0,0,0,0,0,0,0,0,0,0
0.455209,0,0,0,0,0,0,0,0,0,0,0,0
0.456586,0,0,0,0,0,0,0,0,0,0,0,0
0.457915,0,0,0,0,0,0,0,0,0,0,0,0
0.459244,0,0,0,0,0,0,0,0,0,0,0,0
0.460624,0,0,0,0,0,0,0,0,0,0,0,0
0.462018,0,0,0,0,0,0,0,0,0,0,0,0
0.463410,0,0,0,0,0,0,0,0,0,0,0,0
0.464850,0,0,0,0,0,0,0,0,0,0,0,0
0.466133,0,0,0,0,0,0,0,0,0,0,0,0
0.467467,0,0,0,0,0,0,0,0,0,0,0,0
0.468802,0,0,0,0,0,0,0,0,0,0,0,0
0.470194,0,0,0,0,0,0,0,0,0,0,0,0
0.471590,0,0,0,0,0,0,0,0,0,0,0,0
0.473035,0,0,0,0,0,0,0,0,0,0,0,0
0.474429,0,0,0,0,0,0,0,0,0,0,0,0
0.475835,0,0,0,0,0,0,0,0,0,0,0,0
0.477299,0,0,0,0,0,0,0,0,0,0,0,0
0.478681,0,0,0,0,0,0,0,0,0,0,0,0
0.480065,0,0,0,0,0,0,0,648,0,0,0,0
0.481330,0,0,0,0,0,0,0,0,0,0,0,0
0.482720,0,0,0,0,0,0,0,0,0,0,0,0
0.484119,0,0,0,0,0,0,0,0,0,0,0,0
0.485509,0,0,0,0,0,0,0,0,0,0,0,0
0.486895,0,0,0,0,0,0,0,0,0,0,0,0
